"Department","Course Code","Title","Credits","Description"
"African American Studies (AFRAM)","AFRAM 337","Popular Music, Race, Identity, and Social Change","5","AFRAM 337 Popular Music, Race, Identity, and Social Change (5) SSc/A&H, DIVFocuses on popular music, shifting formations of race and identity and social change in various cultural, historical, and political contexts. Explores popular music as a tool for social change, a vehicle for community-building and a form of political and aesthetic expression. Course overlaps with: MUSIC 162 and BIS 363."
"African American Studies (AFRAM)","AFRAM 340","The Harlem Renaissance: A Literary Study","5","AFRAM 340 The Harlem Renaissance: A Literary Study (5) A&H, DIVHighlights Harlem Renaissance - 1912 through mid-1930s - as establishing a role for twentieth-century African American writer, encompassing literature, politics, and decolonization of the image of Africa, and solidifying integrationist and nationalist schools of thought. Examines images, themes, and characterizations in creating a literary aesthetic simultaneously American and African American."
"African American Studies (AFRAM)","AFRAM 350","Black Aesthetics","5","AFRAM 350 Black Aesthetics (5) A&H/SScDraws on both multi-media and print sources, including fiction, poetry, prose, films, polemics, historiography and speeches to explore the idea of a black aesthetic in various cultural, historical, and political contexts within the twentieth century."
"African American Studies (AFRAM)","AFRAM 358","African American Literature","5","AFRAM 358 African American Literature (5) A&H, DIVSelected writings, novels, short stories, plays, and poems by African American and African-descended writers in or from the United States. Study of the historical, cultural, and intellectual context for the development of literary work by such writers, including attention to identity, power, and inequality. Offered: jointly with ENGL 358."
"African American Studies (AFRAM)","AFRAM 360","Black Digital Studies","5","AFRAM 360 Black Digital Studies (5) SSc, DIVBridges and intersects two interdisciplinary fields - black studies and digital humanities. Attention to knowledge production.  Role of archives, collections, research centers, the black press, and digital technology. Ideas related to power, memory, resistance, perspective and respectability politics in storytelling and control of the vehicles used to do so. Recommended: introduction to sociology; and introductory courses in African American studies and communications.  Offered: AWSpS."
"African American Studies (AFRAM)","AFRAM 370","African American Political Thought","5","AFRAM 370 African American Political Thought (5) SScPolitical ideologies and philosophies of pivotal African American historical figures and the conditions under which these ideologies are developed, rejected, and transformed. How ideologies relate to solution of African American political problems."
"African American Studies (AFRAM)","AFRAM 404","Advanced African American Studies in Humanities","5, max. 15","AFRAM 404 Advanced African American Studies in Humanities (5, max. 15) A&H, DIVAdvanced and interdisciplinary engagement with racial formation, Black cultural production, and resistance among people of African descent throughout the Diaspora. Draws upon cultural studies perspectives with an emphasis on literature, film, music, performance, visual and material culture. Topics include art, labor, migration, politics; racial capitalism and political economy; social movements and cultural history; black intellectual traditions. Offered: AWSpS."
"African American Studies (AFRAM)","AFRAM 405","Advanced African American Studies in Social Science","5, max. 15","AFRAM 405 Advanced African American Studies in Social Science (5, max. 15) SSc, DIVAdvanced study of racial formation, Black cultural production, and resistance among people of African descent throughout the Diaspora. Social science theories and methods used to examine various topics, including social scientific analysis of political history; social movements; intellectual traditions; theory; and intersections with urban, digital and legal studies; race, science, and biopolitics; public health and environmental studies. Offered: AWSpS."
"African American Studies (AFRAM)","AFRAM 437","Blacks in American Law","5","AFRAM 437 Blacks in American Law (5) SScHistorical continuity for changing relationship between American jurisprudence and black Americans, 1640-1986. Statutory and case law which determined role of blacks in American society, and use of law by blacks to gain civil and personal rights."
"African American Studies (AFRAM)","AFRAM 498","Special Topics in African American Studies","3-5, max. 15","AFRAM 498 Special Topics in African American Studies (3-5, max. 15) SScTopics in which students and faculty have developed an interest as a result of work done in other classes or as a result of the need to investigate in greater depth Afro-American Studies issues. Topics vary."
"African American Studies (AFRAM)","AFRAM 499","Independent Study and Research","1-5, max. 10","AFRAM 499 Independent Study and Research (1-5, max. 10)Identification and investigation of the problems and needs of the black community. Methods and alternatives of approaching these problems and needs. Students designate their areas of interest and subsequently pursue research and problem solving."
"American Ethnic Studies (AES)","AES 150","In-Justice for All: Intersection of Race, Ethnicity, Class, and Gender in the United States","5","AES 150 In-Justice for All: Intersection of Race, Ethnicity, Class, and Gender in the United States (5) SSc, DIVFocusing on pre-Columbus era to 1970, students develop an understanding of how race, ethnicity, nationality, class, and gender impact all Americans - especially those viewed as racial ethnic minorities."
"American Ethnic Studies (AES)","AES 151","Identities, Cultures, and Power Across American Ethnic Groups","5","AES 151 Identities, Cultures, and Power Across American Ethnic Groups (5) SSc, DIVProvides an introduction to the major theories, debates, and issues concerning the study of identities and cultures of American ethnic groups as they are constituted through relationships of power. Course equivalent to: BIS 165. Offered: S."
"American Ethnic Studies (AES)","AES 211","Environmental Justice","5","AES 211 Environmental Justice (5) SSc, DIVExamines introductory studies of environmental racism and ecological injustice in the United States and select areas of the world. Reviews environmental justice theories and methods applied to risk science, ecosystem management, biodiversity conservation, and sustainable development. Includes comparative studies of social movements for ""eco-justice."" Offered: jointly with ANTH 211/ENVIR 211."
"American Ethnic Studies (AES)","AES 212","Comparative American Ethnic Literature","5","AES 212 Comparative American Ethnic Literature (5) A&H/SSc, DIVReviews selected texts by African American, American Indian, Asian American, Chicano/Latino, and Euro American writers.  Includes a comparison of how texts envision and interpret a diverse American culture and social, political relations among peoples of the United States. Explores the power of cultural agency in the creation of America's literature."
"American Ethnic Studies (AES)","AES 220","Comparative American Ethnic Cinema","5","AES 220 Comparative American Ethnic Cinema (5) A&H/SSc, DIVExplores selected works of Black, Asian American, Chicanx/Latinx, and/or Indigenous cinema and related media, from an interdisciplinary comparative/relational approach. Examines their historical connections to the intellectual, political, and aesthetic traditions of ethnic studies. Offered: AWSpS."
"American Ethnic Studies (AES)","AES 250","Race in the American University","5","AES 250 Race in the American University (5) SScRacial integration in American institutions of higher education. Entry to, and impact on, American universities by people of color. History of ethnic studies and its relation to other disciplines."
"American Ethnic Studies (AES)","AES 312","Race and the Radical Imagination","5","AES 312 Race and the Radical Imagination (5) SSc/A&H, DIVWorks of speculative culture and experimental writing in Black, Asian American, Chicanx/Latinx, and Indigenous literary and aesthetic traditions, such as Afrofuturism. Includes popular genres like sci-fi and horror, alongside demanding,  innovative, and visionary texts.  Considers their relation to radical and revolutionary political movements. Offered: AWSpS."
"American Ethnic Studies (AES)","AES 322","Gender, Race, and Class in Social Stratification","5","AES 322 Gender, Race, and Class in Social Stratification (5) SSc, DIVThe intersection of race, class, and gender in the lives of women of color in the United States from historical and contemporary perspectives. Topics include racism, classism, sexism, activism, sexuality, and inter-racial dynamics between women of color groups. Prerequisite: GWSS 200. Offered: jointly with GWSS 300."
"American Ethnic Studies (AES)","AES 333","Race and Ethnicity in the U.S. Military","5","AES 333 Race and Ethnicity in the U.S. Military (5) SScThe experiences of racial minorities in the military. Topics include segregation of units, desegregation of military, career limitations and opportunities, minority women, military families, racism, and role of veterans in civil rights struggles after service."
"American Ethnic Studies (AES)","AES 335","History of African Americans and Sports","5","AES 335 History of African Americans and Sports (5) SSc, DIVDevelopment of sport in the US and its importance for US culture and society. Covers increased centrality of athletic competition as part of the new leisure time in the late - 19th century, revival of the Olympic movement, racial segregation/integration, today's American notions of celebrity and social style."
"American Ethnic Studies (AES)","AES 340","Race, Ethnicity, and Education","5","AES 340 Race, Ethnicity, and Education (5) SSc, DIVFocuses on critical social and political dimensions of race and ethnicity as they relate to issues and practices of pedagogy and power in American education. Considers schooling as sites at which contemporary politics of diversity play out amidst increasingly diverse demographics of students, teachers, and parents."
"American Ethnic Studies (AES)","AES 345","Ethnographies of School Inequalities","5","AES 345 Ethnographies of School Inequalities (5) SSc, DIVExplores various issues and practices of school inequalities through the methods of critical ethnography."
"American Ethnic Studies (AES)","AES 361","Ethnicity, Business, Unions, and Society","5","AES 361 Ethnicity, Business, Unions, and Society (5) SScInterrelationships of ethnicity, business, unions, and the larger society. Examines financial and sociological structure of business and manufacturing sector, how this sector performs, and consequences of performance for selected ethnic groups in United States. Offered: jointly with SOC 363."
"American Ethnic Studies (AES)","AES 370","Race, Gender, and Class in the Global Economy: Asian and Latina Workers","5","AES 370 Race, Gender, and Class in the Global Economy: Asian and Latina Workers (5) SSc, DIVExamines the lives and labor of Asian and Latina workers through structures of opportunity and inequality to examine how race and gender mark specific forms of labor as feminized and racialized, and thus precarious and devalued. Contextualizes social, political, and economic implications of colonialism and imperialism, economic restructuring, global capitalism, immigration policies, and welfare reform in the United States. Recommended: either AES 150, AES 151, POL S 249/HSTCMP 249/SOC 266, or HSTAA 353/LABOR 353. Offered: jointly with GWSS 370/LABOR 370; WSp."
"American Ethnic Studies (AES)","AES 380","Race, Ethnicity, and United States Public Policy","5","AES 380 Race, Ethnicity, and United States Public Policy (5) SScExplores the causes of disproportionate representation for people of color among the country's impoverished population; drawing on analysis of race/ethnicity, poverty, public policy, (including competing theories), public policy approaches, and ethnographic work addressing the causes and perpetuation of poverty in America."
"American Ethnic Studies (AES)","AES 389","Race, Gender, and Sexuality in the Media","5","AES 389 Race, Gender, and Sexuality in the Media (5) SSc, DIVIntroduction to media representations of gender, race, and sexuality. Offered: jointly with COM 389/GWSS 389."
"American Ethnic Studies (AES)","AES 398","Human Trafficking in an Era of Globalization: Forced Labor, Involuntary Servitude and Corporate, Civic Responsibility","5","AES 398 Human Trafficking in an Era of Globalization: Forced Labor, Involuntary Servitude and Corporate, Civic Responsibility (5) SSc, DIVExamines the causes of the human trafficking industry and analyses possible strategies to prevent and minimize the trade. Highlights includes essays, speakers and films on forced migration and labor rights, international trade agreements, human rights, public health, how to improve survivor services, ethical sourcing and sustainable development, and humanizing the impacts of human trafficking. Recommended: any previous AES, AAS, AFRAM, AIS, or CHSTU course. Offered: Sp."
"American Ethnic Studies (AES)","AES 404","Advanced American Ethnic Studies in Humanities","5, max. 15","AES 404 Advanced American Ethnic Studies in Humanities (5, max. 15) A&H, DIVComparative interdisciplinary study of race and ethnicity. Examines experiences and cultural expressions of racialized communities in the U.S. and its diasporas from a cultural studies' perspective. Explores how expressive cultures engage and transform racial formations and their intersections, animating social relations of everyday life and reshaping structures of power. Offered: AWSpS."
"American Ethnic Studies (AES)","AES 405","Advanced American Ethnic Studies in Social Science","5, max. 15","AES 405 Advanced American Ethnic Studies in Social Science (5, max. 15) SSc, DIVAdvanced study of race and ethnicity in a critical and comparative context. Examines social, cultural, historical, political and economic experiences of racialized communities in AES major. Social science theories and methods used to study various topics, including education; migration, refugee, carceral and legal studies; politics and public policy, social movements, global health, and environment. Offered: AWSpS."
"American Ethnic Studies (AES)","AES 440","History and Memory: Race, Archives, and Afterlives","5","AES 440 History and Memory: Race, Archives, and Afterlives (5) SSc/A&H, DIVAddresses questions such as: What is memorialized and archived and what is forgotten? How is history racialized and how are racial histories told? Who produces knowledge and what counts as knowledge? Examines how official and unofficial discourses deal with memory, violence, silence, haunting, history, and subjectivity, through historical and cultural studies approaches. Topics may include U.S. empire and war, slavery, and colonialism. Recommended: any AES, AAS, CHSTU, AFRAM, GWSS, or AIS course. Offered: WSp."
"American Ethnic Studies (AES)","AES 442","Undocumented Immigrant Communities","5","AES 442 Undocumented Immigrant Communities (5) SSc, DIVSociological examination of the concepts of undocumented, citizen, and the structuring of (il)legality as they are situated in axes of power, specifically in racialized and gendered contexts. Topics include identity formation and experiences across communities, i.e., UndocuLatino, UndocuBlack, UndocuAsian and Pacific Islander, and UndocuQueer.  Institutional outcomes in migration, law, labor, education, carceral spaces, and health. Recommended: AES 150; AES 151; AES 322; AES 461; and AES 462. Fluency with discourses in race, ethnicity, and gender as well as a basic familiarity in studies of transnational migrations, inequality and globalization.  Offered: AWSp."
"American Ethnic Studies (AES)","AES 446","Music in American Cultures","3","AES 446 Music in American Cultures (3) A&H/SScCompares musical history and experience of selected American cultures that have fed into the American musical mainstream or had significant popularity on its periphery. Case studies may include African Americans, Latino/a Americans, Jewish Americans, Asian Americans, or European Americans. Considerations of social identity as well as musical styles. Offered: jointly with MUSIC 446."
"American Ethnic Studies (AES)","AES 450","American Ethnic Health: Race, Gender, and Status            Groups","5","AES 450 American Ethnic Health: Race, Gender, and Status            Groups (5) SSc, DIVIntroduces newer social science and health science related work on race, ethnicity, culture, socio-cultural, and environmental issues affecting American racial minorities. Considers differential rates of physical and medical problems such as cardiovascular disease rates, diabetes statistics, low birth weight children, etc. Offered: AWSp."
"American Ethnic Studies (AES)","AES 461","Comparative Ethnic Race Relations in the Americas","5","AES 461 Comparative Ethnic Race Relations in the Americas (5) SScSketches the ethnoracial systems operating in American society. Studies these systems as systems and examines their institutional and interpersonal dynamics. Compares ethnoracial systems in order to arrive at empirical generalizations about race/ethnorelations in the Americas. Offered: jointly with SOC 461."
"American Ethnic Studies (AES)","AES 462","Comparative Race and Ethnic Relations","5","AES 462 Comparative Race and Ethnic Relations (5) SSc, DIVRace and ethnicity as factors of social differentiation in a number of Western and non-Western societies in Europe, Africa, Asia, and the Americas. Offered: jointly with SOC 462."
"American Ethnic Studies (AES)","AES 480","Critical Migration and Refugee Studies","5","AES 480 Critical Migration and Refugee Studies (5) SSc, DIVHow immigration and displacement complicate race and ethnicity as forms of social differentiation. Reviews theories of refugee and migration studies, exploring the historic role that sovereignty, borders, movement, and displacement have had on the formation of national and social identities as a result of Western intervention, capitalism, conflict, and war. Course overlaps with: T HIST 376. Recommended: AES 150 or AES 151."
"American Ethnic Studies (AES)","AES 487","Cultures and Politics of Environmental Justice","5","AES 487 Cultures and Politics of Environmental Justice (5) SSc, DIVComparative survey of environmental justice movements in the world with focus on critical studies of environmental racism, risk, and sustainable development. Provides theoretical knowledge and research methods incorporating the study of equity and autonomy in environmental impact and risk assessment and other aspects of environmental policy politics. Offered: jointly with ANTH 487."
"American Ethnic Studies (AES)","AES 489","Black Cultural Studies","5","AES 489 Black Cultural Studies (5) SSc, DIVExamines how images of blackness have been (re)constructed through identity formation and entrenched inequality. Topics include black women's bodies, black men's bodies, blackface minstrelsy, black queer studies, black power, and black hybridities. Offered: jointly with COM 489/GWSS 489."
"American Ethnic Studies (AES)","AES 490","Representing Beyond the Binaries: Mixing Race, Gender, and Sexuality in the Media","5","AES 490 Representing Beyond the Binaries: Mixing Race, Gender, and Sexuality in the Media (5) SSc, DIVCultural studies approach to examining the mixed formations that race, sexuality, and gender take in the contemporary United States media. Draws upon multi-disciplinary scholarship in examination of the media. Offered: jointly with COM 490/GWSS 486."
"American Ethnic Studies (AES)","AES 494","Community Practicum and Internship","3-5, max. 10","AES 494 Community Practicum and Internship (3-5, max. 10)Faculty supervised practicum and internship experience in variety of settings and agencies, e.g., ethnic specific agencies, government and civic community-based offices. Students contribute skills and knowledge to respective communities and gain experience by working with professionals and community organizers. Credit/no-credit only."
"American Ethnic Studies (AES)","AES 496","Honors Senior Thesis","5-10, max. 10","AES 496 Honors Senior Thesis (5-10, max. 10)Supervised individual and independent/tutorial study for AES Departmental Honors students involving research, writing, project completion, and completion of a major 30-page paper or commensurate project. Offered: AWSpS."
"American Ethnic Studies (AES)","AES 498","Special Topics in American Ethnic Studies","1-5, max. 15","AES 498 Special Topics in American Ethnic Studies (1-5, max. 15) SScDesigned to provide the student an opportunity to concentrate on one specific aspect of American Ethnic Studies through a comparative, interdisciplinary approach."
"American Ethnic Studies (AES)","AES 499","Independent Study or Research","1-5, max. 10","AES 499 Independent Study or Research (1-5, max. 10)Independent readings and/or research under the supervision of a faculty member."
"Asian American Studies (AAS)","AAS 101","Introduction to Asian American Studies","5","AAS 101 Introduction to Asian American Studies (5) SSc, DIVProvides an introduction to the interdisciplinary study of Asian Americans and Pacific Islanders in the United States. Examines issues of race, class, gender, and sexuality, immigration/migration, citizenship, labor, racialization, exclusion, social and political activism and social movements, family, community-building, war, imperialism, sovereignty, (post) colonialisms, transnationalism, culture, and creative expressions. Course overlaps with: BIS 257 and T SOC 270."
"Asian American Studies (AAS)","AAS 206","Contemporary Issues of Asian and Pacific Islander Americans","5","AAS 206 Contemporary Issues of Asian and Pacific Islander Americans (5) SSc, DIVCritically examines contemporary Asian and Pacific Islander American issues, ranging from the Cold War era to the present-day America. Topics include ethnic enclaves, community-building, civil rights, identity problems, family conflict, social organizations, political movements, and immigration."
"Asian American Studies (AAS)","AAS 210","Asian American and Pacific Islander American Identity: Race, Ethnicity, and Culture","5","AAS 210 Asian American and Pacific Islander American Identity: Race, Ethnicity, and Culture (5) SSc, DIVExamines the interdisciplinary nature of Asian American and Pacific Islander American identity. Explores influences and manifestations of Asian and Pacific Islander ethnic identity, using literature, history, and social sciences. Topics include gender issues, socio-economic class, and mixed heritage in the United States."
"Asian American Studies (AAS)","AAS 220","Asian American Stereotypes in the Media","5","AAS 220 Asian American Stereotypes in the Media (5) SScAsian stereotypes popularized by American literature, film, radio, and television and their effects on Asian American history, psychology, and community."
"Asian American Studies (AAS)","AAS 250","Asian American Oral Histories","5","AAS 250 Asian American Oral Histories (5) SSc, DIVExplores the intersection of race, class, gender, and sexuality in the lives of diverse Asian Americans through readings of oral histories narrating powerful stories including immigration, war, refugee flight, exclusion and discrimination, activism, community building, labor, race relations, family, generation gap, gender role changes, domestic violence, adoption, mixed race, religion, and culture."
"Asian American Studies (AAS)","AAS 300","U.S. Pacific Islander Contemporary Culture","5","AAS 300 U.S. Pacific Islander Contemporary Culture (5) SSc, DIVExamines United States Pacific Islander culture as informed by Pacific history, social and cultural organization. Emphasis on understanding contemporary experience in the United States and other diaspora communities. Major themes include post-colonialism, migration, family, religion, politics, gender, education, and transnational identify. Offered: jointly with ANTH 307; Sp."
"Asian American Studies (AAS)","AAS 310","Asian Americans and Pacific Islanders in the Pacific Northwest","5","AAS 310 Asian Americans and Pacific Islanders in the Pacific Northwest (5) SSc, DIVExamines the history and lives of Asian Americans and Pacific Islander communities in the Pacific Northwest from the eighteenth century. Topics include immigration, labor, gender, community building, challenges to racial discrimination and inequities, and activism to achieve social justice. Emphasizes Washington/Seattle with discussion of Oregon, Idaho, and British Columbia."
"Asian American Studies (AAS)","AAS 314","Ethnography, Transnationalism, and Community in Island Southeast Asia/Asian America","5","AAS 314 Ethnography, Transnationalism, and Community in Island Southeast Asia/Asian America (5) SSc, DIVEthnographic exploration of the transformative processes of transnationalism in relation to identity and community formation in Southeast Asia and among Southeast Asian Americans. Experiential learning format concentrates on mini-ethnographic projects, field trips, and group presentations. Prerequisite: either one 200-level ANTH course or one AAS/AES course. Offered: jointly with ANTH 314."
"Asian American Studies (AAS)","AAS 320","Hawaii's Literatures","5","AAS 320 Hawaii's Literatures (5) A&H, DIVCovers views by Native Hawaiian and multicultural writers and composers, studied within historical contexts ranging from the eighteenth century to the present. Examines how the colonization of a sovereign people redefines culture in ethnocentric, racist, Orientialist ways. Analyzes strategies of decolonization as presented and interpreted in works studied."
"Asian American Studies (AAS)","AAS 330","Asian American Theater","5","AAS 330 Asian American Theater (5) A&H, DIVCovers drama from the 1970's to now, in historical contexts. They study of drama is dialogical, through dialogue. Themes are contested among the characters. Our studies participate, with the plays, in questioning race, ethnicity, gender, sexuality, and class. Includes students' performances of dramatic readings. No prior experience in theater is required."
"Asian American Studies (AAS)","AAS 350","Critical Overseas Chinese/Chinese American Histories","5","AAS 350 Critical Overseas Chinese/Chinese American Histories (5) SSc, DIVExplores the differences and similarities of race, class, gender, sexuality, and generation influence on the life experiences of the Chinese (among the most diasporic people in the world) in America"
"Asian American Studies (AAS)","AAS 360","Critical Filipino American Histories","5","AAS 360 Critical Filipino American Histories (5) SSc, DIVExamines the diverse historical and contemporary experiences of Filipinas and Filipinos in the United States in order to critically understand their immigration patterns, colonial histories, practices of identity constructions, and interactions with other groups."
"Asian American Studies (AAS)","AAS 370","Japanese Americans: Race, Culture, Discrimination, Gender,  and Endurance","5","AAS 370 Japanese Americans: Race, Culture, Discrimination, Gender,  and Endurance (5) SSc, DIVExplores the changing nature of Japanese Americans from the first, Issei, to the latest generation.  Topics include arrival, inequality and discrimination, Picture Brides, WW II, and minority-majority race relations. Lectures, readings, discussion, and videos offer varied approaches to view culture, values, community, concentration camps, gender, socio-economic, and psychological issue."
"Asian American Studies (AAS)","AAS 372","American Internment and Incarceration: Race, Discrimination, and Power","5","AAS 372 American Internment and Incarceration: Race, Discrimination, and Power (5) SSc, DIVExplores the racial animus, failure of political leadership, and war hysteria in WW II that resulted in Japanese Americans incarcerated into American concentration camps. Conceptually different internment camps held thousands of Japanese, German, and Italian alien nationals. Topics include why, how, past and present concerns."
"Asian American Studies (AAS)","AAS 380","Asian American Community: Discrimination, Power, and Affirmation","5","AAS 380 Asian American Community: Discrimination, Power, and Affirmation (5) SSc, DIVCovers three ""sea-change"" eras for Asian American communities: 1850 to 1941 (racial prejudice, discrimination, and perseverance); World War II to 1965 (inclusion of Asian communities except Japanese Americans); and 1965 to present (new Asian immigrant communities). Topics include theory, comparative history, gender issues, cultural norms and values, and socio-economic endeavors."
"Asian American Studies (AAS)","AAS 385","Asian Americans and Pacific Islander Americans: Race, Law, and Justice","5","AAS 385 Asian Americans and Pacific Islander Americans: Race, Law, and Justice (5) SSc, DIVExplores relationship of race, law, and justice in history of Asian Americans and Pacific Islander Americans.   Examines how challenges and resistance to racial discrimination, inequality, and colonialism transformed our political and legal justice system.  Issues include citizenship, immigration, sovereignty, gender, civil liberties, national security, work, property, language, education, and marriage."
"Asian American Studies (AAS)","AAS 392","Asian American and Pacific Islander Women","5","AAS 392 Asian American and Pacific Islander Women (5) SSc, DIVExplores the intersection of race, ethnicity, gender, class, and sexuality in the lives of Asian American and Pacific Islander women. Examines how forces such as immigration, colonialism, sovereignty, labor, family, gender roles and relations, community, war, homeland politics, transnationalism, and social movements shaped and were shaped by these women. Offered: jointly with GWSS 392."
"Asian American Studies (AAS)","AAS 395","Critical Studies of Post-Vietnam War Southeast Asian Americans: Not Just Refugees","5","AAS 395 Critical Studies of Post-Vietnam War Southeast Asian Americans: Not Just Refugees (5) SSc, DIVFocuses on the experiences of Vietnamese, Cambodians/Khmer, Lao, and Indo-Chinese, addressing the various waves of these Southeast Asians to the USA after 1975.  Beyond refugee status and the Vietnam War, students explore how ethnicity, age, class, gender and generation influences Southeast Asian groups in America."
"Asian American Studies (AAS)","AAS 401","Asian American Literature to the 1940s","5","AAS 401 Asian American Literature to the 1940s (5) A&H, DIVAsian American literature from nineteenth-century immigrants to the 1940s. Emphasis on Chinese, Japanese, and Filipino writings detailing the experience and sensibility of first generation immigrants. Early twentieth-century writing focus on the development not only of Asian American community, but also of second generation American-born Asian American writers."
