subject,code,credits,title,Description
AAEC - Agricultural and Applied Economics,AAEC 4050E/6050E, 3 hours.,Agribusiness Law,"Students will survey legal principles applying to agribusiness firms and will be introduced to legal basics and how to access legal materials. Through an understanding of common law, case law, statutes and regulations, students will learn how to discern rights and obligations applying to businesses."
AAEC - Agricultural and Applied Economics,AAEC(FDST) 4051E/6051E, 3 hours.,Food Law and Regulation,"An introduction to the legal and political dimensions of food law and policy. Examination of the development of major United States laws that apply to food production, distribution, and retail sale. In addition, the course will evaluate current issues in food regulation and food safety."
AAEC - Agricultural and Applied Economics,ENVM(AAEC) 4150, 3 hours.,Energy Economics,"Fundamental issues related to energy resources and the economic concepts and tools relevant to their allocation and use. Renewable and non-renewable energy resources are discussed, as are the opportunities for and challenges to moving to cleaner sources of energy."
AAEC - Agricultural and Applied Economics,AAEC 4210/6210, 3 hours.,Production Economics: Theory with Applications,"Fundamental economic principles in determining efficient adjustments in agricultural resource use consistent with economic growth, and changing technology and economic conditions."
AAEC - Agricultural and Applied Economics,AAEC(ENVM) 4510/6510, 3 hours.,Land Economics,Examine land-use decisions and how economic models are used to predict the spatial land-use patterns. Review of applied research topics in the intersection of land use and environment. Study how researchers utilize spatial data and analyze the relationship between land-use decisions and environmental outcomes.
AAEC - Agricultural and Applied Economics,AAEC 4610-4610L, 4 hours. 3 hours lecture and 2 hours lab per week.,Applied Econometrics,"Basic applied econometric analysis, including simple regression analysis, hypothesis testing, model selection, and data collection techniques. Applications are an integral part of the course, with students using computers to solve problems common in agricultural and environmental sciences."
AAEC - Agricultural and Applied Economics,AAEC(ENVM) 4710/6710, 3 hours.,Rural Economic Development and Growth,Inputs and outputs between agriculture and agricultural businesses; analysis of factors affecting development and economic growth in developing areas.
AAEC - Agricultural and Applied Economics,AAEC(AFST)(ENVM) 4720, 3 hours.,Applied International Development Economics,"Most of the world's population is poor, lives in developing countries, and depends on agriculture and/or natural resources for its livelihood. In this course, students will apply economic theory and techniques to better understand global poverty, constraints to exiting poverty, and policies and programs intended to accelerate economic development."
AAEC - Agricultural and Applied Economics,AAEC 4730, 3 hours.,The World Food Economy,"Examination of the economics of global food and fiber production, consumption, and trade. It explores agriculture's many roles in the global economy vis a vis economic development, food security, political economy, and environmental resource management."
AAEC - Agricultural and Applied Economics,AAEC 4760, 3 hours.,The Economics of Agricultural Processing and Marketing,"The economics of the agricultural processing and marketing sectors. Economics of assembly line production; efficient plant size, location, and operation; the economics of commodity storage; the economics of the marketing sector; spatial competition; and price and quantity competition among firms with market power."
AAEC - Agricultural and Applied Economics,AAEC 4870/6870, 3 hours.,Futures and Option Markets,"Development, functions, and importance of futures and option markets. Futures and option contracts; issues such as speculation, the roles of commission houses, commodity exchanges, and clearinghouses; and the use of future contracts as instruments for financing business activities. Technical and fundamental trading theories."
AAEC - Agricultural and Applied Economics,ENVM(AAEC) 4930/6930, 3 hours.,Environmental Law and Governmental Regulation,"Regulatory theory, externalities and market failures, definition of key regulations affecting agribusiness, overview of local government law, and delineation of environmental laws relating to agriculture. Current environmental issues are related to statutory, administrative, and regulatory authorities."
AAEC - Agricultural and Applied Economics,ENVM(AAEC) 4930E/6930E, 3 hours.,Environmental Law and Governmental Regulation,"Principles of law involved in environmental issues, externalities and market failures, environmental litigation, legislation, and administrative rulings. Environmental issues are related to statutory, administrative, and regulatory authorities."
AAEC - Agricultural and Applied Economics,AAEC 4960R, 1-6 hours. Repeatable for maximum 16 hours credit.,Faculty-Mentored Undergraduate Research I,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, and synthesize and interpret data and to present results in writing and other relevant communication formats."
AAEC - Agricultural and Applied Economics,AAEC(ENVM) 4970R, 1-6 hours. Repeatable for maximum 8 hours credit.,Faculty-Mentored Undergraduate Research II,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, and synthesize and interpret data and to present results in writing and other relevant communication formats."
AAEC - Agricultural and Applied Economics,AAEC 4980, 3 hours.,Agribusiness Management,"Designed to give the student perspective in applying and integrating basic management skills and principles in agribusiness decision making. A workable approach to management is presented, which is built around the management functions of planning, organizing, controlling, and directing. The application of basic skills in economic analysis, marketing, finance, communication, plant operations, and personnel in the management process is illustrated. The general objective of the course is to provide a broad overview of agribusiness and what is required for effective management."
AAEC - Agricultural and Applied Economics,AAEC 4980R, 1-6 hours. Repeatable for maximum 8 hours credit.,Faculty-Mentored Undergraduate Research III,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
AAEC - Agricultural and Applied Economics,AAEC(ENVM) 4990, 1-3 hours. Repeatable for maximum 6 hours credit.,Special Topics in Agricultural and Applied Economics,"Special problems in agricultural, environmental, or other applied economics analysis, decision making, and policy studies."
AAEC - Agricultural and Applied Economics,AAEC(ENVM) 4990R, 1-6 hours. Repeatable for maximum 8 hours credit.,Undergraduate Research Thesis (or Final Project),"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, and synthesize and interpret data. Students will write or produce a thesis or other professional capstone product, such as a report or portfolio that describes their systematic and in-depth inquiry."
AAEC - Agricultural and Applied Economics,AAEC(ENVM) 4990E, 1-3 hours. Repeatable for maximum 6 hours credit.,Special Topics in Agricultural and Applied Economics,"Special problems in agricultural, environmental, or other economics analysis, decision making, and policy studies."
AAEC - Agricultural and Applied Economics,AAEC 6570, 3 hours.,Economic Tools for Business Decisions,"Development and application decision making tools from managerial economics. Specific focus is given to agricultural, food, and fiber industries."
AAEC - Agricultural and Applied Economics,AAEC 6580-6580L, 4 hours. 3 hours lecture and 2 hours lab per week.,Microeconomics: Theory with Applications I,Partial and general equilibrium analyses in the study of efficient resource allocation among households and firms. Perfect and imperfect output and input markets are investigated in terms of economic efficiency.
AAEC - Agricultural and Applied Economics,AAEC 6590, 4 hours.,Microeconomics: Theory with Applications II,"Fundamental economic principles in determining efficient adjustments in agricultural resource use consistent with economic growth, and changing technology and economic conditions."
AAEC - Agricultural and Applied Economics,AAEC 6610L, 1 hour. 2 hours lab per week.,Quantitative Methods in Agricultural Economics Lab,"Introduces students to computer programming relevant to econometric analysis. The lab will use Base SAS and SAS IML and will cover date importation, management and manipulation, matrix functions, regression analysis, graphical functions, interpretation of output, and exporting results to other programs."
AAEC - Agricultural and Applied Economics,AAEC 6610, 3 hours.,Quantitative Techniques in Agricultural Economics,"Basic quantitative techniques in agricultural economic theory, emphasizing basic models used in the study of prices, marketing, and production."
AAEC - Agricultural and Applied Economics,AAEC 6620, 4 hours.,Applied Econometrics,"Standard and advanced econometric techniques are applied to topics in agriculture and resource economics. Techniques include models for cross-section data, such as limited dependent variable models, selectivity techniques, count data models, and models for panel data. Students will conduct statistical analyses and model evaluation."
AAEC - Agricultural and Applied Economics,AAEC 6630E, 3 hours.,Quantitative Methods for Agribusiness Management,"Quantitative methods for agribusiness management focused on seven topics: statistical tests, regression, forecasting, linear programming, non-linear optimization, multi-criteria decision making, and simulation models. These tools are introduced in online lecture modules and then put to practical use using SAS and Excel."
AAEC - Agricultural and Applied Economics,AAEC 6630, 3 hours. 2 hours lecture and 2 hours lab per week.,Quantitative Tools for Agribusiness Management,"Quantitative methods for agribusiness management focused on seven topics, including statistical tests, regression, forecasting, linear programming, non-linear optimization, multi- criteria decision making, and simulation models. These tools are introduced in lecture and then put to practical use in the computer lab using SAS and Excel."
AAEC - Agricultural and Applied Economics,AAEC 6640, 3 hours.,Food Marketing and Merchandising,"Examination of marketing and merchandising in the food and fiber industries. Students evaluate industry structure, conduct, and performance; examine firm marketing strategies and tactics; use topics covered in class to develop a firm marketing plan. Students will also engage industry-relevant case studies throughout the semester."
AAEC - Agricultural and Applied Economics,AAEC 6730, 3 hours.,Agribusiness Accounting,"This course is for Master of Agribusiness (MAB) students who have minimal knowledge of accounting principles or have not taken any other accounting courses. Provides a general understanding of basic accounting principles and concepts to familiarize the students with the fundamental accounting procedures of recording, analyzing, summarizing, and reporting accounting data."
AAEC - Agricultural and Applied Economics,AAEC 6740E, 3 hours.,Agribusiness Financial Management,"Topics in advanced financial management related to agriculture. Advanced financial concepts, including investment analysis, performance of alternative investments, business and financial risk, valuation of assets and farmland investment, and capital budgeting."
AAEC - Agricultural and Applied Economics,AAEC 6960, 3 hours.,International Agricultural Trade,Trade theory and an analysis of agricultural policies among nations.
AAEC - Agricultural and Applied Economics,AAEC 6980, 3 hours.,Advanced Agribusiness Management,Designed to reinforce and strengthen the students’ knowledge of management and financial concepts as applied in an agribusiness setting. This course will expand previously acquired analytical skills and tools in agribusiness decision-making. These skills and knowledge will be applied in real business situations through class projects.
AAEC - Agricultural and Applied Economics,AAEC 7000, 1-9 hours. Repeatable for maximum 36 hours credit.,Master's Research,Research while enrolled for a master's degree under the direction of faculty members.
AAEC - Agricultural and Applied Economics,AAEC 7300, 1-9 hours. Repeatable for maximum 36 hours credit.,Master's Thesis,Thesis writing under the direction of the major professor.
AAEC - Agricultural and Applied Economics,AAEC 7310, 3 hours.,Masters of Agribusiness Research Project,Students will develop a research project under the supervision of their faculty adviser and Master's of Agribusiness committee. The results of the research will be used to produce a written project and an oral presentation.
AAEC - Agricultural and Applied Economics,FANR(AAEC) 7860, 3 hours.,Natural Resource and Environmental Economics I,"Economic and physical concepts of scarcity, the impact of market and social factors on resource use, and the optimal management of renewable and nonrenewable resources."
AAEC - Agricultural and Applied Economics,AAEC 8000, 3 hours. Repeatable for maximum 9 hours credit.,Special Readings in Agricultural Economics,"Literature, the concepts and analytical tools for production economics, marketing, or resource economics."
AAEC - Agricultural and Applied Economics,AAEC 8010, 1 hour. Repeatable for maximum 3 hours credit.,Seminar in Agricultural and Applied Economics,"Agricultural policy, production, marketing, development, trade, agribusiness management or natural resources. Theoretical and methodological issues, empirical analyses, and firm/industry/academic policy and other research issues."
AAEC - Agricultural and Applied Economics,AAEC 8020, 1-3 hours. Repeatable for maximum 9 hours credit.,Topics in Agricultural and Applied Economics,"Agricultural policy, production, marketing, development, trade, agribusiness management or natural resources. Theoretical and methodological issues, empirical analyses, firm/industry policy, and other issues."
AAEC - Agricultural and Applied Economics,AAEC 8030, 2 hours. Repeatable for maximum 6 hours credit.,Development Economics Workshop,"A formalized forum for students to share and present their second-year papers, dissertation chapters, and job market papers related to development. Each student must present their own work at least once during the semester, including submitting a written paper (or a draft thereof) one week before so the rest of the class can read and provide written comments. This approach will help students push their research along and improve it."
AAEC - Agricultural and Applied Economics,AAEC 8080, 3 hours.,Production Economics: Theory and Application,"Economic theory of production, duality, applications, and modeling."
AAEC - Agricultural and Applied Economics,AAEC 8100, 3 hours.,Nonmarket Economic Valuation Techniques and Applications,"Economic analysis of contemporary rural natural resources, environmental policies, and agricultural policies and projects. Application of theory and techniques to local, state, and national problems and issues, particularly those affecting rural areas."
AAEC - Agricultural and Applied Economics,EHSC(AAEC) 8120, 2 hours.,Roles and Responsibilities of Environmental Policy Makers,"Roles of science, engineering, law, journalism, economics, grass roots activism, and the legislative and regulatory process in the development of environmental policy."
AAEC - Agricultural and Applied Economics,AAEC 8140, 3 hours.,Consumer Demand Theory,"Theoretical treatment of consumer demand. Utility theory and its assumptions, consumer behavior theory, and problems of application in agricultural and applied economics."
AAEC - Agricultural and Applied Economics,AAEC 8150, 3 hours.,Survey Design and Experimental Economics,"Provides an advanced introduction to the development, implementation, and analysis of surveys and experiments to collect primary data for economic research and test economic theory. The theory, methods, and econometrics of experiments will be covered, with attention to recent issues in the behavioral and experimental economics literature."
AAEC - Agricultural and Applied Economics,AAEC 8210, 3 hours.,Macroeconomics Issues in Agricultural and Natural Resources,"The modeling and understanding of macroeconomic questions. Course deals with aggregate issues, as well as the allocation and distribution of resources and income. Focus on issues in the agriculture and natural resources sectors."
AAEC - Agricultural and Applied Economics,AAEC 8260, 3 hours.,Advanced Nutrition Policy Analytics,"Nutrition globally is increasingly characterized by significant consumption of energy-dense, nutrient-poor food products that can contribute to poor health outcomes. This course will teach technically advanced but practical microeconomic and econometric tools to conduct robust and timely nutrition and food policy analysis using large data on food sales and purchases."
AAEC - Agricultural and Applied Economics,AAEC 8300, 2 hours.,Agricultural Economics Research,"Methodology, techniques, and guidance for individual research in problems of agricultural economics."
AAEC - Agricultural and Applied Economics,AAEC 8350, 1 hour.,Research and Professional Development,"Designed to prepare graduate students for post-degree employment, particularly as university professors. Topics covered include formulating a research question and project, reviewing manuscripts, writing grants, making presentations, writing and submitting journal articles, building an extension program, and teaching a university course."
AAEC - Agricultural and Applied Economics,AAEC 8351, 1 hour.,Research and Professional Development,"Designed to prepare graduate students for post-degree employment, particularly as university professors. Topics covered include formulating a research question and project, reviewing manuscripts, writing grants, making presentations, writing and submitting journal articles, building an extension program, and teaching a university course."
AAEC - Agricultural and Applied Economics,AAEC 8352, 1 hour.,Research and Professional Development,"Designed to prepare graduate students for post-degree employment, particularly as university professors. Topics covered include formulating a research question and project, reviewing manuscripts, writing grants, making presentations, writing and submitting journal articles, building an extension program, and teaching a university course."
AAEC - Agricultural and Applied Economics,AAEC 8400, 3 hours.,Agricultural Market Structure and Analysis,"The market in economic development and evaluation of structure, conduct, and performance in the United States agribusiness sector. Problems of market coordination and associated policy issues."
AAEC - Agricultural and Applied Economics,AAEC 8500, 3 hours.,Price Analysis,"Provides an advanced introduction to the understanding of forces that determine the level and behavior of commodity prices, linkages across commodity markets, and forecasting price levels and volatility. Includes price analysis of the futures contracts on commodities traded on organized exchanges. Integrates economic theory and analytical methods with applied econometric methods developed in the commodity price analysis literature."
AAEC - Agricultural and Applied Economics,AAEC 8610, 3 hours.,Advanced Quantitative Methods for Economists,"Aims to advance econometric and quantitative skills for applied data analysis. Focus on data processing and visualization using R, use of conventional (array) and unconventional (spatial, text) data types, econometrics for causal inference, and essential machine learning applications."
AAEC - Agricultural and Applied Economics,AAEC(ECOL) 8700, 3 hours.,Advanced Environmental Economics and Policy Analysis,"Application of the economics toolkit to the analysis of environmental policy and regulations including policy instruments and implementation. Theoretical and empirical models are considered. Concepts are applied mainly to United States environmental policy toward air and water pollution, hazardous substances, and implementation of environmental law."
AAEC - Agricultural and Applied Economics,AAEC 8710, 3 hours.,Advanced Microeconomics of International Development,"Major economic problems of the agricultural sector of developing countries and a study of policy instruments which have been used to resolve these problems. Readings-based course on key topics in international economic development, focusing on applications to agriculture. In addition to covering key topics, the papers for this course invoke a variety of empirical methods for causal estimation."
AAEC - Agricultural and Applied Economics,AAEC 8730, 3 hours.,Advanced International Development and Rural Economies,"Discussion of key micro-economic papers in development economics, with an emphasis on the agricultural household model, productivity measurement and growth, consumption and poverty, factor markets, and structural transformation. We also develop scholarly research skills, including formulating research ideas, peer reviews, and replicating relevant papers."
AAEC - Agricultural and Applied Economics,AAEC 8750, 3 hours.,Natural Resource Economics II,"Management of natural and environmental resources. Major theoretical concepts will provide a basis for examination of efficient production and consumption allocation decisions related to natural resources. Emphasis will center on economic, institutional, and legal aspects which prevent private markets from efficiently valuing resources."
AAEC - Agricultural and Applied Economics,AAEC 9000, 1-9 hours. Repeatable for maximum 36 hours credit.,Doctoral Research,Research while enrolled for a doctoral degree under the direction of faculty members.
AAEC - Agricultural and Applied Economics,AAEC 9300, 1-9 hours. Repeatable for maximum 36 hours credit.,Doctoral Dissertation,Dissertation writing under the direction of the major professor.
ACCT - Accounting,ACCT 1160, 3 hours.,Survey of Accounting,"An overview of the basic concepts of financial and managerial accounting. Students are taught how to prepare, read, and analyze corporate financial statements. Additionally, students are taught the tools and techniques necessary for managerial planning, controlling, and decision making."
ACCT - Accounting,ACCT 1160E, 3 hours.,Survey of Accounting,"An overview of the basic concepts of financial and managerial accounting. Students are taught how to prepare, read, and analyze corporate financial statements. Additionally, students are taught the tools and techniques necessary for managerial planning, controlling, and decision making."
ACCT - Accounting,ACCT 2101E, 3 hours.,Principles of Accounting I,"Basic accounting systems, concepts, and principles. The primary goals of this course are to develop an understanding of the accounting process and to summarize and communicate information useful in making economic decisions."
ACCT - Accounting,ACCT 2101H, 3 hours.,Principles of Accounting I (Honors),Basic principles of financial accounting and the accounting environment. Students learn to record business transactions and to prepare financial statements. A research project is required.
ACCT - Accounting,ACCT 2101, 3 hours.,Principles of Accounting I,"Basic accounting systems, concepts, and principles. The primary goals of this course are to develop an understanding of the accounting process and to summarize and communicate information useful in making economic decisions."
ACCT - Accounting,ACCT 2102, 3 hours.,Principles of Accounting II,"Basic managerial accounting systems, concepts, and principles. The analysis, interpretation, and reporting of cost data for management's decision making needs. Cost-volume-profit analysis, budgeting, and performance reporting are discussed as they relate to other business disciplines."
ACCT - Accounting,ACCT 2102H, 3 hours.,Principles of Accounting II (Honors),"The analysis, interpretation, and reporting of managerial accounting information for management's use in operating a business. Concepts and methods, such as capital budgeting and break-even analysis, are related to other business disciplines."
ACCT - Accounting,ACCT 2102E, 3 hours.,Principles of Accounting II,"Basic managerial accounting systems, concepts, and principles. The analysis, interpretation, and reporting of cost data for management's decision making needs. Cost-volume-profit analysis, budgeting, and performance reporting are discussed as they relate to other business disciplines."
ACCT - Accounting,ACCT 4900, 3 hours.,International Accounting,"Issues commonly faced by the international accountant and a comparison of international and U.S. accounting standards. Topics include reconciling differences between international and U.S. financial statements, international accounting diversity, auditing, taxation, transfer pricing, and foreign currency issues."
ACCT - Accounting,ACCT 4960R, 1-6 hours. Repeatable for maximum 16 hours credit.,Faculty-Mentored Undergraduate Research I,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
ACCT - Accounting,ACCT 4970R, 1-6 hours. Repeatable for maximum 8 hours credit.,Faculty-Mentored Undergraduate Research II,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
ACCT - Accounting,ACCT 4980R, 1-6 hours. Repeatable for maximum 8 hours credit.,Faculty-Mentored Undergraduate Research III,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
ACCT - Accounting,ACCT 4990R, 1-6 hours. Repeatable for maximum 8 hours credit.,Undergraduate Research Thesis (or Final Project),"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data. Students will write or produce a thesis or other professional capstone product, such as a report or portfolio that describes their systematic and in-depth inquiry."
ACCT - Accounting,ACCT 5000/7000, 3 hours.,Intermediate Accounting I,"Accounting concepts, critical thinking skills, and techniques involved in the accounting process and the preparation of financial statements. Emphasis is on accounting for most assets. Financial statements from the perspective of both preparers and users, accounting standard-setting process, and economic consequences of accounting standards on a firm's stakeholders."
ACCT - Accounting,ACCT 5001E, 3 hours.,Financial Reporting and Analysis,"Accounting principles of corporate financial reporting. Develops an understanding of how intermediate accounting concepts and the flexibility in financial reporting rules can affect managers judgments; how business complexities, economic concerns, and other manager incentives also influence these judgments; and how managers’ financial reporting decisions ultimately shape the financial statements reported to external stakeholders."
ACCT - Accounting,ACCT 5001/7001, 3 hours.,Financial Reporting and Analysis,"Accounting principles of corporate financial reporting. Develops an understanding of how intermediate accounting concepts and the flexibility in financial reporting rules can affect managers judgments; how business complexities, economic concerns, and other manager incentives also influence these judgments; and how managers’ financial reporting decisions ultimately shape the financial statements reported to external stakeholders."
ACCT - Accounting,ACCT 5010/7010, 3 hours.,Intermediate Accounting II,"A continuation of Intermediate Accounting I. New topics include accounting for intangible assets, current and long-term liabilities, stockholders' equity, earnings per share, and investments."
ACCT - Accounting,ACCT 5020/7020, 3 hours.,Intermediate Accounting III,"A continuation of Intermediate Accounting II. New topics include revenue recognition, accounting changes and errors, income taxes, pensions, and leases."
ACCT - Accounting,ACCT 5100, 3 hours.,Managerial Accounting I,"The design of accounting systems to serve the internal needs of management with an emphasis on underlying theory. Product costing, including activity-based costing; budgeting and other planning applications, information for decision making, planning and control application for decentralized organizations."
ACCT - Accounting,ACCT 5100H, 3 hours.,Managerial Accounting I (Honors),"The design of accounting systems to serve the internal needs of management with an emphasis on underlying theory. Product costing, including activity-based costing; budgeting and other planning applications, information for decision making, planning and control application for decentralized organizations."
ACCT - Accounting,ACCT 5200H, 3 hours.,"Auditing, Risk Assessment, and Control (Honors)","Assurance services with focus on the audit of financial statements. The basic financial statement audit process is discussed, including the concepts of evidence, materiality, and risk. The role of professional ethics and legal liability in the auditing profession."
ACCT - Accounting,ACCT 5200, 3 hours.,"Auditing, Risk Assessment, and Control","Assurance services with focus on the audit of financial statements. The basic financial statement audit process is discussed including the concepts of evidence, materiality, and risk. The role of professional ethics and legal liability in the auditing profession."
ACCT - Accounting,ACCT 5310, 3 hours.,Accounting Information Systems and Data Analytics,"The role of accounting information systems (AIS) and the use of data analytics for organizational control and decision making. Topics include business processes, risk, control practices, AIS design, and the audit of AIS. It also includes data analytics and visualization in Excel, Access, and other data analytic tools."
ACCT - Accounting,ACCT 5310H, 3 hours.,Systems I (Honors),"Accounting information systems (AIS), including the role of such systems in an organization, electronic data processing, AIS applications, AIS analysis and design, AIS controls, and the audit of AIS."
ACCT - Accounting,ACCT 5400, 3 hours.,Taxation I,A basic federal income tax course covering concepts of taxation applicable to all taxable entities but primarily relating to individuals. Introduces research approaches to tax problems as well as methods of analysis most appropriate to taxation issues.
ACCT - Accounting,ACCT 5400H, 3 hours.,Taxation I (Honors),A basic federal income tax course covering concepts of taxation applicable to all taxable entities but primarily relating to individuals. Introduces research approaches to tax problems as well as methods of analysis more appropriate to taxation issues.
ACCT - Accounting,ACCT 5410/7410, 3 hours.,Taxation II,"The federal taxation of business entities and owners, primarily focusing on corporations and shareholders. The tax provisions governing business entities, as well as the impact of those provisions on business decisions and choice of entity form."
ACCT - Accounting,ACCT 5600, 3 hours. Repeatable for maximum 9 hours credit.,Special Topics in Accounting,"The accounting field evolves rapidly and covers many topic areas. Recent developments in areas such as accounting information systems, auditing, cost accounting, financial accounting, and taxation."
