"course_code","course_name","description","level"
"GOV 385N","Introduction to Formal Political Analysis.","Critical, comparative survey of important formal theories of political processes, stressing general approaches rather than mathematical results. Presupposes no technical background. Field core course. Three lecture hours a week for one semester. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"GOV 385R","Seminar in Formal Theory.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"GOV 386J","Social Science Research for Political Professionals.","Restricted to students in the option III master's program in applied politics. A survey of research methods focused on applications for policy, legislative, and advocacy purposes. Covers quantitative and qualitative methods including basic statistical analysis as well as legal and public source research. Three lecture hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Graduate standing.","Graduate Courses"
"GOV 386L","Survey Methods for Campaigns and Advocacy.","Restricted to students in the option III master's program in applied politics. An introduction to the use of statistical methods in political practice, including an overview of statistical concepts; special attention is paid to survey design, analysis, and use of common statistical applications. Three lecture hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Graduate standing.","Graduate Courses"
"GOV 388K","The Study of International Relations.","Comparison of various theories of international politics and analysis of basic forces that underlie national policies and condition the nature and concerns of contemporary international relations. Discussion, reading, and research. Field core course. Three lecture hours a week for one semester. Prerequisite: Graduate standing, twenty-four semester hours of coursework in government or related fields, and consent of the graduate adviser.","Graduate Courses"
"GOV 388L","Seminar in International Relations.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing, twenty-four semester hours of coursework in government or related fields, and consent of the graduate adviser.","Graduate Courses"
"GOV 390K","Comparative Study of Political Systems.","Theory and method of comparative political study; varieties of governmental institutions in Western and non-Western countries; comparative examination of political institutions. Field core course. Three lecture hours a week for one semester. Prerequisite: Graduate standing, twenty-four semester hours of coursework in government or related fields, and consent of the graduate adviser.","Graduate Courses"
"GOV 390L","Seminar in Comparative Government and Politics.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing, twenty-four semester hours of coursework in government or related fields, and consent of the graduate adviser.","Graduate Courses"
"GOV 391J","Statistical Analysis in Political Science I.","An introductory course covering estimation theory and hypothesis testing for statistical models in political science and the basic probability theory needed for statistical theory. Three lecture hours a week for one semester. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"GOV 391K","Seminar in Political Science.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing, twenty-four semester hours of coursework in government or related fields, and consent of the graduate adviser.","Graduate Courses"
"GOV 391L","Statistical Analysis in Political Science II.","Multivariate statistical techniques and their applications to problems in political science. Field core course. Three lecture hours a week for one semester. Prerequisite: Graduate standing, one course in statistics, and consent of the graduate adviser.","Graduate Courses"
"GOV 391R","Research Colloquium in Political Science.","Forum for development of research projects and dissertation proposals. Three lecture hours a week for one semester.  Offered on the credit/no credit basis only. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"GOV 397K, 697K, 997K","Conference Course in Political Science.","Readings in the literature of political science in fields in which the student is preparing for the qualifying examinations for the Doctor of Philosophy.  May be repeated for credit. Prerequisite: Graduate standing, twenty-four semester hours of coursework in government or related fields, and consent of the graduate adviser.","Graduate Courses"
"GOV 698","Thesis.","The equivalent of three lecture hours a week for two semesters.  Offered on the credit/no credit basis only. Prerequisite: For 698A , graduate standing in government, twelve semester hours of upper-division or graduate coursework in government, six of which must be in the field of the thesis subject, and consent of the graduate adviser; for 698B , Government 698A .","Graduate Courses"
"GOV 398R","Master's Report.","Preparation of a report to fulfill the requirement for the master's degree under the report option. The equivalent of three lecture hours a week for one semester.  Offered on the credit/no credit basis only. Prerequisite: Graduate standing in government and consent of the graduate adviser.","Graduate Courses"
"GOV 398T","Supervised Teaching in Government.","Teaching under the close supervision of the course instructor; group meetings with the instructor, individual consultations, and reports throughout the teaching period. Three lecture hours a week for one semester.  Offered on the credit/no credit basis only. Prerequisite: Graduate standing, appointment as a teaching assistant, and consent of the graduate adviser.","Graduate Courses"
"GOV 399W, 699W, 999W","Dissertation.","May be repeated for credit. Offered on the credit/no credit basis only. Prerequisite: Admission to candidacy for the doctoral degree.","Graduate Courses"
"GRG 301C, 401C","The Natural Environment.","An introduction to the study of the Earth from a holistic perspective including geologic, atmospheric, ecological, and water sciences and its relevance to present-day environmental problems. Three lecture hours and one-and-one-half laboratory hours a week for one semester.","Lower-Division Courses"
"GRG 301K (TCCN: GEOL 1347)","Weather and Climate.","A survey of meteorological phenomena and climatological processes of the earth. Three lecture hours a week for one semester.","Lower-Division Courses"
"GRG 302L","Landscapes and Cosmovision in Mesoamerica.","Explore the ancient civilizations of Mesoamerica, the ways in which they are studied, the landscapes they inhabited, their worldview, and the persistence of the past into the present. Discover how different societies manifested a core set of beliefs shared by all Mesoamerican civilizations while at the same time maintaining local cultural identities. Assess changes in Mesoamerica both spatially and temporally from the Archaic Period through the Spanish Conquest, colonialism, and into modern times. Three lecture hours a week for one semester. Geography 302L and 302S (Topic: Lanscp and Cosmovisn Mesoam) may not both be counted. Offered on the letter-grade basis only.","Lower-Division Courses"
"GRG 302S","Special Topics in Geography.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary.","Lower-Division Courses"
"GRG 304E, 404E","Environmental Science: A Changing World.","Surveys the major global environmental concerns affecting the Earth and its residents from the perspectives of the environmental sciences. Three lecture hours and one-and-one-half laboratory hours a week for one semester.","Lower-Division Courses"
"GRG 305 (TCCN: GEOG 1302)","This Human World: An Introduction to Geography.","Introductory survey of human geography, including human-environment relations, cultural patterns and processes, and geography's relation to other fields of study. Three lecture hours and one laboratory hour a week for one semester.","Lower-Division Courses"
"GRG 306C","Conservation.","Introduction to environmental management, with emphasis on the major causes and consequences of environmental degradation. The course is organized around the premise that people cannot solve environmental problems unless they know how and why they occur; a major objective is to identify and understand the sociocultural forces that drive environmental degradation. Three lecture hours a week for one semester.","Lower-Division Courses"
"GRG 307C","Introduction to Urban Studies.","Same as Urban Studies 301 . A multidisciplinary study of cities and complex urban environments; historical and contemporary issues from both national and international perspectives. Three lecture hours a week for one semester. Geography 307C and Urban Studies 301 may not both be counted.","Lower-Division Courses"
"GRG 309C","Creating the Sustainable Society.","Same as Sociology 309C . Overview of sustainability as something human beings must strive to create in an era of global warming and ever greater social inequalities, both between and within countries. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 302P (Topic: Creating Sustainable Societies), 309C , Sociology 304 (Topic: Creating Sustainable Societies), 309C .","Lower-Division Courses"
"GRG 310C, 410C","Spatial Data and Analysis.","Fundamental concepts in spatial data acquisition, analysis, and presentation, with emphasis on the needs of professionals in cartography, geographic information systems (GIS), and remote sensing. Three lecture hours and one-and-one-half laboratory hours a week for one semester.","Lower-Division Courses"
"GRG 312E, 412E","Digital Earth.","Explore concepts in geospatial technologies that are becoming increasingly important tools in research, policy, and everyday life. Discuss geospatial data sources (ex. GPS, citizen science, satellite imagery), applications (ex. disaster relief, biodiversity conservation, disease spread), and broader implications of their use (ex. privacy, ethical, legal issues). For each semester hour of credit earned, the equivalent of one lecture hour a week for one semester.","Lower-Division Courses"
"GRG 319","Geography of Latin America.","Same as Latin American Studies 319 . Adaptations to population growth and spatial integration in cultural landscapes of great natural and ethnic diversity; problems of frontiers and cities. Three lecture hours a week for one semester.","Lower-Division Courses"
"GRG 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","Topics in Geography.","This course is used to record credit the student earns while enrolled at another institution in a program administered by the University's Study Abroad Office. Credit is recorded as assigned by the study abroad adviser in the Department of Geography and the Environment. University credit is awarded for work in an exchange program; it may be counted as coursework taken in residence. Transfer credit is awarded for work in an affiliated studies program.  May be repeated for credit when the topics vary.","Lower-Division Courses"
"GRG 320J","Environmental Justice.","Examine the socio-political, economic, and racialized history of both environmental ruin and environmental justice via a critical geographic lens connecting feminist political ecology, antiracist and abolitionist ecologies, decolonial geographies, and critical physical geographies. Three lecture hours a week for one semester Only one of the following may be counted: Geography 320J , 356 (Topic: Environmental Justice), Liberal Arts Honors 350 (Topic: Environmental Justice). Offered on the letter-grade basis only. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 320K","Land and Life: The American Southwest.","Historical geography of the southwestern United States, emphasizing the ways of life of American Indian, Spanish, mestizo, and Anglo cultures. Three lecture hours a week for one semester, with one field trip to be arranged. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 320M","Geography of Media.","Explores communication media from a geographical perspective. Subjects include place images, changing attitudes about public and private spaces, social networking, and the geography of communications infrastructure. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 320M , 356T (Topic: Geography of Media), 356T (Topic 7) Offered on the letter-grade basis only. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 320N","Exhibitions and Public Spectacle.","Same as Comparative Literature 323 (Topic 46), European Studies 347 (Topic 41), and German, Scandinavian, and Dutch Studies 361N . Investigate exhibits, world's fairs, museum, monuments, theme parks, and historical reconstructions from Europe and the US, with attention to images of how their sponsoring nations or other entities want to be seen. Examine evidence for both the good and bad sides of national pride and identity. Explore examples of how large-scale culture projects and the public interact. Consider the lasting marks left on the cities and countries sponsoring them. Three lecture hours a week for one semester. Only one of the following may be counted: Comparative Literature 323 (Topic: Exhibitionism and Public Spectacle), 323 (Topic 46), European Studies 347 (Topic: Exhibitionism and Public Spectacle), 347 (Topic 41), Geography 320N , 356T (Topic: Exhibitionism and Public Spectacle), German, Scandinavian, and Dutch Studies 360 (Topic: Exhibitionism and Public Spectacle), 361N . Prerequisite: Upper division standing.","Upper-Division Courses"
"GRG 321D","Development and Social Movement in East and Southeast Asia.","Same as Asian Studies 361J . Examine the notions of development and the ways in which development is associated with state building, moral economy, political performance, and accumulation regimes. Explore the development of civil society and social movement in East Asia, and explanations of the mechanisms and drivers of displacement. Conceptualize the ""Right to the City"", and alternative right-based approaches to land, housing, infrastructure, commons and public resources. Three lecture hours a week for one semester. Only one of the following may be counted: Asian Studies 361 (Topic: Development and Movement), 361J , Geography 321D , 356T (Topic: Development and Movement). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 321F","Food in the Racialized City.","Same as African and African Diaspora Studies 352P and American Studies 371C . Explore a variety of issues related to producing, accessing, and consuming food in city spaces in the context of racial inequities. Investigate and question constructs such as ""food"" and ""city"" as means of exploring different points of view and approaches to studying not only food and cities but also various approaches to food justice. Three lecture hours a week for one semester. Only one of the following may be counted: African and African Diaspora Studies 352P , 370 (Topic: Food in the Racialized City), American Studies 371C , Geography 321F . Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 321L","Archaeology of Climate Change.","Same as Anthropology 324L (Topic 57). Examines why climate changes, the methods for recording climate change, and includes case studies of the varied responses of past human societies to climate change in different geographic regions and time periods with varying socio-political and economic systems. Three lecture hours a week for one semester. Only one of the following may be counted: Anthropology 324L (Topic: Archaeology of Climate Change), 324L (Topic 57), Geography 321L , 356 (Topic: Archaeology of Climate Change). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 321U","Race, Social Justice, and the City.","Same as Urban Studies 322R . Examine the way that race and inequality are built into the structures and ideas surrounding urban life through the spatial and racial structures of capitalist development, racialized migration, and redevelopment and gentrification campaigns. Analyze how United States cities are racial geographies. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 321U , Urban Studies 322R , Urban Studies 354 (Topic: Race, Social Just & the City). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 322D","Human Health and the Environment.","Same as Urban Studies 332D . Introduction to environmental health concepts. Examine current events to explore the relationship between environment and health and whether an environmental condition is or is not an important threat to health. Discuss the complexity of determining ""proof"" in this field. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 322D , 356T (Topic 9), Urban Studies 332D , 350 (Topic 2). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 322G","Politics of Protecting the Great Barrier Reef.","Same as Government 347P . Examine the numerous environmental challenges Australia's Great Barrier Reef (GBR) faces. Explore the livelihoods of the people who depend on or impact the GBR, and the people who are trying to save it. Three lecture hours a week for one semester. Geography 322G and Government 347P may not both be counted. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 322L","Geographies of Latin American to United States Migration.","Same as Latin American Studies 325E . Examine the contemporary complex multi-scalar origins, patterns, and processes of Latin American and Caribbean migration and settlement in the United States. Through a place-specific, spatially contextualized, and historically situated approach, explore the collective and individual experiences of migrants, asylum seekers, and refugees from select nations including: Mexico, Guatemala, Honduras, El Salvador, Puerto Rico, the Dominican Republic, Haiti, and Cuba. Analyze the multi-layered factors shaping diverse Latin American migratory patterns and processes. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 322L , 356T (Topic: Geog of Lat American-U.S. Migr), Latin American Studies 325E , 330 (Topic: Geog of Lat American-U.S. Migr). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 322M","Maya Art and Architecture.","Same as Anthropology 323V , Art History 347M , and Latin American Studies 327 (Topic 5). Introduction to the artistic traditions of the ancient Maya, tracing their development up to the time of European contact. Students will examine various important themes of Maya culture including history, ritual, and cosmology as revealed in sculpture, hieroglyphs, painting, and architectural design. Three lecture hours a week for one semester. Only one of the following may be counted: Anthropology 323V , 324L (Topic: Maya Art and Architecture), Art History 347M , Latin American Studies 327 (Topic 5), Geography 322M , 356T (Topic: Maya Art/Architecture).","Upper-Division Courses"
"GRG 323K","South America: Nature, Society and Sustainability.","Same as Latin American Studies 330 (Topic 3). Field study of environmental and social change in selected landscapes in South America, such as protected areas; places of food production; transportation routes; migrant landscapes; urban areas; sites of cultural and historical importance; and issues of human rights. Three lecture hours a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 323M","Literature, Culture, and Ecology in Northern and Central Europe.","Same as Comparative Literature 323K , European Studies 347 (Topic 61), and German, Scandinavian, and Dutch Studies 362M . Explore a variety of texts, films, and artifacts from Northern and Central Europe for the insights they provide about the interrelationships between nature and culture and strategies for developing a sustainable relationship to the world around us. Three lecture hours a week for one semester. Only one of the following may be counted: Comparative Literature 323K , European Studies 347 (Topic 61), Geography 323M , German, Scandinavian, and Dutch Studies 362M . Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 324E","Applications and Ethics of Digital Spatial Technologies.","Explore the applications and ethical considerations of remote sensing, the Global Positioning System (GPS), and Geographic Information System (GIS) technologies and practice. Three lecture hours a week for one semester. Geography 324E and 356T (Topic: Dig Spatial Tech: App/Ethcs) may not both be counted. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 324F","Race, Capitalism, and the Environment.","Same as African and African Diaspora Studies 351U and Women's and Gender Studies 340 (Topic 82).  Three lecture hours a week for one semester. Only one of the following may be counted: African and African Diaspora Studies 351U , 372C (Topic: Race/Capitalism/Environment), Geography 324F , 356T (Topic: Race/Capitalism/Environment), Women's and Gender Studies 340 (Topic: Race/Capitalism/Environment), 340 (Topic 82). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 324M","Sustainable Maya Geographies - Past to Future.","Same as Anthropology 326M and Latin American Studies 330 (Topic 6). Explore landscapes, conservation, and human-environment dynamics in the Maya region of Central America from more than 10, 000 years ago to modern times. Compare sustainable practices from the past with those of indigenous Maya communities today to guide the future. Three lecture hours a week for one semester. Only one of the following may be counted: Anthropology 326M , Geography 324M , 356T (Topic: Sust Maya Geog: Past to Future), Latin American Studies 330 (Topic 6). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 325","Geography of Texas.","Texas as an environmental and cultural borderland: as a transition zone between plains and mountains, humid and arid, South and West, Anglo-America and Latin America. Three lecture hours a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 325E","The Healthy, Livable City.","Same as Urban Studies 325E . Explore the design of the built environment and its potential for addressing and preventing many childhood and adult health concerns in the United States. Examine how to create healthy, walkable, vital communities for all. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 325E , Geography 356 (Topic: The Healthy, Livable City), Urban Studies 325E , 352 (Topic: The Healthy, Livable City). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 326","Regions and Cultures of Europe.","Same as European Studies 346 (Topic 19) and Russian, East European, and Eurasian Studies 345 (Topic 2). Spatial patterns in Europe, with emphasis on cultural, historical, and political geography. Only one of the following may be counted: European Studies 346 (Topic: Regions and Cultures of Europe), 346 (Topic 19), Geography 326 , Russian, East European, and Eurasian Studies 345 (Topic 2). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 326C","Sensing: Elemental Media.","Same as Anthropology 323U and Urban Studies 320E . Explore a sensory ethnographic investigation of urban ecology, organized around air, water, earth, and fire as themes for engaging with the city through media and the senses. Three lecture hours a week for one semester. Only one of the following may be counted: Anthropology 323U , 324L (Topic: Sensing: Elemental Media), Geography 326C , Urban Studies 320E . Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 326G","International Political Economy of Lower-Income Countries.","Same as Government 366M and Sociology 324P . Explore the ways that China, India, Brazil and other lower-income countries are transforming the patterns in global finance, trade, aid, women's empowerment, and the control or corruption. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 326G , Government 355M (Topic: Intl Pol Econ Low-Incm Countrs), 366M , Sociology 324P . Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 327","Geography of the Former Soviet Union.","Same as Russian, East European, and Eurasian Studies 345 (Topic 4: Geography of the Former Soviet Union). A systematic introduction to cultural, physical, political, and economic geography of the former Soviet Union. Focus on the fundamental transformation that the former Socialist Union Republics, now sovereign states, have undergone since 1991. Three lecture hours a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 328E","Geography in Eastern Europe and Eurasia.","Same as Comparative Literature 323 (Topic 78), History 361U , and Russian, East European, and Eurasian Studies 335 (Topic 37). Explore alternatives to nation-state imaginaries across Eastern Europe and Eurasia. Examine spatial thinking, utopia, dystopia, the history of geosciences, counter-mapping, and the decolonial geopoetics of space. Three lecture hours a week for one semester. Only one of the following may be counted: Comparative Literature 323 (Topic 78), Geography 328E , History 361U , Russian, East European, and Eurasian Studies 335 (Topic 37). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 328F","Black Geographies.","Same as African and African Diaspora Studies 352Q , American Studies 371D , and Anthropology 323O . Explore the relationship between Blackness and the production of space and place. Examine the tensions and possibilities that emerge when Black people are rendered un-geographic as a fundamental component of racial capitalism while they are simultaneously creating spaces of freedom under constant threats to Black life. Three lecture hours a week for one semester. Only one of the following may be counted: African and African Diaspora Studies 352Q , 370 (Topic: Black Geographies), American Studies 371D , Anthropology 323O , Geography 328F . Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 328L","Asian Diaspora on Indigenous Lands.","Same as Asian American Studies 330I . Explore Indigenous and Asian entanglements and solidarities on Turtle Island (North America) and the Pacific. Examine settler colonialism, racial capitalism, war and militarism, racism and power, and environmental change. Three lecture hours a week for one semester. Only one of the following may be counted: Asian American Studies 335 (Topic: Asian Dias on Indigen Lands), 330I , Geography 328L . Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","Topics in Geography.","This course is used to record credit the student earns while enrolled at another institution in a program administered by the University's Study Abroad Office. Credit is recorded as assigned by the study abroad adviser in the Department of Geography and the Environment. University credit is awarded for work in an exchange program; it may be counted as coursework taken in residence. Transfer credit is awarded for work in an affiliated studies program.  May be repeated for credit when the topics vary.","Upper-Division Courses"
"GRG 330F","Geographies of International Development in Africa.","Same as African and African Diaspora Studies 340M . Critically examines the major approaches to ""Development"" in colonial and postcolonial eras, with a focus on a range of African resources: from water to wildlife, forests to farms, airways to rangelands, and including a consideration of African bodies themselves as sites of development and resistance. Three lecture hours a week for one semester. Only one of the following may be counted: African and African Diaspora Studies 340M , 372F (Topic: Intl Development in Africa), 372F (Topic 1), Geography 330F , 356T (Topic: Intl Development in Africa), 356T (Topic 10). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 330L","Lidar Analysis.","Discuss the fundamental concepts and applications of light detection and ranging (lidar). Assess aerial and ground-based lidar including the quality of the data, how to process the raw data, and analysis of data. Three lecture hours a week for one semester. Geography 330L and 356T (Topic: Lidar Analysis) may not both be counted. Prerequisite: Geography 460G or 462K .","Upper-Division Courses"
"GRG 330W, 430W","Water and Watersheds.","Exposure to numerical analyses techniques developed by hydrologists and to fundamental equations controlling water transfer over and through earth materials. Learn how to administer hydrologic applications to practical problems in physical geography, geology, civil engineering, ecology, and environmental sciences. For 330W , three lecture hours a week for one semester; for 430W , three lecture hours and one-and-one-half laboratory hours a week for one semester. Geography 330W and 356 (Topic: Water and Watersheds) may not both be counted. Prerequisite: Upper-division standing and Geography 301C .","Upper-Division Courses"
"GRG 331E","East European Transnational Worlds to 1914.","Same as History 361T and Russian, East European, and Eurasian Studies 335 (Topic 38). Examine an overview of major developments in the economic, political, social, cultural, and gender and sexuality fields of East European history before 1914. Explore diplomacy, institutional legacies of war and peace, urban and rural developments and inequalities, spaces of language and religion, race, labor migration, and the arts. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 331E , History 361T , Russian, East European, and Eurasian Studies 335 (Topic 38). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 331K","Nature, Society, and Adaptation.","Same as Anthropology 324L (Topic 17: Cultural Ecology). Long term trajectories of change in human environment relationships, including issues of human evolution and human nature, violence, population, food, agriculture, urbanization, globalizing modernization, and environmental impacts; issues of sustainability, cultural survival, human rights, and environmental protection. Three lecture hours a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 333C","Severe and Unusual Weather.","A continuation of Geography 301K , focuses on atmospheric hazards such as severe thunderstorms and their offspring (hail, lightning, tornadoes, damaging winds and flash floods) as well as tropical cyclones. Covers human risk perception in relation to atmospheric hazards. Three lecture hours a week for one semester, with additional field hours to be arranged. Prerequisite: Geography 301K .","Upper-Division Courses"
"GRG 333K","Climate Change.","Examines changes in climatic systems over both short and long time periods in relation to impacts on physical and ecological systems. Discusses past, present, and future changes in climatic conditions and the methods used to make those evaluations. Three lecture hours a week for one semester. Geography 333K and 356T (Topic: Climate Change) may not both be counted. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 334","Conservation, Resources, and Technology.","Analysis of the relationship between the human population and its resource base, with particular emphasis on current problems in environmental resource management. Three lecture hours a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 334E","Children's Environmental Health.","Discuss environmental health issues as they pertain to children's health. Focus on emerging scientific and public health issues such as water quality, air pollution, endocrine-disrupting chemicals, and the food environment. Three lecture hours a week for one semester. Geography 334E and 356 (Topic 1) may not both be counted. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 334K","Soils.","Morphology, genesis, properties, and distribution of world soils. Factors of soil formation. Three lecture hours a week for one semester. Prerequisite: Upper-division standing; and six semester hours of coursework in physical geography or one or more of the geological or natural sciences, or the equivalent.","Upper-Division Courses"
"GRG 334L","Vulnerability to Natural Hazards.","Same as Latin American Studies 330 (Topic 5). An interdisciplinary approach, set right at the nexus of both physical and human geography, to studying the types of natural disasters that occur throughout Earth with a focus on tropical areas. Explore a region's susceptibility to natural disasters by studying the physical phenomena that incite specific hazards so that their spatial distribution can be outlined. Utilize theoretical frameworks that can expose the social causes of human vulnerability, the political repercussions of disasters, and how disaster response varies from country to country depending on varying political stances and economic conditions. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 334C , 334L , Latin American Studies 330 (Topic: Environment Hazards Latin America/Caribbean), 330 (Topic 5). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 335C","Quaternary Landscapes.","Changing physical and biotic landscapes on the Ice Age earth during the last two million years. Reconstruction of Quaternary geomorphic landscapes based on principles and applications of geochronology and paleoclimatology. Three lecture hours a week for one semester. Geography 335C and 385C may not both be counted. Prerequisite: Upper-division standing and Geography 301C .","Upper-Division Courses"
"GRG 335D","Anthropocene.","Evaluates the role of humans in changing Earth systems. Examines the evidence used to reconstruct past environments, to decipher the ecological and biogeographical consequences of land use, to measure altered surface processes, to distinguish the anthropogenic contribution to climate change, and to predict likely future scenarios. Explores the interaction of human history with altered biophysical patterns and processes. Assesses the recognition of the Anthropocene as a potential new epoch in Earth history, including the implications of that recognition for environmental stewardship. Three lecture hours a week for one semester. Geography 335D and 356T (Topic: Anthropocene) may not both be counted. Offered on the letter-grade basis only. Prerequisite: Upper-division standing, and three semester hours of coursework in physical geography or one of the geological or natural sciences.","Upper-Division Courses"
"GRG 335K","Mountain Geoecology.","Geological evolution of mountains. Physical geography of mountains: climates, soils, vegetation, landforms and geomorphic processes. Three lecture hours a week for one semester. Prerequisite: Upper-division standing and six semester hours of coursework in physical geography or one or more of the geological or natural sciences.","Upper-Division Courses"
"GRG 335N","Landscape Ecology.","The study of spatial patterns in the earth's biosphere found within landscapes, typically areas measured in square kilometers. Examines the processes that create those patterns, drawing from ecology, biogeography, and many other disciplines. Also explores the practical applications of landscape ecology to the study of natural environments and those managed or altered by human activities. Three lecture hours a week for one semester. Geography 335N and 356T (Topic: Landscape Ecology) may not both be counted. Prerequisite: Upper-division standing and three semester hours of coursework in physical geography or one of the geological or natural sciences.","Upper-Division Courses"
"GRG 336","Contemporary Cultural Geography.","Same as Urban Studies 340 . Recent theoretical developments in cultural geography, with a focus on landscapes and the everyday practices that imbue them with meaning; the ways those meanings are contested and are the foci of struggle; and how the relationship between culture and space plays a central role in the social construction of identity. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 336 , Urban Studies 340 , 354 (Topic 8). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 336C","National Parks and Protected Areas.","Introduces current conservation principles and management strategies; outlines the challenges, changes, and dilemmas associated with protected areas. Three lecture hours a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 337","The Modern American City.","Same as Architecture 350R (Topic 1) and Urban Studies 337 . Issues facing residents of United States cities, such as transportation and housing, poverty and crime, metropolitan finance, environmental and architectural design; historical/comparative urban evolution. Three lecture hours a week for one semester. Only one of the following may be counted: Architecture 350R (Topic 1), Geography 337 , Urban Studies 337 , 352 (Topic 1). Prerequisite: For students in the School of Architecture, upper-division standing; for others, upper-division standing and consent of instructor.","Upper-Division Courses"
"GRG 338C","Rivers and Landscapes: Fluvial Geomorphology.","Drainage basin evolution and channel adjustment, variability of river systems in differing geomorphic regimes, relationships between fluvial systems and other components of physical geography, and the role of humans as geomorphic agents. Three lecture hours a week for one semester, with additional field hours to be arranged. Prerequisite: Upper-division standing; and Geography 301C or Geological Sciences 401 , or the equivalent.","Upper-Division Courses"
"GRG 339, 439","Process Geomorphology.","Analysis of geomorphic processes and their effects on landform development. For 339 , three lecture hours a week for one semester; for 439 , three lecture hours and one-and-one-half laboratory hours a week for one semester. Prerequisite: Upper-division standing, and credit or registration for Geography 301C or Geological Sciences 401 .","Upper-Division Courses"
"GRG 339K","Environment, Development, and Food Production.","Assessment of various types of agriculture with regard to environmental factors and management techniques. Three lecture hours a week for one semester. Geography 339K and 390S may not both be counted. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 340D","Political Ecology of Globalization and Environmental Degradation.","Study of current environmental problems from the perspective of political ecology, which critically examines political, economic, and social relations between humans and the natural world. Uses case studies from Africa, Latin America, Asia, and the Middle East to address climate change, deforestation, desertification, biodiversity, and environmental justice. Three lecture hours a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 440L","Landuse/Landcover Change Practicum.","Focuses on best practices for classifying and mapping land use and land cover, as well as how they change over time in an experiential learning environment. Develop testable hypotheses answered by the original data analysis and interpretation. Two lecture hours and three laboratory hours a week for one semester. Geography 440L and 356T (Topic: Landuse/Landcover Change Practicum) may not both be counted. Prerequisite: Upper-division standing.","Upper-Division Courses"
