"subject","level","description","course_code","course_name","credits"
"Aerospace Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023This course is a study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Lecture, text, case studies, and class discussion will be used to examine all aspects of leadership including counseling, mentoring, empowering, problem solving, accountability and authority. Students will develop upon basic written and oral communications skills primarily through written","AEROSPC 135B","Leadership Studies","3 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2023, Fall 2022, Spring 2022Training in expository, argumentative, and other styles of writing. The assignments will focus on themes and issues in African American life and culture. Satisfies the first half of the Reading and Composition requirement.","AFRICAM R1A","Freshman Composition","4 Units"
"African American Studies","Undergraduate","Terms offered: Summer 2007 10 Week Session, Summer 2006 10 Week SessionTo provide Summer Bridge students with training in expository, argumentative, and other styles of writing. The assignments will focus on themes and issues in African American life and culture. Satisfies the first half of the Reading and Composition requirement.","AFRICAM R1AN","Reading and Composition","3 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Spring 2025, Fall 2024Continued training in expository and argumentative writing, with more emphasis on literary interpretation. Satisfies the second half of the Reading and Composition requirement.","AFRICAM R1B","Freshman Composition","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2025, Fall 2024, Spring 2024Emphasis on pre-colonial social, cultural, political, and economic structures; introduction to art, literature, oral traditions, and belief systems.","AFRICAM 4A","Africa: History and Culture","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2023, Spring 2022, Summer 2016 Second 6 Week SessionEmphasis on social, political, and economic change in 20th century Africa; with further emphasis upon the roles of modernization, urbanization, and the emergence of contemporary African states.","AFRICAM 4B","Africa: History and Culture","4 Units"
"African American Studies","Undergraduate","Terms offered: Summer 1996 10 Week SessionEmphasis on pre-colonial social, cultural, political, and economic structures; introduction to art, literature, oral traditions, and belief systems.","AFRICAM N4A","Africa: History and Culture","3 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023A study of the genesis, development, and scope of African American culture, approached through an examination of selected art forms, historical themes, and intellectual currents.","AFRICAM 5A","African American Life and Culture in the United States","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023Emphasis on the social experience of African Americans. An interdisciplinary approach designed to help students understand the forces and ideas that are influencing the individual and collective African American experience.","AFRICAM 5B","African American Life and Culture in the United States","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2014, Fall 2013, Fall 2012This course introduces students to speaking, listening, reading, and writing in Wolof. Instruction is mixed English and Wolof. Emphasis is placed on developing student ability to create and to communicate with basic Wolof structures and vocabulary in culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading","AFRICAM 7A","Elementary Wolof","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2015, Spring 2014, Spring 2013This course introduces students to speaking, listening, reading, and writing in Wolof. Instruction is mixed English and Wolof. Emphasis is placed on developing student ability to create and to communicate with basic Wolof structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from the Berkeley Language Center.","AFRICAM 7B","Elementary Wolof","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2014, Fall 2013, Fall 2012This course reviews and expands students' knowledge of fundamental structures from Elementary Wolof and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading","AFRICAM 8A","Intermediate Wolof","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2015, Spring 2014, Spring 2013This course reviews and expands students' knowledge of fundamental structures from Elementary Wolof, and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and","AFRICAM 8B","Intermediate Wolof","4 Units"
"African American Studies","Undergraduate","Terms offered: Prior to 2007This course reviews and expands students' knowledge from Intermediate Wolof. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, written exercises","AFRICAM 9A","Advanced Wolof","4 Units"
"African American Studies","Undergraduate","Terms offered: Prior to 2007This course reviews and expands students' knowledge from Intermediate Wolof. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary and reading are expanded through compositions, written exercises","AFRICAM 9B","Advanced Wolof","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at Berkeley Language Center. Writing and reading","AFRICAM 10A","Intermediate Swahili","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and","AFRICAM 10B","Intermediate Swahili","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center.","AFRICAM 11A","Elementary Swahili","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language","AFRICAM 11B","Elementary Swahili","4 Units"
"African American Studies","Undergraduate","Terms offered: Summer 2019 8 Week Session, Summer 2014 10 Week Session, Summer 2014 8 Week SessionThis will be an intensive introduction of the Swahili language to beginners specifically designed for second language Swahili learners. The course is equivalent to two semesters of studying Swahili, with a full academic year credit. In order to attain the necessary proficiency (1-1+, using Interagency Round Table (ILR) scale) by the end of 8 weeks, students will need to commit themselves to use","AFRICAM 12","Intensive Elementary Swahili","8 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2011, Fall 2010This course introduces students to speaking, listening, reading, and writing in Zulu. Instruction is mixed English and Zulu. Emphasis is placed on developing student ability to create and to communicate with basic Zulu structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing","AFRICAM 13A","Elementary Zulu","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2012, Spring 2011This course introduces students to speaking, listening, reading, and writing in Zulu. Instruction is mixed English and Zulu. Emphasis is placed on developing student ability to create and to communicate with basic Zulu structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing","AFRICAM 13B","Elementary Zulu","4 Units"
"African American Studies","Undergraduate","Terms offered: Prior to 2007This course reviews and expands students' knowledge of fundamental structures from Elementary Zulu. Oral and written communication is emphasized. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent","AFRICAM 14A","Intermediate Zulu","4 Units"
"African American Studies","Undergraduate","Terms offered: Prior to 2007This course reviews and expands students' knowledge of fundamental structures from Elementary Zulu. Oral and written communication is emphasized. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent","AFRICAM 14B","Intermediate Zulu","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2024, Fall 2023, Fall 2022This course reviews and expands students' knowledge from Intermediate Swahili. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary and reading are expanded through compositions","AFRICAM 15A","Advanced Swahili","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023This course reviews and expands students' knowledge from Intermediate Swahili. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, research projects with texts available through Berkeley's African Library","AFRICAM 15B","Advanced Swahili","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023Igbo is one of the main languages spoken in Nigeria. Originating in southeastern Nigeria among the Igbo people, Igbo is spoken by around 30 million people in Nigeria and throughout the Diaspora. The Igbo language is in the Niger-Congo language family. There are several Igbo dialects spoken in Eastern Nigeria, with some being mutually intelligible. A ""Standard Igbo"" is used in Eastern Nigeria for government, law, education and religious","AFRICAM 16A","Elementary Igbo","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023Igbo is one of the main languages spoken in Nigeria. Originating in southeastern Nigeria among the Igbo people, Igbo is spoken by around 30 million people in Nigeria and throughout the Diaspora. The Igbo language is in the Niger-Congo language family. There are several Igbo dialects spoken in Eastern Nigeria, with some being mutually intelligible. A ""Standard Igbo"" is used in Eastern Nigeria for government, law, education and religious","AFRICAM 16B","Elementary Igbo","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023Amharic is one of the major languages of Ethiopia, spoken by over 21 million people there, and widely used by emigrants in the Diaspora. This course introduces the Amharic language and culture to both non-native and heritage language learners. The class primarily emphasizes listening, speaking, reading and writing through communicative activities, enabling students to perform various tasks in the target language. We will also become familiar with","AFRICAM 18A","Elementary Amharic","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023This course introduces students to more complex speaking, writing and listening exercise. The course covers different tasks of intermediate abstraction. It mainly focuses on speaking. The speaking is mostly carried out by students in dialogue, role play and narrative format.","AFRICAM 18B","Elementary Amharic","4 Units"
"African American Studies","Undergraduate","Terms offered: Prior to 2007This course reviews and expands students' knowledge from Intermediate Zulu. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, written exercises","AFRICAM 19A","Advanced Zulu","4 Units"
"African American Studies","Undergraduate","Terms offered: Prior to 2007This course reviews and expands students' knowledge from Intermediate Zulu. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, written exercises","AFRICAM 19B","Advanced Zulu","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2020During the fall 2020 semester we will have the quadrennial opportunity to study American politics during a presidential campaign. Combining real-time analysis of the election, an in-depth study of the relevant historical and sociological trends that are shaping this moment, and a lively roster of guest speakers from across the Berkeley campus and community, this class will provide students with a comprehensive and interdisciplinary introduction to American politics","AFRICAM C20AC","THE 2020 ELECTION","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023This course continues to build on what students learned in its prerequisite course,AFRICAM 18A. A student is required to have successfully completedAFRICAM 18Bat UC Berkeley. Students who took Amharic elsewhere may have to take a PLACEMENT test before enrolling in this course. The design of this syllabus is based on global standards for teaching Amharic as a foreign language, and ACTFL proficiency guidelines. Using the skills acquired in the","AFRICAM 21A","Intermediate Amharic","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023A student is required to have successfully completed Intermediate Amharic I (21A)at UC Berkeley. Students who took Amharic elsewhere may have to take a PLACEMENT test before enrolling in this course. The design of this syllabus is based on global standards for teaching Amharic as a foreign language, and ACTFL proficiency guidelines. To familiarize yourself with the standards and ACTFL proficiency guidelines, visit the following link:http://www.actfl.org/publications/all/national-standards-foreign-language-education.","AFRICAM 21B","Intermediate Amharic","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2023, Fall 2022, Fall 2020The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.","AFRICAM 24","Freshman Seminars","1 Unit"
"African American Studies","Undergraduate","Terms offered: Summer 2025 Second 6 Week Session, Summer 2024 Second 6 Week Session, Spring 2003This course is an interdisciplinary analysis of the aesthetics and politics of the US through a focus on Black popular music since WWII with an emphasis on the “Black Awakening” of the 1960s. With the African American experience at the center, this course will explore constructions of whiteness through the lens of jazz, disco and hip hop identity formation, as well as works of members of the Asian","AFRICAM 25AC","African American Music and US Popular Culture","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023This course explores the role of race, racism and resistance in the United States from 1492 to the present. We do this by reading autobiographical works written by racial justice activists alongside works in the theory of racial formations. Together we ask: What is race? How do we define and recognize racism? How has race shaped the lives of Americans historically classified as minorities? And how have anti-racist intellectuals represented the","AFRICAM 27AC","Race, Racism and Resistance in the United States","3 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023An examination of the movement of individuals, ideas, ideologies, and institutions between minority American communities in the U.S. (African Americans, Asians, Chicanos) and their cultures of origin, in the 19th and 20th centuries. The course will utilize the concepts of ""migration,"" ""diaspora,"" ""otherness,"" ""multiculturalism,"" and ""global village"" and will draw largely on social science","AFRICAM 28AC","Globalization and Minority American Communities","3 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2019, Fall 2018, Fall 2016This course introduces students to speaking, listening, reading, and writing in Chichewa. Instruction is mixed English and Chichewa. Emphasis is placed on developing student ability to create and to communicate with basic Chichewa structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center.","AFRICAM 30A","Elementary Chichewa","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2017, Spring 2016, Spring 2015This course introduces students to speaking, listening, reading, and writing in Chichewa. Instruction is mixed English and Chichewa. Emphasis is placed on developing student ability to create and to communicate with basic Chichewa structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language","AFRICAM 30B","Elementary Chichewa","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2018, Fall 2011, Fall 2010This course reviews and expands students' knowledge of fundamental structures from Elementary Chichewa and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading","AFRICAM 31A","Intermediate Chichewa","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2012, Spring 2011This course reviews and expands students' knowledge of fundamental structures from Elementary Chichewa and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are","AFRICAM 31B","Intermediate Chichewa","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2020, Spring 2020, Spring 2018Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.","AFRICAM 39B","Freshman/Sophmore Seminar","2 - 4 Units"
"African American Studies","Undergraduate","Terms offered: Summer 2019 Second 6 Week Session, Summer 2016 10 Week Session, Spring 2013Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.","AFRICAM 39D","Freshman/Sophmore Seminar","2 - 4 Units"
"African American Studies","Undergraduate","Terms offered: Summer 2013 10 Week Session, Fall 2012, Summer 2012 10 Week SessionFreshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.","AFRICAM 39E","Freshman/Sophmore Seminar","2 - 4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2014, Fall 2013, Fall 2012Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.","AFRICAM 39F","Freshman/Sophmore Seminar","2 - 4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2011Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.","AFRICAM 39G","Freshman/Sophmore Seminar","2 - 4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2012Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.","AFRICAM 39H","Freshman/Sophmore Seminar","2 - 4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Spring 2024This course is designed to provide students with an opportunity to work closely with African American Studies faculty, investigating a topic of mutual interest in great depth. Designed primarily for lower division students and non-majors. Topics vary from semester to semester.","AFRICAM 40","Special Topics","3 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2012Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.","AFRICAM 84","Sophomore Seminar","1 or 2 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2021, Spring 2020, Spring 2019Supervised research on specific topics related to African American Studies.","AFRICAM 98","Directed Group Studies for Freshmen and Sophomores","1 - 4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Spring 2025, Fall 2024Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department","AFRICAM 98BC","Berkeley Connect","1 Unit"
"African American Studies","Undergraduate","Terms offered: Fall 2015, Fall 2014, Fall 2013Supervised research on specific topics related to African American Studies.","AFRICAM 99","Supervised Independent Studies for Freshmen and Sophomores","1 - 4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2025, Fall 2023, Fall 2022This course, lets students explore the status of African American studies as a discipline. The class will discuss the social relevance of African American studies, the political origins of the discipline, and the debate over Afrocentricity. Special attention will be devoted to the contributions of black feminist theory and community scholars/organic intellectuals to the development of the discipline.","AFRICAM 100","Black Intellectual Thought","4 Units"
"African American Studies","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023As an introduction to interdisciplinary research methods as they are applied to the study of African American communities, the course will examine theoretical and conceptual issues; techniques for identifying existing research; and sources and methods of social research and data collection. The main focus will be on qualitative methods.","AFRICAM 101","Research Methods for African American Studies","4 Units"
"African American Studies","Undergraduate","Terms offered: Spring 2013, Spring 2011, Spring 2006This course examines the formation and implementation of public policies directly relevant to the black community. While the policies analyzed differ from year to year, basic public policy methodology will be introduced each year.","AFRICAM 107","Race and Public Policy","3 Units"
