title,description,course_code
African Cities,"If the predominant mode of development in African cities is informal and unplanned giving rise to new modes of life, livelihood, and leisure beyond the organizing infrastructures of formal architecture and design in reality, the new African urbanism seems to give rise to two distinct conditions of life--the one crisis and the other ingenuity. This course is concerned to think through the paradox of rapid urban growth across the continent--from Lagos and Cairo to Johannesburg and Cape Town--and the fact that such rapid urban growth is taking place without the conventional facilities, infrastructures and technologies.",AAAS 640S
Global Inequality Research,"Engagement of vertically integrated research teams in projects exploring racial and ethnic disparities exhibited and expressed in six arenas: employment, wealth, health, political participation, education, and arts and culture. Each team will produce a major paper that will qualify for submission to a refereed journal in the area relevant to the focus of the study.",AAAS 642
"Black Women, Black Freedom","Examination of struggles for freedom, from nineteenth century through twenty-first, particularly through the lives of black women. Drawing on women's history, literature, art, performance and critical theory, students interrogate meaning of various freedoms, including civic and sexual. Objective is to discern a working definition for 'black freedom' by centering women in struggles for black liberation.",AAAS 643S
Surviving Globalization: The Global South and the Development Imagination,"Global Change entails a multiplicity of environmental, social, economic, political and cultural factors that create challenges for development. The Global South, a vital area of the world, has been entangled in this vortex of global change as both catalyst and conductor of an emergent globalizing modernity. The progress of globalization seems beset by multiple stressors, ranging from financial crises and global recession, to climate change, state and non-state conflicts, free ranging terrorist aggression, and global health scares. What are the odds then of surviving globalization? What role do our imaginations of development play in either creating crises or effectively responding to them? This course is the same as African & African American Studies 409 but with additional graduate level work.",AAAS 646
Black Queer Studies,"This course offers an introductory survey of Black Queer Studies. Beginning with a brief survey of foundational texts, we will discuss the range of emergent within the interdisciplinary body of work referred to as Black Queer Studies. We then explore a range of black queer pop cultural formations including film, ballroom culture, drag, poetry, fiction, and music. And finally discuss the theoretical and practical implications of applying queer theory to understand the lives and experiences of black lesbian, gay, bisexual, and transgender individuals as well as black heterosexuals, frequently marked as being outside of normative frameworks of sexuality, and thus queer.",AAAS 651S
Black Feminist Art & Digitality,"This course explores tropes, muses and icons of Black femininity in contemporary art. Graduate students enrolled in this seminar will consider diverse media, including photography, collage, craft and assemblage, as well as representations of the Black female body, of beauty and sexuality. In addition to reading canonic works in Black feminist theory, students will explore major works and exhibitions to consider the efforts of Black women art-makers from the 1960s through the 21st century.",AAAS 655S
Health in the African Diaspora,"Exposes and explores the individual and joint contributions of biological and non-biological factors to health and wellbeing in peoples from various regions and countries of the African Diaspora. The course draws on a variety of disciplines, modes of inquiry, and health problems in comparative analyses of genetic, historical, political, and sociocultural dimensions of the African Diaspora. Course content is not limited to the transatlantic African Diaspora; it spans multiple African Diaspora streams.",AAAS 660
Special Topics,Topics vary from semester to semester.,AAAS 690
Special Topics,Seminar version of African & African American Studies 690.,AAAS 690S
Gateway/Proseminar,"The proseminar is the required gateway course in the AAAS Certificate Program. It is designed to introduce students to the broad interdisciplinary scope of advanced scholarship in black diasporic studies globally. Students will learn interdisciplinary and cross disciplinary research methods, including awareness of archival, bibliographic, and qualitative/quantitative methods. The history of the field and its unique influence on the production of humanistic and social scientific knowledge are also significant concerns in the course.",AAAS 699S
Outsiders and Insiders,"An exploration of the phenomenon in Europe and the Americas during the nineteenth and twentieth centuries, when critics began to differentiate between art from learned, civilized communities and art from an uneducated, barbaric population. From the Beaux-Arts and Volkerkunde to the debates surrounding primitivism, modernism, and popular culture. An examination of the idea of an art hierarchy and other concepts of artistic outsiders and insiders from a variety of positions, taking into account nationality, class, literacy, economics, race, and gender in the categorization and evaluation of art.",AAAS 720S
The Art & Politics of Cotton,"Cotton played a critical role in the development of both modern economies and modern cultures. This course focuses on cotton's role in the capitalist United States from the Civil War period to now and the socialist USSR from its inception in 1917 to its demise in 1991. We will look at visual objects that reflect the history of cotton in both economies and will emphasize the influence of the cotton trade on modern African American and Soviet art in Central Asia. We will explore slavery, race, and racism in both capitalist and socialist culture within the context of cotton. The course includes visits to relevant sites and offers an introduction to the visual history of the cotton trade.",AAAS 736S
Racial and Ethnic Minorities in American Politics,"Graduate-level course on politics of the United States' four principal racial minority groups Blacks, Latinos, American Indians, and Asian Americans. Importance of race and ethnicity in American politics is also explored.",AAAS 740S
Globalization,"'Globalization' is variously described in terms of the integration of markets, the increasing velocity of transactions, the opening up of new geographies for capital accumulation, de-regulation, and so on. This course looks to the Atlantic world as a starting point in understanding the rise of modern capitalism by way of the slave trade, the rise of finance capital, and the circulation of objects, ideas and people. This course goes on to questions relations of debt and dispossession; novel forms of governance and governmentality; flexibility and superfluity; and growing inequalities and constraints of late capitalism.",AAAS 741S
"Existentialism, Nihilism, and Religion","This course engages the relationship between nihilism, which claims that there are no secure foundations that provide life with meaning and purpose, and existentialism, a philosophy that prioritizes the freedom and responsibility of the individual subject against essential truths that precede existence and human striving. We will interrogate what it means to live in the afterlife of what Nietzsche calls the 'death of God' and question whether this spells the end of religion, spirituality, and the need for practices of the sacred. We also interrogate how race and gender pertain to questions about existence, being, nothingness, etc.",AAAS 765S
How Blackness Thinks,"This course examines current directions in conceptualizing black social life and performance. Examples are 'black feminist theory and practice,' 'queer of color discourse,' and more recently 'Afro-pessimism' and 'Black Optimism.' The guiding premise of the course is that when understood as exceeding racial category, blackness emerges as out(sider)ness, as differentiated social practice internal to which is a mode of thinking, a practice of study, perhaps even a certain performance of the sacred that is at once connected with the religious and the secular but that cannot be equated with either. In considering this outness of black thinking, authors we may read include: Fanon, Wynter, Spillers.",AAAS 767S
"Teaching Race, Teaching Gender","Interdisciplinary analyses of the problematics of teaching about social hierarchies, especially those of race, class, and gender. Curricular content and its interaction with the social constructions of students and teachers.",AAAS 780S
Independent Study,"Individual study in a field of special interest, under supervision of a faculty member, resulting in a substantive paper or written report containing significant analysis and interpretation of a previously approved topic.",AAAS 791
Special Topics,Topics vary from semester to semester.,AAAS 890
Special Topics,Topics will vary from semester to semester.,AAAS 890S
Special Readings,Consent of instructor required.,AAAS 891
Independent Study,"Individual research and reading in a field of special interest, under the supervision of a faculty member, resulting in a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Consent of instructor required.",AAAS 892
African American Religion Through the Literary Imagination,"In this course, we will examine and trouble the notion of African American religion by reading different genres of literature. By engaging slave narratives, autobiography, fiction, and the critical essay, the aim of the course will be to re-imagine categories that are associated with black religion: piety, spiritual, opacity, trauma, liberation, transgression, anguish, intersectionality, and the 'afterlife of slavery.' Two general ideas will motivate the direction(s) of the course. For one, black religiosity is not reducible to institutional forms like the church. Secondly, any endeavor to study black piety, or blackness more generally, requires multiple genres and approaches.",AAAS 900S
Topics in African Art,"Specific problems of iconography, style, connoisseurship, or a particular art tradition in African art. Subject varies from year to year. Consent of instructor required.",AAAS 590S-5
New Directions in Asian American Studies,"Reading-intensive seminar in the recent scholarship and cultural production that is pushing Asian American Studies in new directions, challenging preconceptions about the dominant narratives, geographic scope, and political assumptions in Asian American Studies. Possible topics include: imperialism, ecology, settler colonialism, disability studies, transnationalism, critical refugee studies, and feminist and queer politics. A significant portion of the course  is devoted to students developing their own research projects.",AADS 510S
Transpacific and Global Asia/America: Connecting Divided Histories and Knowledges,"This theory and methodology course introduces texts in Asian American studies and global and critical Asian Studies through the oceanic and archipelagic lens of the transpacific. Explores historical and disciplinary fault lines among Asian Studies, Asian/American Studies through higher ed, as well as entangled and divided histories of Asia and the Americas. Navigates legacies of colonial, cold war, and postcolonial histories between Asia and the Americas. Centers power dynamics of knowledge formation, translation, circulation across divides in history, journalism, academia, literature, films, digital and art works, gaming, community engagement, museums and archives, and law.",AADS 609S
Special Topics Seminar in Asian American and Diaspora Studies,Topics vary each semester,AADS 690S
AADS Special Topics,Special topics in Asian American & Diaspora Studies. Topics vary each semester.,AADS 890S
Asian & Middle Eastern Studies,Graduate credit for undergraduate course in AMES. Consent of the instructor and the AMES DGS required.,AMES 503S
Documentary and East Asian Cultures,"Focus on documentary films from various regions in East Asia, including China, Taiwan, Korea and Japan, studying the specific historical and social context of each while attending to their interconnected histories and cultures. Emphasis on the ethical implications of documentary in terms of its deployment of visual-audio apparatus to represent different groups of people and beliefs, values and conflicts, both intra- and inter-regionally in East Asia. Special attention paid to the aesthetics and politics of the documentary form in terms of both its production of meanings and contexts of reception.",AMES 511
Travel Japan,"Examines the 2,000-year history of travel to, from, and within Japan. After an overview of the theory and methodologies of travel history, we take a chronological journey from the earliest surviving records of travel to Japan, through the travel literature of Japan's classical era, to travel accounts of European visitors in the 16th and 17th century, the burgeoning culture of travel in the Edo era, and the age of mass tourism in the land of the bullet train. Readings in secondary and primary sources include poetry and fiction, travel guides, diaries, maps, images, and material objects such as souvenirs and regional foods. Students will do a research project on a project of their choice.",AMES 512S
Approaches and Practices in Second Language Pedagogy,"Introduction to the history and current trends in language teaching with the goal of acquiring the knowledge and skills for informed, effective and reflective language instruction. Focus on psycholinguistic and sociolinguistic dimensions of second language acquisition, key concepts of second language teaching and their applications, and integration of culture and literature in language instruction. Compares features of the target and source languages. Assignments include review of teaching materials, creating lesson plans and modules, and writing an essay stating teaching philosophies. Open only to students who have a background in Asian languages.",AMES 518S
China Science and Technology Policy and Innovation,"China's technological rise has become one of the most important developments in the 21st century. This course will focus on an analysis of China's science and technology policy and innovation strategy, with emphasis on the 1978-Present period. The course will examine the transition in technological development from a Soviet -style top-down model to one where market forces play a greater role in driving advances in science and technology. We also will analyze China's increasing emphasis on an innovation driven economic model. Prereqs: basic knowledge of Chinese history, politics, economics and/or culture. Some basic knowledge of macroeconomics. Some knowledge of politics in the US and abroad.",AMES 523
Culture and Environment in Modern Chinese History,Examination of the changing patterns through which the physical environment and culture are mutually formed in late imperial and modern China. Culture includes creation of cosmological and social ideas as well as long term practices of settlement and utilization of the environment. In what ways did cultures represent limits to environmental exploitation? Special attention to how communities and the state respond to environmental disasters and explore the feedback loops for protection and prevention. Explores the importance of long-term understanding for the current environmental crisis in China.,AMES 531S
Queer China,"Examines queer discourses, cultures, and social formations in China, Greater China, and the global Chinese diaspora from the late imperial period to the present. Course will focus on cultural representations, particularly literary and cinematic, but will also consider a wide array of historical, anthropological, sociological, and theoretical materials. Not open to students who have taken Asian and Middle Eastern Studies 439.",AMES 539S
Reading Heidegger,Closely reading major works by Heidegger Tracing the Turn in Heidegger's thought from the early metaphysical writing to the lecture courses of the 1930s. Underscores the role played by language in Heidegger's thought Probes what aesthetics means within the context of Heidegger's work.,AMES 540S
Jews and the End of Theory,"Examines role played by the figure of 'the Jew' (or 'Jews') in critical theory. Assesses role played by Jewish 'giants' in shaping critical theory. Explores role played by images of Jews and Jewishness in linguistic turn of 20th century theory. Asks how should one understand contemporary theory in relation to 'Jews'—literal Jews and figurative Jews, whether demise of these intellectual giants and diminishing interest in 'Jews' and 'Jewishness' means 'the end of theory', and how to conceive the relations between theory and 'Jewish Studies' in light of these questions.",AMES 541S
"Techno-Orientalism: Asian/America, (Post)Human and SF","Course examines global Science Fiction genres in literature, film, and social media to understand broad historical and social formations of Otherness, the Alien, Citizenship, (Im)migration. Studies racial assumptions in popular culture, domestic and international law, discourse of the human and human rights, science and technology industries, and other disciplines. Explores intersections of race, gender, sexuality, class, and geopolitical divisions and interactions in Asian/American Studies and Postcolonial Studies from the past to the present.",AMES 549S
New Directions in Asian American Studies,"Reading-intensive seminar in the recent scholarship and cultural production that is pushing Asian American Studies in new directions, challenging preconceptions about the dominant narratives, geographic scope, and political assumptions in Asian American Studies. Possible topics include: imperialism, ecology, settler colonialism, disability studies, transnationalism, critical refugee studies, and feminist and queer politics. A significant portion of the course  is devoted to students developing their own research projects.",AMES 550S
Translation: Theory/Praxis,"Examines theories and practices of translation from various periods and traditions (Cicero, Zhi Qian, classical and scriptural translators, Dryden, Schopenhauer, Benjamin, Jakobson, Tanizaki, Qian Zhongshu, Derrida, Apter, among others) and considers topics such as incommensurability, cultural exchange, imperialism, 'Global Englishes,' bilingualism, and techno-language. Prerequisite: open to undergraduates, but all participants must have strong command of one language aside from English, as final project involves original translation and commentary. Instructor consent required.",AMES 551S
Reading the Chinese Novel,"A close reading of contemporary Chinese-language novels in the original. Texts will include prominent works from China, Taiwan, Hong Kong, and the Chinese diaspora. Recommended prerequisite: high-level reading knowledge of Chinese.",AMES 560S
Imaging a Nation: Japanese Visual Culture 1868-1945,"Focusing on various visual representations of Japanese national identity at home and abroad during the empire; contending interpretations of 'Japaneseness' and changing discourses on Japanese aesthetics in relation to broader historical developments; examining cultural production, exhibition practices, patronage, nationalism, neo-traditionalism, Pan-Asianism, and the role of visual culture under imperialism.",AMES 566S
The Evil Eye in Material Culture from Late Antiquity to Islam,"The phenomenon often referred to as the 'evil eye,' is an enduring belief that harm can be exerted through the gaze, causing illness, misfortune, and even sudden death. This seminar explores the material culture of the evil eye in the eastern Mediterranean and Near East from pre-Islamic late antiquity (200-600 CE), to medieval Islam (1200-1400). Students will engage in cross-cultural analysis, examining a range of artifacts and images across media, and consider recurring themes in their research, like the relationship between artifacts and the body, debates surrounding licit and illicit magical practices, and intersections between material and textual evidence.",AMES 570S
Archiving and Visualizing Asia: Politics of Poetics of Knowledge Production,"Engages students in the practices, politics, and theories of conducting original archival research and knowledge productions. Hands-on research in the archives of Duke's Rubenstein Special Collections and elsewhere. Examines histories and theories of movements and encounters between the 'West' and 'Asia.' Teaches research methods through guided excavations in both digital and material resources. Directed readings of histories and theories and special guest lectures guide students on how to think critically on the theories and praxis of knowledge production, collection, circulation, and consumption. Students curate digital humanities projects based on original research.",AMES 576S
"Edward Said: Theory, Politics, Culture","This seminar will explore Edward Said's oeuvre in depth. Said's work consciously bypassed the borders of disciplinarily and the strictures of genres. We will focus on re-tracing the evolution of his thought through a close interpretation of the relationship between theoretical elaboration, political intervention and cultural production in his own work. In doing so, we will focus on the theoretical and historical genealogies of his seminal work Orientalism, his multiple writings on Palestine, and his views on the intellectual's vocation.",AMES 577S
History of Buddhist and Christian Interactions,"The study of the global encounter between Buddhists and Christians from the sixteenth century to the present. Topics to be covered include missionary encounters, conversion, polemical literature, inter-religious dialogue, and religious exchange, as well as the portrayal of these interactions in literature and the arts. At least one previous course in Buddhism or Asian religions and a course in religious studies is recommended.",AMES 580S
"Pan-Asianism, Religion, and the State in Modern Asia",An examination of the interaction between religious institutions and the state in modern Asia. The role of religion in the formation of pan-Asian identity in Asia also will be investigated.,AMES 581S
Special Topics in Asian and Middle Eastern Studies,Topics vary each semester.,AMES 590
Special Topics in Asian & Middle Eastern Studies,Topics vary by.,AMES 590S
Research Independent Study,"Individual research in a field of special interest under the supervision of a faculty member, the central goal of which is a substantive paper or written report containing significant analysis and interpretation of a  previously approved topic.  Consent of instructor required.",AMES 593
Meiji Japan,"The class offers an in-depth study of the Meiji Era (1868-1912). Readings include major research publications on selected topics, which may include the Meiji Restoration, political reforms, popular protests, women's experiences, religious trends, intellectual developments, literary and visual cultures, economic development, the Sino- and Russo-Japanese wars, and more. Students have the option to undertake independent research projects.",AMES 599S
East Asian Cultural Studies,"East Asia as a historical and geographical category of knowledge emerging within the various processes of global movements (imperialism, colonialism, economic regionalism).",AMES 605
Transpacific and Global Asia/America: Connecting Divided Histories and Knowledges,"This theory and methodology course introduces texts in Asian American studies and global and critical Asian Studies through the oceanic and archipelagic lens of the transpacific. Explores historical and disciplinary fault lines among Asian Studies, Asian/American Studies through higher ed, as well as entangled and divided histories of Asia and the Americas. Navigates legacies of colonial, cold war, and postcolonial histories between Asia and the Americas. Centers power dynamics of knowledge formation, translation, circulation across divides in history, journalism, academia, literature, films, digital and art works, gaming, community engagement, museums and archives, and law.",AMES 609S
Trauma and Space in Asia,"Space and Trauma across Asia. Introduces theoretical framework of 'trauma discourse;' examines how the experience of space in Asia broadly defined has shaped historical traumas, which have marked the transition from colonialism to postcolonialism. Focus on Israel/Palestine, India/Pakistan, China/Taiwan, Japan/Korea; examines how critical terms originating in one historico-geographical context are translated across geographical boundaries. Taught simultaneously with AMES 410, but includes additional readings, assignments, and meeting times.",AMES 610S
China As World Picture,"How does Heidegger's concept 'world picture' become relevant for the epistemological space occupied by a non-Western culture in modern times? This course explores this challenging question by foregrounding the story of modern and contemporary China, in particular China's status as an emblem of the gigantic (in scale, scope, and numbers) on the global scene. Texts to be discussed will include internationally acclaimed films (by Bertolucci, Antonioni, Chen Kaige, Zhang Yimou, Wong Kar-wai, Li Yang, Jia Zhangke, Ann Hui, and others), documentary excerpts, theoretical analyses, historical accounts, and journalistic reports, among other sources.",AMES 616S
Critical Genealogies of the Middle East: An examination of the canon of Middle East scholarship,"This course provides an in-depth investigation into the various theoretical and textual traditions that inform interdisciplinary Middle East studies with a focus on History, Cultural Studies, Religion and Social Sciences. Interdisciplinary in scope, the course will maintain a disciplinary rigor so that students learn how knowledge is produced within the framework of specific disciplines. Foci include social history, literary theory, critical visual studies, and postcolonial theory.",AMES 620S
Comparative Media Studies,"Explores the impact of media forms on content, style, form, dissemination, & reception of literary & theoretical texts. Assumes media forms are materially instantiated & investigates their specificities as important factors in their cultural work. Puts different media forms into dialogue, including print, digital, sonic, kinematic & visual texts, & analyzes them within a theoretically informed comparative context. Focuses on twentieth & twenty-first century theories, literatures, & texts, esp. those participating in media upheavals subject to rapid transformations. Purview incl. transmedia narratives, where different versions of connected narratives appear in multiple media forms.",AMES 627S
Questions of National Cinemas,"Films, documentaries, television series, and soap operas produced in mainland China in the post-Mao era. Topics include the history and aesthetics of the cinema, soap operas as the new forum for public debates on popular culture, the emerging film criticism in China, the relationship of politics and form in postrevolutionary aesthetics. (Same as AMES 431 but requires extra assignments.) Research paper required.",AMES 631
