title,description,course_code
Gateway Seminar: Civil Rights and Asian Americans,"Study of crucial legal and political moments in the struggle for equal civil rights of minorities, beginning with the laws of Chinese Exclusion, the struggle to define who was 'White,' the Asian Immigration Exclusion Acts, the relationships of Asians and African Americans and the struggle for equal schooling in the American South, the Japanese Concentration camps, the Redress and Reparations Civil Rights struggle, and the involvement of Asians Americans in the African American-led Civil Rights Movement in the 1960s, including working with Martin Luther King and Malcolm X, and Asian Americans in the anti-sweatshop unionization movement.",AAAS 133S
"Old Worlds/New Histories, 500-1500 CE","New approaches to history of the world from ca. 500 to 1500 CE. Examines the world before European hegemony. Topics may include nature of autonomous centers of production around the globe; characteristics of trade, empire, science, technology, and high culture across Asia, the Middle East, Africa and the Americas; diffusion of inventions, ideas, cultures and religions through travel, trade, state and empire building. Readings and films explore diverse cosmopolitan worlds before the coming of modernity.",AAAS 134
History of Rock: Rhythm & Blues and Rock & Roll to Indie Rock and Hip-Hop,"The history of rock music from the 1950s to the present. Beginning with its roots in rhythm and blues, country and western, and commercial pop, examination of diverse musical styles, artists and bands, and the many historical, technological, and cultural factors that have contributed to the rise and popularity of rock music.",AAAS 139
Introduction to Jazz,Lecture version of Music 140D.,AAAS 140
Hip-Hop/Rap Music Appreciation,"This course explores the development of Hip-Hop and Rap music from an inner-city expression of music into a worldwide social and cultural movement. Rap, considered popular music at the beginning of the 21st century, has a huge influence on mainstream culture. Students will have a unique opportunity to develop and/or enhance their knowledge and comprehension of this popular and influential genre.",AAAS 145
Motown and American Soul Music,"During the 1960's, in Detroit, Michigan, a landmark in music was established: The Motown Sound. This aural kaleidoscope of high quality, dynamic song creation was established through a confluence of talent and hard work by people whose names now line the halls of fame for popular music. Some of these luminaries include Berry Gordy, Diana Ross, Stevie Wonder, Marvin Gaye, and Holland-Dozier-Holland. This course will investigate the societal and musical factors that gave rise to such a distinctive aesthetic, also framing this phenomenon as a point of comparison to a range of commercial music styles, including Philly Soul, Southern Soul, RnB, and current musical trends.",AAAS 146
Global History of the Prison,"This is an introductory lecture class on the global history of incarceration. It studies the emergence of the prison as a penal institution in various forms: the medieval debtors' prison, industrial poorhouses, colonial prison and detention camps, and the modern prison industrial complex. Special focus is dedicated to the relationship between incarceration and race in a global context. Over the course of the semester, students will work on multimedia projects on a special topic related to prison history.",AAAS 147
Gateway Seminar: Comparative Slavery,"This course takes a comparative approach to the history of slavery as it unfolded across different regions of the world from the fifteenth to the nineteenth centuries. It embraces a transnational perspective centering not only on the Atlantic world (including North America, the Caribbean, Latin America, Europe and West Africa), but also on the Indian Ocean, from Madagascar to India and to Indonesia.",AAAS 154S
Anthropologists in the Workplace: Applied Anthropology,"This course sets out to introduce students to some of the applications of anthropological theory and ethnographic method in contemporary institutional settings with the aim of familiarizing students with how anthropologists go about their work in complex organizational settings. Focusing on ethnographic method, as a powerful research tool, the course looks to both a series of use cases and an extensive literature of organizational management, user, and consumer experience. Students will have the opportunity to engage with anthropologists working in complex organizational contexts as well as business. Prior courses in Cultural Anthropology recommended but not required.",AAAS 171
Gateway: Eyewitness to Slavery,"How do historians of slavery do their work? Helping students answer this question is the primary goal of this Gateway Seminar. We will study eyewitness accounts of people who lived during the era of slavery and wrote about it to include enslaved people, enslavers, politicians, ministers, physicians, travelers, slave traders, free black people, and merchants. We will read selected seminal books and articles as an introduction to the historiography, that is, what historians have written about slavery and how they differ in their interpretations? Through this work, the seminar helps build students' skills in research and writing.",AAAS 172S
The Ways and Wisdom of First-Gen College Students,"This course examines the experience of first-generation college students, including their unique challenges, strategies, observations, and analyses. It is intended equally for students of all backgrounds and will, through the ethnographic method, train students in empathetic listening and participant-observation, as well as socially contextualized and cross-culturally comparative analysis.",AAAS 173S
Afro-Global Struggles,"What does it mean to struggle for freedom? More specifically, what have Afro Diasporic freedom struggles entailed? This course introduces students to anticolonial and abolitionist traditions of resistance from South Africa to the United States, from the Old to the New Worlds. The seminar also attends to contemporary decolonial movement work in and beyond the university via primary archival materials, secondary published work, and film investigating the connections between literature, music, poetry, political writings, and even dance. Course requirements include attendance and participation, discussion posts, and a final submission (essay or creative project).",AAAS 176CNS
Gateway Seminar: The History of the U.S. South,"This course examines the history of the South from the colonial era to the present. The first part traces the rise of the plantation economy based on human bondage, the slaves' wars and other abolition movements, the Civil War, emancipation, and the destruction of the most powerful slaveholding society in the Atlantic world. The second part traces postwar efforts to build a democratic South, the rise of the Jim Crow system of segregation and disfranchisement, class struggles, the civil rights and abolition movements of the twentieth and twenty-first centuries, and southern culture. Students will acquire analytical and research skills using primary documents.",AAAS 180S
The Law in Slavery and Freedom,"This course focuses on the relationship between slavery, race, and the law. It explores the dimensions and variability of the formal law of slavery, how it addressed the category of slave, codified the powers of slaveholders, and interacted with politics and culture to shape the institution of slavery and the making of the ideology of race. We will study primary documents such as trial transcripts, appellate opinions, treatises, codes, first-person narratives, and secondary work by legal scholars and historians. The course supports the development of skills in critical inquiry, research, and writing leading to the production of a final project based in original research.",AAAS 182S
African Hashtag Activism,"The technological leapfrogging of the last three decades introduced mobile and smartphone technologies to Africans radically altering the modes of organizing available to women, members of the LGBTQI+ community, and other vulnerable groups. But beyond giving voice to local concerns, African opinions and perspectives are also directed towards larger conversations about climate change action, resistance to US hegemony, and the role China plays in African development.",AAAS 185S
Chronic Stress and Health,"The impact of childhood adversity, trauma, and racism on health via epigenetic changes. The lack of a genetic basis for race in humans to explain health inequalities. The impact of historical, current, and medical racism on health today. How adversity and stress is codified in biological systems including increased inflammation; changes in gene expression; alterations in immune function; placental functioning; telomere shortening, physiological 'weathering'; and possible changes in life history. Research on how to build physiological and epigenetic resiliency.",AAAS 187FS
Black Music and the Soul of America,"This course traces the deep and pervasive impact African Americans have had on music in the United States. Musicians include Louis Armstrong, Bessie Smith, James Brown, Aretha Franklin, John Coltrane, Marian Anderson, Sam Cooke, Olly Wilson, Duke Ellington, Florence Price, William Grant Still, Alicia Keys, Kirk Franklin, and Megan Thee Stallion. The course demonstrates musical, cultural and political connections between these different streams of music and American society. Students will discover the myriad ways that the very soul of America has been conditioned by the practices of Black music.",AAAS 188
Gateway Seminar: Slavery and Its Afterlives,"Examines the history of American slavery and the legacies of slavery in the present. Focus on slavery as a system of labor, law, race, kinship, knowledge, space, culture, property, and reproduction that affected all areas of American development. Considers the role of slavery in political debates about reparations, Confederate monuments, and critical race theory.",AAAS 189S
Special Topics,Topics vary from semester to semester.,AAAS 190
Duke-Administered Study Abroad: Special Topics in African & African American Studies,Topics differ by section.,AAAS 190A
Focus Program Seminars: Special Topics,Topics vary semester to semester. Open only to students in the Focus Program.,AAAS 190FS
Special Topics,Seminar version of African & African American Studies 190.,AAAS 190S
Liberating Archives: Remaking History through the Arts,"This Focus course examines how Black writers and other artists approach archives, historical documents, and data to seed new works in dialog with the past. The idea of a historical record poses a particular problem for African and Black diasporic peoples whose histories have been omitted, erased, and distorted by racist ideologies. In response, artists imagine alternative formats and uses of 'the archive' conceived broadly. We will study works that use databases of fugitive slave ads, oral histories, and colonial photographs as instigation for poetry, music, and visual arts.",AAAS 195FS
Patient and Research Participant Activism and Advocacy,"In the 1960s, patients appropriated the language and tactics of the civil rights movement to advance clinical and research agendas. Today patient activism is evolving, leading to new solutions, dilemmas, and organizational structures. This course will examine patient and research participant activism and the ways it challenges conventional notions of expertise, amateurism, 'human subjects protections,' and minimization of risk. Students will bring the tools of journalism, anthropology, humanities scholarship, public policy and community engagement/citizen science to bear on ethical and policy questions. Open only to students in the Science & the Public Focus Program cluster. Department consent required.",AAAS 196FS
"Race, Film, and Religion","In this course, we will examine how cinema both constructs and reproduces anti-black racism and how cinema works to liberate blackness from the strictures of racial domination. We will watch films from the past three decades that provide an opportunity to interrogate the relationship between race, gender, and sexuality. These films will also enable us to think about how cinema introduces unconventional notions of the sacred, a process that involves affect, desire, and imagination. Films that we watch may include: Moonlight, Medicine for Melancholy, Black Panther, Daughters of the Dust, Get Out, US, Pariah, and Selma.",AAAS 201
"Manifesto Workshop: Climate Change, Afro-/Solar Punk, and Performance","Manifesto Workshop: Afro-/Solarpunk, Climate Change, and Performance is a performance-based workshop that seeks to explore radical, embodied storytelling through the lenses of several manifestos: Afrofuturism, Solarpunk, Environmental Justice, and Queer Utopias. Through creative research, embodied 'in(queer)y,' and collaborative theater-making, the workshop will culminate in a public performance of original student work.",AAAS 202
Sport As Performance,"This course studies athletic cultures under rubrics provided by theater, performance studies, anthropology, media studies, and history to understand sports as ritual, theater, and performance. Our investigation includes professional and collegiate teams sports, as well as individual athletic performances. The course includes examinations of gender, race, and national identity in live events and the media. A twice-weekly seminar format features lectures, discussions, independent research projects, and guest speakers from the worlds of athletics, theater, and media.",AAAS 203
Union Activism,"This course examines the past and present of U. S. union activism. This labor movement has been in prolonged decline in this country, but shown signs of revitalization as the gap between the earnings and opportunities for working people and the wealthy has grown larger than ever before. Readings and guest speakers will give students of rich view of labor organizing, with some written assignments. All students will gain hands-on experience by doing volunteer work with local labor movements. We will combine reflection about the history, problems, difficulties, and success of unionization through both our classroom and activist work.",AAAS 204S
Afro-Asia,"Explore the intricacies of Afro-Asian encounters and identities in historical and contemporary contexts. Analyze representations of Afro-Asian encounters and identities across literary, media, and artistic forms. Explore the contemporary intersections of Global Blackness and Global Asias in various social and pop culture contexts. Examine major themes relevant to Afro-Asia, including but not limited to diaspora, intimacy, gender, cuisine, music, capitalism, environmentalism, and activism.",AAAS 205S
African Americans Since the Civil War,"Post-slavery black life and thought, as well as race relations and social change, during Reconstruction, Jim Crow, the Civil Rights and Black Power Movements, and contemporary times; ethical concepts and issues on human justice in the course of struggles for democracy, tolerance, and equality.",AAAS 207
Afro-Brazilian Culture and History,Slavery and the post-emancipation trajectory of Afro-Brazilians in a racist society that officially proclaims itself a 'racial democracy.' Comparisons drawn with the Afro-American experience elsewhere in Latin America and the United States.,AAAS 209
Anthropology of Money,"We will explore the history and theory of money – what it represents, how it circulates, the meanings it carries, its contemporary transformations – not only in the West but also in the global south. Some of the topics to be considered include shell currencies, gift economies, Ponzi schemes, paperless money, derivatives and futures, hedge funds, and global debt.",AAAS 211
Djembe Ensemble,Instructor consent required.,AAAS 212
Global Brazil,"Analysis of Brazilian history and culture from 1500 to the present in transnational context, with an emphasis on themes like slavery and race, regional cleavages, authoritarian rule, social inequality, and innovative attempts to expand democracy. Facilitates broad-based knowledge of a country of increasing global economic and diplomatic clout. Close examination of primary sources, including texts, images, music, and film.",AAAS 213
South African Past and Present,"Explores the history of modern South Africa from the beginning of the mineral revolution in the 1860s to the post-apartheid present. We will cover mining-centered industrialization, the emergence of Afrikaner and African nationalism, segregationist ideology, and the construction of apartheid. We will examine the plethora of anti-apartheid struggles, and the regional and wide-ranging global efforts to end apartheid and usher in democracy. The establishment and promise of multi-party democracy, the AIDS epidemic, and the reemergence of social movements are all topics we will consider and we will conclude by reflecting on the place of South Africa as a regional, continental, and world power.",AAAS 214S
The Atlantic Slave Trade,"The development of the slave trade from the fifteenth century to its abolition in the nineteenth century; organization and mechanics, impact on Europe, Africa, and the Americas.",AAAS 217S
"The Caribbean, 1492-1700","The Caribbean region from the arrival of Columbus (1492) to the emergence of sugar and slavery as powerful shapers of society and culture, by 1700.",AAAS 218
"War, Slavery, and Revolution in the Caribbean, 1700-1800","The development of Caribbean society and economy in the contexts of slavery, empire, international rivalry, and democratic revolution.",AAAS 219
West African Rootholds in Dance,"Lecture and dance laboratory exploring three West African traditional dance forms and their relationship to religious and social life in Africa and the Diaspora. Continuity and transformation of physical texts as cultural heritage, examined historically and aesthetically. Guest lecturers, videos, research project. Two lab sections, one for students with prior training in African Dance, and one for students with no experience.",AAAS 220SL
Capoeira: Practice and Culture,"Lecture/lab course introducing the movement, music and culture of capoeira, an Afro-Brazilian martial art that combines dance, self-defense and acrobatics. Created by male African slaves in Brazil several hundred years ago, viewed as a social threat and outlawed in the 19th century, celebrated as an element of national identity in the 20th century, today capoeira is rapidly crossing national, racial and gender borders as it becomes a popular global practice. Studio classes twice a week focus on the basic movements, percussive music and call-and-response singing. Seminar once a week focuses on the historical, cultural and socio-political dynamics that shape capoeira in Brazil and beyond.",AAAS 221SL
Black Psychology,"The purpose of this course is to critically examine psychological concepts, theories, and methods from perspectives grounded in 'the Black experience.' We will examine psychological phenomena and issues that specifically emerge in the social and historical context of African-descended peoples living in the African Diaspora (primarily, the United States) and we will reflect on a variety of psychological topics (e.g., self & identity, motivation, language, racism) through African and Black-centered lenses. Throughout the course, we will deconstruct, challenge, and revisit various assumptions about the psychologies of people racialized as Black. Prerequisite: PSY 101 or PSY 11 or AAAS 102 or AAAS 103.",AAAS 223
African Diaspora Literature: Twentieth- and Twenty-First-Century Black Writers,"Late-nineteenth-century to contemporary writers, including African American, Caribbean, and African authors. Satisfies the Area III requirement for English majors.",AAAS 224
Documenting Black Experiences,"Explores how Black experiences have been documented and how crucial stories woven from real life get told. Students engage wide ranging contemporary and historical materials, including nonfiction, memoir, fiction, documentary and dramatic film, theater, poetry and music. Our aspirations are historical, but with an understanding that academic history, though irreplaceable, barely touches the range of storytelling that makes Black lives not only matter but transform the spaces in which they unfold. Our explorations are political, but in the largest sense—how Black power comes from making higher truth a tool, a weapon and a way of being.",AAAS 225S
African American Art,"Emphasis on works derived from an Afro-United States cultural perspective. Major figures include Henry Ossawa Tanner, Aaron Douglas, Jacob Lawrence, Charles White, Elizabeth Catlett, Romare Bearden, Lois Mailou Jones, and others.",AAAS 227
Fictions That Mark the Moment,"Course is an engagement with novels from spectacular moments of history, an imagination of the future, a response to narrative conventions of realism and thinking with and against the grain of social understandings. Look at examples of historical, speculative, postcolonial, experimental, science, magical realist fictions and theoretical work. Will consider the means by which narratives produce or rely on ethical beliefs and arguments within the specifics of their world-making as well as the ethical problems presented by relations of power within the particular histories of the texts' various moments.",AAAS 228S
Performing African Diaspora,"The Black cultural contributions of globally popular performance genres such as salsa, capoeira and kizomba often remain unrecognized. The objectives of this class are: 1) to understand the historical, cultural and political forces that created the African Diaspora and its rich tapestry of dances. 2) to question our assumptions that knowledge is only produced through the mind; knowledge is also produced and transmitted through moving bodies. To meet these objectives, the course will be a combination of seminar and studio: in seminar we will engage readings in anthropology, dance and performances studies about specific dances which we will then learn in studio.",AAAS 229S
The South in Black and White,"Focus on present-day and historical documentary traditions in American South, with an emphasis on call and response between black and white cultures. The arts and humanities as embedded in particular histories and cultures found in the South, and as performed in music and theater; and portrayed in documentary films, civil rights photography, Southern literature, and historical and autobiographical writing. Includes historical texts, oral histories and testimonies of living persons, along with documentary films, photographs, and writings from people in Durham and elsewhere in the region.",AAAS 230
The South in Black and White,"Seminar with focus on present-day and historical documentary traditions in American South, with an emphasis on call and response between black and white cultures. The arts and humanities as embedded in particular histories and cultures found in the South, and as performed in music and theater; and portrayed in documentary films, civil rights photography, Southern literature, and historical and autobiographical writing. Includes historical texts, oral histories and testimonies of living persons, along with documentary films, photographs, and writings from people in Durham and elsewhere in the region.",AAAS 230S
"Race, Power, and Identity: From Ali to Kaepernick","Exploration of historic and contemporary psycho-social and socio-cultural aspects of the African American sport experience. Examination of research that addresses the effect of physical differences, racial stereotyping, identity development, gender issues, and social influences on African American sport participation patterns. Analysis of sport as a microcosm of society with an emphasis on examining associated educational and societal issues.",AAAS 232
Writing American Politics,"Reading and writing intensive seminar focused on documentary works that document and discuss US politics and political movements. Engage and analyze historical and contemporary documentary media on the Populist movement, the long civil rights movement, the modern women's movement, Black Lives Matter, Moral Mondays, and other social movements, as well as US elections and significant figures in US politics. Emphasis on 20th century. Course materials include historical writings, journalism, memoir, fiction, music, and film. Guided research on a US political phenomenon resulting in a 20-page final paper.",AAAS 233S
Comparative Urban Politics and Policymaking,"DukeImmerse Seminar. A comparative examination and analysis of urban governance in South Africa and the United States. Examines potential consequences of persistent racial and class disparities for housing and neighborhoods, public health, education, community infrastructure, and general economic and social development. Specific attention to how the physical layout, government structures, politics, culture, and the civil society of cities and urban areas may both promote and hinder human development and social justice. Instructor consent required.",AAAS 234S
Performing Brazil,"Introduces the history and culture of Brazil through the lens of performance. The course explores the way performance arts (dance, music, carnival, theatre, sports) are celebrated as expressions of the African, Indigenous and European roots of Brazilian culture, yet also subjected to race, gender, sexuality and class discrimination. Readings, films, seminar discussions and studio workshops give students understanding of the social forces that shape Brazil; and a critical appreciation for the ways in which performance can both re-inscribe stereotypes and social injustice, and be an avenue for transgressive expressions, political protest, and liberatory practices.",AAAS 235S
"China and Africa: Similarities, Differences, and Interconnections","China, Africa, and their diasporas have similarities and differences, many of them the products of interconnections or overlapping experiences. Through the lenses of history, art, politics, and economics, this anthropology seminar compares these two culture complexes and highlights the hybrid and creative results of their interaction, with the special goal of correcting existing misunderstandings and facilitating thoughtful cooperation in the future. While the professor will orient the discussion around current anthropological methods of critical analysis, the seminar format will require the professor and all of the students to build on and contribute to each other's understanding of the topic.",AAAS 236S
Advanced Research Seminar in Urban Politics and Policymaking,"DukeImmerse Seminar. Advanced research and writing seminar. Participants produce a 30-40 page research paper based on field work and archival research experiences in Durham and an approved South African city. Includes tutorials in research design and comparative research methods. There is a required field work component of the course which entails a two-week trip to South Africa. Students will collect data, do interviews, visit municipals offices, and or spend time at NGOs in Pietermaritzburg. Instructor consent required.",AAAS 237S
Activism & Christianity in Modern America,"An exploration of the relation of Christian belief and practices with agitation for social change, with a focus on the United States from the colonial period to the present. Attention given to how identity, power, and suffering shape historical judgments about the intersection of religion and ethics. Close readings of primary sources drawn from autobiographies, letters, sermons, poems, and treatises. Figures may include John Wesley, Sojourner Truth, Frederick Douglass, Martin Luther King Jr., Pauli Murray, Dorothy Day, Thomas Merton, Daniel Berrigan.",AAAS 238S
"Racial Attitudes, Racial Prejudice, and Racial Politics","This course brings together the theories and strategies for perspective taking of two disciplines, Music and Political Science, to unravel some of our most complicated questions around race and inequality in the US. We will (a) focus on how institutions and people have defined 'race' and codified racial categories over time; (b) investigate how people have grappled with, challenged, or exacerbated racial inequalities through the arts; and (c) explore how racial politics are shaped by culture, and vice versa. By reviewing works from social science, humanities, and artists; modeling modes of communication; and addressing conflict and appropriation through active music making, we will analyze racism as a centripetal force in American society. No prior musical experience necessary.",AAAS 239
"Race, Racism, and Democracy","The paradox of racial inequality in societies that articulate principles of equality, democratic freedom, and justice for all. For years anthropologists have explored differences between what people say and what people actually do, the congruence and incongruence between structures of institutions and patterns of culture, and distinctions between myths and often-stark material realities. By the conclusion of the course, students can will better understand how the structures and processes of politics govern the everyday life of racial minorities in capitalist democracies.",AAAS 241
"Race, Gender, and Sexuality","Gender's relationship to race and sexuality explored through a variety of issues, including health, intimacy, family, the state, economic practices, transnational communities and identities, and social movement.",AAAS 242S
The Civil Rights Movement,An interdisciplinary examination of the civil rights movement from World War II through the late 1960s.,AAAS 243
Sociology of Racism in America,"Examines social history of major racial groups in the US and relationships to contemporary standing. Discusses central concepts sociologists use to analyze racial matters. Central theme: 'racism' is not mere 'prejudice,' 'ignorance,' or 'intolerance,' but a comprehensive historical system of racial domination organized around the logic of white supremacy. Discussion of 'whiteness' in the USA—how whiteness emerged as a social category, an identity based on experiences of variety of European 'peoples;' how it dominated the racial structure of the US since the 17th century, how wealth has been distributed along racial lines, racialization of Asians and Latinos, and color blind racism.",AAAS 246
Social Movements and Social Media,"Examines uses and abuses of social media by social movements. Interested in a broader historical study of mediating technologies and oppositional public sphere, course considers the uses of cameras, phones, cassette players, radio, and social media platforms, but also books, bodies, art, fashion, and automobiles as oppositional technologies. Studies political and ethical uses of technologies in social unrest. Investigates impact of technologies on social movements and social transformations in contemporary history. Student driven case studies will highlight contemporary engagement with social media by networked social movements.",AAAS 247S
"Hip Hop, Futurism, and the End of the World","In this course, we will explore the intersections between hip hop, black futurity, science-fiction, and visions of the end of the world. We will focus on hip hop artists who draw themes from fantasy and speculative fiction to both re-make sense of the present and to imagine a radically different future. We will explore how these artists invent personas, identify with the alien, invoke space ships from other planets, and blur the line between human and non-human. While the course underscores themes of futurity and possibility, we will also examine how these themes respond to enduring conditions of racial, gender, and sexual oppression. Artists we will focus on include: Outkast, Janelle Monae, Erykah Badu, and MF Doom.",AAAS 248
Martin Luther King and the Prophetic Tradition,"Situates Martin Luther King as a preacher in the black Christian tradition with a liberationist reading. Traces the movement from civil rights to opposition to economic injustice, war, and militarism. Analyzes what the prophetic voices of today have to say about issues of poverty, racism, environmental destruction, militarism, homophobia, drones, sexism.",AAAS 249
Global 'Mixed Race' Studies,"By exploring pioneering and controversial writings from both the social and the biological sciences as well as the humanities, this course will situate debates on 'race', 'mixed race' and social hierarchies within broader global, comparative, and historical contexts. These comparative examples shed light on the the different social, social, and historical meanings attached to 'race' and 'mixed race' and address social and cultural variations in the symbolic rules which determine the social status of 'mixed race' communities. Open only to students in the Focus Program.",AAAS 250FS
The Anthropology of Race,Human variation and the historical development of concepts of race; science and scientific racism; folk-concepts of race; and the political and economic causes of racism; ethics of racism.,AAAS 251
Giants of Jazz: A Journey into the Lives and Music of the Masters of Jazz Music,"In the Giants of Jazz Seminar, students will delve deeply into the music and lives of the biggest names in Jazz. Miles Davis, John Coltrane, Charlie Parker, Duke Ellington, Art Blakey and Cannonball Adderly (to name a few) are among those who created various levels of the art form known as jazz, and this course allows students a unique opportunity to get down and dirty with the music and blueprint they left for the world to enjoy. This highly interactive course engages students with the Professor, and it is a fun and exciting way to get up close and personal with some of the greatest music and musicians of all time.",AAAS 252S
Independent African American Cinema,"Independent African American Independent cinema from the silent film era to the present. Perspectives on issues of politics, representation, cultural identity, marginality and difference in contemporary American society. Focus on independent directorial figures and their intervention through genres, historical movements, and modes of production to examine how innovation helps define African American cinema's rich past and possibilities as well as key shifts in the larger social contexts of race, gender, and class in the United States.",AAAS 253S
African Americans & Photography,"This course explores the history and culture of photography among African Americans. Topics for consideration will include the 1) history of photographic technologies, 2) the political urgency compelling early Black photographers, 3) as well as the aesthetic practices and interventions made by contemporary Black artists.",AAAS 254S
Religion and Colonialism in Africa,"This course examines religious life in Africa across space and time with a particular focus on the impact of colonialism. We will investigate the role of colonialism in the emergence of the concepts of both 'Africa' and 'religion,' before moving to explore the continent's breadth of religious practice and thought. We will engage with a range of indigenous traditions, local Christian and Islamic practices, mission Christianity in a variety of contexts, and the movement of African religions beyond the continent. Literature will be drawn from religious studies, history, and anthropology, and will incorporate discussions on writing about Africa.",AAAS 255
Race in the 20th Century U.S.,"Increasingly, our world today acknowledges that race is less about biological features and more about social rules and ideas. So why does race remain so important in the twenty-first century? This course combines ideas from history, public policy, sociology, and political science to examine how ideas of race have changed over from 1877, following the end of Reconstruction, to the present. While we might think of ideas like 'white,' 'Black,' 'Asian American,' or 'Hispanic' as concrete, easily definable categories, all of these categories and their social impact changed significantly over the course of a century.",AAAS 256
Introduction to Racial and Ethnic Minorities in American Politics,"The politics of four of the United States principal racial minority groups—blacks, Latinos, Asians, and American Indians.",AAAS 257
"Studio Pop: Histories & Sounds, 1960s to 80s","Pop-music styles as the work of studio production techniques, post-1960s. We explore four influential artists--The Beach Boys ('Pet Sounds' 1966, and later albums); Stevie Wonder ('Music of My Mind' 1971 to 'Songs in the Key of Life' 1976); Steely Dan (albums released 1972-79) and Prince (albums 1977 to 1987). Topics include: history of studio production, multi-track tape innovations, orchestrations, backing vocals, sonic balance, space; synthesizer technology; drum-machine grooves, Close reading of songs, producers, studio styles, press/fan reception. Analysis of music in acoustic, narrative, poetic or structural terms through close listening. Readings from critical literature.",AAAS 258
African American Theater and Performance,"This course explores the history of African American theater and performance cultures from the nineteenth-century through the present. We will spend a lot of time outside the classroom--at local archives, at performances, and in Durham communities. The course is organized thematically (e.g., historical drama) and formally (e.g. the musical), rather than chronologically. There is also the possibility of a trip to New York City to work at the Schomberg and see shows.",AAAS 259
"Race, Genomics, and Society","The field of genetics has been at the forefront of discourse concerning the concept of 'race' in humans. This course explores human origins, human variation, human identity, and human health through a broad range of enduring and emerging themes and challenging questions related to race and genetics (and now, genomics) on a global scale. Students will acquire knowledge and skills required for integrative analyses of the relevant scientific, ethical, legal, societal, cultural, and psychosocial issues. Open to students at all levels from any discipline in the arts, humanities, and sciences (natural, social, formal, and applied).",AAAS 261D
Latin American Wars of Independence,"This course covers the conspiracies, uprisings, and wars that led to the independence of Haiti and the Latin American colonies of Spain and Portugal between 1780 and the 1898 withdrawal of Spain from Cuba. It focuses on the key military and political leaders of anti-colonial struggles conducted on a continental scale from the islands of the Caribbean to the Andean highlands and beyond. Military strategy and political tactics were decisively shaped by modern debates about the meaning of freedom in terms of slavery and national self-determination. No prior knowledge of Latin America and the Caribbean required.",AAAS 264
"Representing Breast Cancer: Feminist Literature, Art, and Film","Analyzes representations of breast cancer in feminist literature, art, and film. Drawing on health feminism, feminist medical ethics, and disability studies, explores what those representations tell us about the intersections among gender, race, class, sexuality, and ability in both the Global North and South. Sets artistic representations of breast cancer against the hyper-sexualization of breasts in capitalism's visual cultures and the spectacles of breast cancer activism. Shows how literature, art, and film can reveal health care's material conditions as well as breast cancer's psychic complexities.",AAAS 265S
