"course_code","course_title","credits","department","description"
"AE 020","Level 2 Core","10 credits.","Academic English (AE)","Focuses on reading and writing in general and academic settings. Further develops paragraph writing and identifying main ideas and explicit details in readings on familiar topics. Introduces vocabulary and grammar at the CEFR B1 level. Designed for non-native English speakers at a low-intermediate level in written skills. Offered byINTO Mason. May be repeated within the degree for a maximum 20 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 021","Level 2 Oral Comm Skills","6-8 credits.","Academic English (AE)","Focuses on listening and speaking skills in social and academic settings. Introduces short presentations and develops functions, vocabulary, grammar, and pronunciation at the CEFR A2+ level. Designed for non-native English speakers at a low-intermediate level in listening and speaking. Offered byINTO Mason. May be repeated within the degree for a maximum 18 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 022","Level 2-3 Special Topics","1-10 credits.","Academic English (AE)","Notes: Topic may vary. Offered byINTO Mason. May be repeated within the term for a maximum 30 credits. Specialized Designation:Topic Varies Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 024","Basic Pronunciation Skills","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 030","Level 3 Core","10 credits.","Academic English (AE)","Focuses on reading and writing in academic and general settings. Transitions from paragraphs to short essay writing and introduces inferencing and identifying text connections. Develops vocabulary and grammar at the CEFR B1 level. Designed for non-native English speakers at a mid-intermediate level in written skills. Offered byINTO Mason. May be repeated within the degree for a maximum 20 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 031","Level 3 Oral Comm Skills","6-8 credits.","Academic English (AE)","Focuses on listening and speaking skills in academic and social settings. Introduces note-taking and develops short presentations, functions, vocabulary, grammar, and pronunciation at the CEFR B1 level. Designed for non-native English speakers at a mid-intermediate level in oral skills. Offered byINTO Mason. May be repeated within the degree for a maximum 16 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 032","Level 3-4 Special Topics","1-10 credits.","Academic English (AE)","Notes: Topic may vary. Offered byINTO Mason. May be repeated within the term for a maximum 30 credits. Specialized Designation:Topic Varies Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 033","Reading Plus","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 035","Developing Vocabulary","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 036","American Culture","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 040","Level 4 Core","10 credits.","Academic English (AE)","Focuses on reading and writing in academic settings. Develops comprehension and retention of modified academic and informational texts and writing a variety of academic essays on concrete and abstract topics. Covers vocabulary and grammar at the CEFR B1+ level. Designed for non-native English speakers at a high-intermediate level in written skills. Offered byINTO Mason. May be repeated within the degree for a maximum 20 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 041","Level 4 Oral Comm Skills","6-8 credits.","Academic English (AE)","Focuses on listening and speaking skills in academic and social settings. Introduces note-taking and develops short formal presentations, conversation management, functions, vocabulary, grammar, and pronunciation at the CEFR B1+ level. Designed for non-native English speakers at a high-intermediate level in oral skills. Offered byINTO Mason. May be repeated within the degree for a maximum 16 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 042","Level 4-5 Special Topics","1-10 credits.","Academic English (AE)","Notes: Topic may vary. Offered byINTO Mason. May be repeated within the term for a maximum 30 credits. Specialized Designation:Topic Varies Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 044","Intro to IELTS Academic","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 046","Developing Pronunciation Skill","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 047","Intro to TOEFL iBT","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 048","Present Yourself","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 050","Level 5 Core","10 credits.","Academic English (AE)","Focuses on reading and writing in academic settings. Focuses on comprehension and retention of modified academic and informational texts and writing a variety of academic essays. Introduces summary writing and APA citation. Develops vocabulary and grammar at the CEFR B2 level. Designed for non-native English speakers at a low-advanced level in written skills. Offered byINTO Mason. May be repeated within the degree for a maximum 20 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 051","Level 5 Oral Comm Skills","6-8 credits.","Academic English (AE)","Focuses on listening and speaking skills in academic settings. Develops note-taking, formal presentations, conversation management, functions, vocabulary, grammar, and pronunciation at the CEFR B2 level. Designed for non-native English speakers at a low-advanced level in oral skills. Offered byINTO Mason. May be repeated within the degree for a maximum 16 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 052","Level 5-6 Special Topics","1-10 credits.","Academic English (AE)","Notes: Topic may vary. Offered byINTO Mason. May be repeated within the term for a maximum 30 credits. Specialized Designation:Topic Varies Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 054","TED Talks","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 055","Let's Talk Math","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 056","Business English","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 060","Level 6 Core","10 credits.","Academic English (AE)","Focuses on reading and writing in academic settings. Develops comprehension and retention of modified academic and informational texts and writing longer academic essays and a short research paper. Covers vocabulary and grammar at the CEFR B2+ level. Designed for non-native English speakers at a mid-advanced level in written skills. Offered byINTO Mason. May be repeated within the degree for a maximum 20 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 061","Level 6 Oral Comm Skills","6-8 credits.","Academic English (AE)","Focuses on listening and speaking skills in academic settings. Develops note-taking, formal presentations, conversation management, functions, vocabulary, grammar, and pronunciation at the CEFR B2+ level. Designed for non-native English speakers at a mid-advanced level in listening and speaking. Offered byINTO Mason. May be repeated within the degree for a maximum 16 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 062","Level 6-7 Special Topics","1-10 credits.","Academic English (AE)","Notes: Topic may vary. Offered byINTO Mason. May be repeated within the term for a maximum 30 credits. Specialized Designation:Topic Varies Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 063","American TV Comedy","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 064","English through Pop Music","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 065","Advanced Pronunciation Skills","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 068","China 1-2-1 Orientation","3 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language or English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 069","China 1-2-1 Orientation","1 credit.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language or English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 070","Level 7 Core","10 credits.","Academic English (AE)","Focuses on reading and writing in academic settings. Develops comprehension and retention of academic readings and writing data set descriptions, abstracts, longer academic essays, and a research paper. Covers vocabulary and grammar at the CEFR C1 level. Designed for non-native English speakers at a high-advanced level in written skills. Offered byINTO Mason. May be repeated within the degree for a maximum 20 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 071","Level 7 Oral Comm Skills","6-8 credits.","Academic English (AE)","Focuses on listening and speaking skills in academic settings. Develops note-taking, formal presentations, conversation management, functions, vocabulary, grammar, and pronunciation at the CEFR C1 level. Designed for non-native English speakers at a high-advanced level in listening and speaking. Offered byINTO Mason. May be repeated within the degree for a maximum 16 credits. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 072","Level 6-7-8 Special Topics","1-10 credits.","Academic English (AE)","Notes: Topic may vary. Offered byINTO Mason. May be repeated within the term for a maximum 30 credits. Specialized Designation:Topic Varies Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 073","Dialogue with Americans","4 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 074","Giving Presentations","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 075","Advanced Vocabulary","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 076","Preparation for GRE","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 077","Preparation for IELTS","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 078","Preparation for TOEFL iBT","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 079","Advanced English Grammar","4 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 080","Level 8 Core","10 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 081","Level 8 Oral Comm Skills","6-8 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"AE 082","Level 7-8 Special Topics","2 credits.","Academic English (AE)","Offered byINTO Mason. May not be repeated for credit. Registration Restrictions:Enrollment is limited to English Language level students. Schedule Type:Lecture Grading:This course is graded on theEnglish Language scale."
"ACCT 203","Survey of Accounting","3 credits.","Accounting (ACCT)","Introduction to financial and managerial accounting. Financial accounting from viewpoint of those who prepare and use financial information. Financial accounting topics include recording financial transaction, creating financial statements, the study of cash and internal controls. Managerial accounting topics include introduction to job order costing, breakeven analysis, standard costs and variances and short term decision making. A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Equivalent toACCT 204. Recommended Prerequisite:ECON 103 Registration Restrictions:Students with the terminated from BU major attribute maynotenroll. Schedule Type:Lecture, Recitation Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 204","Honors Survey of Accounting","3 credits.","Accounting (ACCT)","Introduction to financial and managerial accounting. Financial accounting from viewpoint of those who prepare & use financial information. Financial accounting topics include recording financial transaction, creating financial statements, the study of cash and internal controls. Managerial accounting topics include introduction to job order costing, breakeven analysis.Offered by Accounting. Limited to two attempts. Equivalent toACCT 203. Recommended Prerequisite:Cum GPA of 3.5 or higher andECON 103 Registration Restrictions:Enrollment limited to students with the Honors College (Business)., Honors College (STEM). or Honors College. attributes. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 303","Accounting for Decision Making","3 credits.","Accounting (ACCT)","Students will examine how economic transactions are measured and recorded in financial statements using generally accepted accounting principles to help users of accounting information to make financing, operating, and investing decisions for businesses. Students will also learn how the tax system impacts business decision making, how managers could use managerial accounting information to make operating and compensation decisions, and understand the importance of internal and external audits to business and capital markets. Notes: Students cannot receive credit for ACCT 301 andACCT 303/ACCT 330. Costello College of Business students will not be permitted to make more than three attempts to achieve a C or higher inACCT 303. The third attempt requires academic advisor approval. Those who do not successfully complete this course within three attempts will be terminated from their concentration and will not be eligible to receive a degree from the Costello College of Business.Offered by Accounting. Limited to two attempts. Recommended Prerequisite:BUS 103andBUS 200are strongly recommended. Registration Restrictions:Required Prerequisites:(ACCT 203C, U203,203XS, 204Cor U204) and (BUS 210C, U210 or210XS) and (MATH 108C, U108,108XS, 113C, U113, 113XS, 114C, U114, 114XS,HNRT 225C,225XSor U225).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman maynotenroll.Non-Degree level students maynotenroll.Students with the terminated from BU major attribute maynotenroll. Schedule Type:Lecture, Recitation Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 311","Managerial and Cost Accounting","3 credits.","Accounting (ACCT)","Develops skills in identifying business processes, transforming data into useful information, and making managerial decisions. Designed for students in all areas of management, especially those whose career aims include cost management. Topics include analyzing and managing costs, developing cost systems that facilitate decision making, identifying opportunities for improving business process, creating financial and operating budgets for planning and control, and developing measures to assess performance. A third attempt requires Costello College of Business academic advisor approval.Offered by Accounting. Limited to two attempts. Recommended Prerequisite:Degree status. Registration Restrictions:Required Prerequisites:(ACCT 303C, L303,303XS, 301C, L301, 330C, L330 or 330XS).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 315","Personal Financial Planning","3 credits.","Accounting (ACCT)","This is an elective course in the Financial Planning and Wealth Management concentration which reviews, defines and helps student evaluate personal financial decision.  A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:((ACCT 203C, U203,203XS, 204Cor U204) and (BUS 210C,210XSor U210) and (MATH 108C, U108,108XS, 113C, U113, 113XS, 114C, U114, 114XS,HNRT 225C,225XSor U225)).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 331","Intermediate Accounting I","3 credits.","Accounting (ACCT)","This is the first of the two-course financial accounting sequence that examines financial accounting from the viewpoint of preparers and users of financial statements, including preparing financial statements to reflect financing, operating, and investing decisions of the firm and using financial statement information to make financing, operating and investing decisions for the firm. A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:(ACCT 303C, L303,303XS, 330C, L330, 330XS, 301Cor L301).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 332","Intermediate Accounting II","3 credits.","Accounting (ACCT)","This is the second of the two-course financial accounting sequence that examines financial accounting from the viewpoint of preparers and users of financial statements, including preparing financial statements to reflect financing, operating, and investing decisions of the firm and using financial statement information to make financing, operating and investing decisions for the firm. Continuation ofACCT 331. A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:((ACCT 331Cor331XS) and (FNAN 301C, L301,303C, L303 or303XS)).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 351","Taxation and Managerial Decision Making","3 credits.","Accounting (ACCT)","Introduction to fundamental topics in taxation using a business-entities approach. Specific topics include gross income, deductions, losses, and property transactions. The course emphasizes the identification of planning and compliance issues and the application of tax law to resolve those issues. Both tax and non-tax factors affecting decision making are considered. A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:((ACCT 301Cor L301) or (ACCT 303C, L303 or303XS) or (ACCT 330C, L330 or 330XS)).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 361","Accounting Analytics","3 credits.","Accounting (ACCT)","This course demonstrates how firms collect, store, and process financial and non-financial data into information used for decision-making within modern accounting information systems. The course focuses on (1) the data processing cycle and how relational databases are constructed to capture the data flowing through key business processes, (2) the importance of analytics and visualization in transforming transactional data into information useful for decision making, and (3) the role of internal controls in mitigating risks in relation to the above activities. Students are also introduced to the implications of cybersecurity and emerging technologies (e.g., blockchain, artificial intelligence, etc.) within the field of accounting. A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:((ACCT 301C, L301,303C, L303,303XS, 330C, L330 or 330XS) and (MIS 301C, L301,303C, L303 or303XS)).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 370","International Accounting","3 credits.","Accounting (ACCT)","International Accounting is study of entity reported as multinational company or entity whose reporting obligations to stakeholders are located in a different country. Course focuses on effects of financial reporting, managerial planning and control, international taxation, and international financial statement analysis on multinational reporting entity, and as the convergence of U.S. Generally Accepted Accounting Principles and International Financial Reporting Standards. A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:(ACCT 301C,303C, 330C,303XS, 330XS, L301, L303 or L330).CRequires minimum grade of C.XSRequires minimum grade of XS.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 372","Financial Statement Analysis","3 credits.","Accounting (ACCT)","Detailed overview of financial statement analysis by users of financial statements. Students learn about common features of mandatory and voluntary accounting disclosures, behaviors and interactions among different users of financial statement information. Primary focus is analysis of financial statement information in body of financial statements and footnotes, and implications of those disclosures for firm valuation, fraud prediction, taxation, and governance. A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:(ACCT 301C, L301,303C,303XS, L303, 330C, 330XSor L330).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 390","Introduction to Financial Planning and Wealth Management","3 credits.","Accounting (ACCT)","This course provides an introduction to the financial planning process for students interested in a career in financial planning and wealth management.  Course topics include education, insurance, and retirement planning.  The course also will cover professional responsibilities and regulations governing the financial services industry.  A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Equivalent toFNAN 390. Registration Restrictions:Required Prerequisites:(FNAN 303B-or L303) and ((ACCT 303Cor L303) or (ACCT 330C, 330XSor L330)).B-Requires minimum grade of B-.CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 408","Taxes Insurance and Risk Management","3 credits.","Accounting (ACCT)","This course provides a detailed look at tax issues that investors and businesses face. In addition, the class will focus on risk management strategies from the perspective of the business and individual and a detailed look at insurance and insurance products in full detail. The course also will cover professional responsibilities and regulations governing the financial services industry.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:((FNAN 303B-, 301B-or L303) and (ACCT 303C, 330C, 301C, L303, L330 or L301)).B-Requires minimum grade of B-.CRequires minimum grade of C.Students with a class of Freshman or Sophomore maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 411","Advanced Managerial Accounting","3 credits.","Accounting (ACCT)","Managerial uses of accounting information in planning, controlling, motivating, and decision making. Emphasizes quantitative and behavioral aspects of managerial accounting. A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:(ACCT 311Cor311XS).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman or Sophomore maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 433","Advanced Financial Accounting","3 credits.","Accounting (ACCT)","Focuses on advanced topics in financial accounting. Students study accounting business combinations, preparation of consolidated financial statements, accounting for foreign currency transactions, translation and remeasurement of foreign currency financial statements, partnership accounting, interim and segment reporting, and Securities and Exchange Commission reporting issues. International Financial Reporting Standards (IFRS) are discussed. A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:(ACCT 332Cor332XS).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman or Sophomore maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"ACCT 441","Estate Planning","3 credits.","Accounting (ACCT)","Students will learn to plan efficient and effective wealth transfers to meet clients’ goals. A third attempt will require academic advisor approval.Offered by Accounting. Limited to two attempts. Registration Restrictions:Required Prerequisites:(ACCT 351Cor351XS).CRequires minimum grade of C.XSRequires minimum grade of XS.Students with a class of Freshman or Sophomore maynotenroll.Non-Degree level students maynotenroll.Students with the Ineligible to take FPWM crses or terminated from BU major attributes maynotenroll. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
