"code","level","title","credits","subject","description"
"LA8408","Graduate","18th-Century Landscape Theory: Nature and the Sublime, the Beautiful, and the Picturesque",3,"TALA - College of Design","Eighteenth-century landscape architectural theory underpinned most modern western traditions in landscape architecture. These theoretical positions framed the nature of Nature in the context of human experience through treatises and works of landscape architecture.

prereq: Grad land arch or arch major or instr consent"
"ARTH3012","Undergraduate","19th and 20th-Century Art: Identity & Representation",3,"TCLA - College of Liberal Arts","Learn about the contributions and legacies of some of the best-known and most revered figures of art history—Delacroix, Picasso, Warhol, etc.—as well as select mediums, genres, and artists often overlooked in traditional survey-type courses, such as photojournalism, protest art, and the architecture of Las Vegas casinos. Focusing, more specifically, on the themes of representation and identity, case studies, lectures, readings and class discussions illuminate how visual and material culture actively shaped—and reshaped—the boundaries and character of the modern world from the French Revolution to the Aids Crisis of the 80s and 90s. By contextualizing artists’ responses to the radically new ideas, technologies, social dynamics, economic, and ecological realities of the 19th and 20th centuries, we will work toward developing a more comprehensive understanding of modern art and of our own positions in history. "
"GER3431","Undergraduate","19th-Century Literature",3,"TCLA - College of Liberal Arts","Literary/cultural exploration of 19th-century German literature through an investigation of romanticism, realism, and naturalism. Reading/discussion of literary/critical texts.

prereq: 3011"
"RUSS3409","Undergraduate","19th-Century Russian Novel",3,"TCLA - College of Liberal Arts","The Russian realistic novel from origin to decline. Social, political, and intellectual circumstances that led to its emergence as the dominant genre of the ""age of realism"" in Russia."
"RUSS5409","Undergraduate","19th-Century Russian Novel",3,"TCLA - College of Liberal Arts","The Russian realistic novel from origin to decline; social, political, and intellectual circumstances that led to its emergence as the dominant genre of the ""age of realism"" in Russia."
"LNDN3213","Undergraduate","20th and 21st Century Art",3,"TOIP - Global Programs and Strategic Alliance","Art movements and major artists of Modern period, 1900-1970. Various visual media in relation to theories, historic events, scientific/technological changes, and literature. Emphasizes European art. Influences from other cultures."
"LNDN3324","Undergraduate","20th Century British Fiction",3,"TOIP - Global Programs and Strategic Alliance","Responses to colonialism, impact of World War I, changing conditions for women and for contemporary multicultural Britain. Literary movements/styles (realism, modernism), narrative techniques/perspectives (1st/3rd person, limited point-of-view, stream of consciousness). Use of symbolism, imagery, irony, etc. Role of author/reader. Problems of interpretation.  "
"DIS3623","Undergraduate","20th Century Danish Architecture",3,"TOIP - Global Programs and Strategic Alliance","Danish architecture in historical, political, and social/architectural context. Relation of Danish architecture to Scandinavian/international architecture."
"DIS3344","Undergraduate","20th Century European History",3,"TOIP - Global Programs and Strategic Alliance","Main periods/trends in European history, from end of 19th century to present. Interplay of political, social, and ideological developments."
"KOR3650","Undergraduate","20th Century Korean Literature in Translation",3,"TCLA - College of Liberal Arts","Various works of Korean literature from colonial age through 1990s. Literary responses to historical changes. Relationship of literary works with historical issues such as colonial experience, Korean civil war and its results, and modern industrial society."
"TLDO3314","Undergraduate","20th Century Spanish Art",3,"TOIP - Global Programs and Strategic Alliance","Spanish artists who were most affected by European avant-garde movements and have greatly affected art in/outside Spain (e.g., Pablo Picasso, Salvador Dali, Juan Miro, Juan Gris)."
"TLDO3910","Undergraduate","20th Century Spanish Literature",3,"TSYA","Contemporary Spanish literature, from generation of 1898 to postwar era. Major literary current, political, and social events that have shaped literature. Representative authors/works."
"TLDO3001","Undergraduate","20th Century Spanish Literature",3,"TOIP - Global Programs and Strategic Alliance","Spanish literature."
"GER3441","Undergraduate","20th-/21st-Century Literature",3,"TCLA - College of Liberal Arts","German literature, from 1890 to present, in historical, political, social, and cultural context.

prereq: 3011"
"ENGL5175","Graduate","20th-Century British Literatures and Cultures I",3,"TCLA - College of Liberal Arts","Principal writers, intellectual currents, conventions, genres, and themes in Britain/Ireland, 1900-45. Fiction/nonfiction by Conrad, Richardson, Forster, Joyce, Mansfield, Rhys, West, Woolf, Lawrence and Huxley. Poetry by Hardy, Hopkins, Loy, H.D., Yeats, Pound and Eliot. Drama by Synge and Shaw."
"ENGL3175","Undergraduate","20th-Century British Literatures and Cultures I",3,"TCLA - College of Liberal Arts","Survey of principal writers, intellectual currents, conventions, and genres/themes in Britain/Ireland, from 1900 to 1945. Fiction/nonfiction by Conrad, Richardson, Forster, Joyce, Mansfield, Rhys, West, Woolf, Lawrence, and Huxley. Poetry by Hardy, Hopkins, Loy, H.D., Yeats, Pound and Eliot. Drama by Synge and Shaw."
"ENGL3176","Undergraduate","20th-Century British Literatures and Cultures II",3,"TCLA - College of Liberal Arts","Survey of principal writers, intellectual currents, conventions, genres, and themes in Britain/Ireland, 1945-1999. Fiction/nonfiction by Greene, Bowen, Amis, Fowles, Lessing, Drabble, Murdoch, Naipaul, Carter, Rushdie, and Winterson. Poetry by Smith, Auden, Thomas, Larkin, Hughes, Heaney, Smith, Boland, and Walcott. Drama by Beckett, Pinter, Shaffer, Stoppard, Devlin, Friel, and Carr."
"ENGL5176","Graduate","20th-Century British Literatures and Cultures II",3,"TCLA - College of Liberal Arts","Principal writers, intellectual currents, conventions, genres, and themes in Britain/Ireland, 1945-99. Fiction/nonfiction by Greene, Bowen, Amis, Fowles, Lessing, Drabble, Murdoch, Naipaul, Carter, Rushdie, and Winterson. Poetry by Smith, Auden, Thomas, Larkin, Hughes, Heaney, Smith, Boland, and Walcott. Drama by Beckett, Pinter, Shaffer, Stoppard, Devlin, Friel, and Carr."
"CHN4023","Undergraduate","20th-Century Chinese Literature in Translation",4,"TCLA - College of Liberal Arts","Main trends in Chinese literature from May 4th, 1919 to 1979, including Taiwanese literature."
"GLOS3422","Undergraduate","20th-Century Europe From the End of World War II to the End of the Cold War: 1945-91",3,"TCLA - College of Liberal Arts","Social, economic, political, and cultural impacts of WWII. Division of Europe, communist regimes in Eastern Europe, cooperation in Western Europe, impacts of modernization. End of Cold War."
"MUS5647","Undergraduate","20th-Century European/American Music",3,"TCLA - College of Liberal Arts","Concert music and opera in European and American culture 1890s to present, political and social roles of music. 

prereq: MUS 1501 or equiv"
"HIST5265","Graduate","20th-Century Russia: The Collapse of Imperial Russia, the Revolutions, and the Soviet Regime",3,"TCLA - College of Liberal Arts","Analysis of the factors that led to the collapse of the tsarist regime; discussion of the 1917 revolution, the evolution of the Soviet regime and the collapse of Soviet communism. Emphasis on the role of nationalities and the rise of the Commonwealth of independent states."
"HIST3265","Undergraduate","20th-Century Russia: The Collapse of Imperial Russia, the Revolutions, and the Soviet Regime",3,"TCLA - College of Liberal Arts","Analysis of factors that led to collapse of tsarist regime. 1917 revolution. Evolution of Soviet regime/collapse of Soviet communism. Emphasis on role of nationalities/rise of Commonwealth of independent states."
"DNCE3002","Undergraduate","2nd Year Career Readiness for Dancers",1,"TCLA - College of Liberal Arts","The DNCE 3002 career management course degree requirement is designed to ensure you know how to pursue dance and dance-related opportunities during the next two years at the dance program and to deepen your liberal arts education through co-curricular experiential learning opportunities (e.g., apprenticeships, intensives, learning abroad, and community engaged learning, among others). These experiences enhance your learning and connect you to the broader dance community, laying the stage for work and jobs upon graduation. 

This course will support you in articulating your values and mapping multiple trajectories that align with your values. This course is designed to pull apart, name, and engage with aspects of a life in dance that sometimes feel hidden, obscured, or slippery in order to support you in making intentional and purposeful choices in your education and experiences outside of school. This course will also examine the relationship of self to dance, supporting you in cultivating resilience and practicing failure. This course is a hybrid course, with the bulk of the coursework happening via Canvas, 4 full class meetings, and 2 individual or small-group meetings over the course of the semester. 

This course meets the CLA requirement for the Second-Year Experience and can be taken in place of CLA 3002."
"NSC8322","Graduate","2nd Year Career Skills",1,"TMED - Medical School","Information that falls outside of core neuroscience academic curriculum. Areas of practical value for graduate school and career development. Career skills, writing skills, responsible conduct in research. prereq: Neurscience grad major or instr consent"
"MNMD6601","Medicine","2SLGBTQIA+ Health I",3,"TMED - Medical School","2SLGBTQIA+ course is a longitudinal educational experience for students dedicated to serve patients within the 2SLGBTQIA+ communities. Students articulate their self-identities and engage in introspection to understand their positionality in medical care. Students develop a strong knowledge base in the biopsychosociocultural contexts which impact the communities and a strong knowledge base in the clinical care of the communities. Students develop an empowered and effective leadership role in advocating for 2SLGBTQIA+ communities within medicine and the broader community. This course encourages and develops teamwork and boundaries as lifelong skills which enhance self-efficacy in the medical workplace. Students will engage in a scholarly project in the area of 2SLGBTQIA+ health.

"
"MNMD6602","Medicine","2SLGBTQIA+ Health II",4,"TMED - Medical School","2SLGBTQIA+ course is a longitudinal educational experience for students dedicated to serve patients within the 2SLGBTQIA+ communities. Students articulate their self-identities and engage in introspection to understand their positionality in medical care. Students develop a strong knowledge base in the biopsychosociocultural contexts which impact the communities and a strong knowledge base in the clinical care of the communities. Students develop an empowered and effective leadership role in advocating for 2SLGBTQIA+ communities within medicine and the broader community. This course encourages and develops teamwork and boundaries as lifelong skills which enhance self-efficacy in the medical workplace. Students will engage in a scholarly project in the area of 2SLGBTQIA+ health.

"
"MNMD6603","Medicine","2SLGBTQIA+ Health III",1,"TMED - Medical School","2SLGBTQIA+ course is a longitudinal educational experience for students dedicated to serve patients within the 2SLGBTQIA+ communities. Students articulate their self-identities and engage in introspection to understand their positionality in medical care. Students develop a strong knowledge base in the biopsychosociocultural contexts which impact the communities and a strong knowledge base in the clinical care of the communities. Students develop an empowered and effective leadership role in advocating for 2SLGBTQIA+ communities within medicine and the broader community. This course encourages and develops teamwork and boundaries as lifelong skills which enhance self-efficacy in the medical workplace. Students will engage in a scholarly project in the area of 2SLGBTQIA+ health.

"
"MNMD6604","Medicine","2SLGBTQIA+ Health IV",4,"TMED - Medical School","2SLGBTQIA+ course is a longitudinal educational experience for students dedicated to serve patients within the 2SLGBTQIA+ communities. Students articulate their self-identities and engage in introspection to understand their positionality in medical care. Students develop a strong knowledge base in the biopsychosociocultural contexts which impact the communities and a strong knowledge base in the clinical care of the communities. Students develop an empowered and effective leadership role in advocating for 2SLGBTQIA+ communities within medicine and the broader community. This course encourages and develops teamwork and boundaries as lifelong skills which enhance self-efficacy in the medical workplace. Students will engage in a scholarly project in the area of 2SLGBTQIA+ health.

"
"ARCH4361","Undergraduate","3-D Computer Architectural Modeling and Design",3,"TALA - College of Design","Use of 3D computer modeling for representation in abstract/realistic ways. Creation/arrangement of objects. Setting up lighting. Developing surface materials. Creating still renderings/animations. Ways computer visualization can be used for design exploration, feedback during idea development, and realistic representation of designs.

prereq: 3351, Arch major"
"ARCH5361","Graduate","3-D Computer Architectural Modeling and Design",3,"TALA - College of Design","Use of 3D computer modeling for representation in abstract/realistic ways. Computer modeling software. Creation/arrangement of objects, setting up lighting, developing surface materials, creating still renderings/animations. Ways in which computer visualization can be used for design exploration, for feedback during development of ideas, and for realistic representation of fully formed designs.

prereq: M Arch major"
"BMEN5361","Undergraduate","3D Bioprinting",2,"TIOT - College of Science and Engineering","3D Bioprinting has recently emerged as a new biofabrication technology that merges many engineering fields (eg. BME, MechE, ChemE) with other disciplines such as Materials Science, Stem Cell Biology, Physiology, Surgery and Pharmacology. This course serves as an introduction to the field and how its disciplines interface, while providing the student with knowledge of many of the most common bioprinting methods and applications being developed today through lectures by experts in the field (academia and industry) as well as hands-on lab exercises in the UMN 3D Bioprinting Facility."
"ARTS3890","Undergraduate","3D Modeling and Digital Fabrication",4,"TCLA - College of Liberal Arts","In this class, students will learn the basic skills of computer drafting and 3D modeling as it relates to digital fabrication and the generation of objects using the Department of Art's XYZ Lab. Instruction includes drafting in Adobe Illustrator and Rhino, modeling in Rhino and by means of digital imaging, transfer of files and object fabrication using laser cutters, a 3-axis CNC router, 3D printers, and vinyl cutter. This class is intended for art majors and non-art majors interested in building skills in prototyping, iteration and digital design and fabrication. While there is no prerequisite, basic drafting or Adobe Illustrator skills are highly encouraged."
"ARTS5890","Undergraduate","3D Modeling and Digital Fabrication",4,"TCLA - College of Liberal Arts","In this class, students will learn the basic skills of computer drafting and 3D modeling as it relates to digital fabrication and the generation of objects using the Department of Art's XYZ Lab. Instruction includes drafting in Adobe Illustrator and Rhino, modeling in Rhino and by means of digital imaging, transfer of files and object fabrication using laser cutters, a 3-axis CNC router, 3D printers and vinyl cutter. This class is intended for art majors and non-art majors interested in building skills in prototyping, iteration and digital design and fabrication. While there is no prerequisite, basic drafting or Adobe Illustrator skills are highly encouraged. 

prereq: ARTS major"
"CEGE5524","Undergraduate","A Circularity Revolution: Working to Close the Loop on Global Issues",3,"TIOT - College of Science and Engineering","A Circularity Revolution: Working to Close the Loop on Global Issues is designed to provide students the fundamental knowledge and perspectives to develop and critique sustainable solutions for water, energy, and materials use, re-use, and upcycling from technological, policy, and cultural viewpoints. The class will focus on how each student's personal and disciplinary identities intersect with society’s needs and on creating a common vocabulary, grounding students in natural elemental cycles, differing perspectives on circularity and resource use, and the importance of the co-creation of solutions. Key foci are introducing experimental analytical strategies, and basic tools and mechanisms to achieve and interrogate circularity, such as principles of green engineering, lifecycle assessment, economic and policy tools, and after-progress narratives. Case studies, social practice art interventions, and a group project will be used to demonstrate how science and technology, policy, and expansive community/stakeholder knowledge all are important aspects of developing and re-conceptualizing sustainable solutions to problems in water, material, and energy use. The course compliments a new National Science Foundation-sponsored Research Trainee Program with a circularity theme.

prereq: grad student or upper division CSE  undergraduate student"
"GCC5044","Undergraduate","A Circularity Revolution: Working to Close the Loop on Global Issues",3,"TUED - Undergraduate Education Administration","A Circularity Revolution: Working to Close the Loop on Global Issues is designed to provide students the fundamental knowledge and perspectives to develop and critique sustainable solutions for water, energy, and materials use, re-use, and upcycling from technological, policy, and cultural viewpoints. The class will focus on how each student's personal and disciplinary identities intersect with society’s needs and on creating a common vocabulary, grounding students in natural elemental cycles, differing perspectives on circularity and resource use, and the importance of the co-creation of solutions. Key foci are introducing experimental analytical strategies, and basic tools and mechanisms to achieve and interrogate circularity, such as principles of green engineering, lifecycle assessment, economic and policy tools, and after-progress narratives. Case studies, social practice art interventions, and a group project will be used to demonstrate how science and technology, policy, and expansive community/stakeholder knowledge all are important aspects of developing and re-conceptualizing sustainable solutions to problems in water, material, and energy use. The course compliments a new National Science Foundation-sponsored Research Trainee Program with a circularity theme."
"LNDN3266","Undergraduate","A City Made Strange: London on Screen in Horror and Science Fiction Cinema",3,"TOIP - Global Programs and Strategic Alliance","London has existed for more than two thousand years, and the ghosts of the recent and ancient past remain in its streets and its culture. This course aims to explore the deep funds of strangeness and otherness that permeate London’s places and spaces, through examining films and television series that show the city as a brimming reservoir of past and future shocks.

The course will examine science fiction, horror, and noir/neo-gothic cinema and television from all eras, with a particular emphasis on works that take London itself as a major part of their story. These might be disaster or alien invasion films that see the city as a site of destruction or devastation, horror films which render a familiar city frightening and strange, or noir explorations of London’s underbelly that expose sides of the city that are normally hidden.

The course will both present an alternative history of London on film and provide you with rich possibilities for the analytic study of film and television. Horror and science fiction are notorious as vessels for the expression of both social and political anxieties, and the selection of films would encourage analyses of both psychological content and broader contexts (areas might include, for instance, Cold War-era fears, body horror, racial or class concerns).

Readings will be both critical and complementary, and hope to locate uncanny London on film in relation not only to American cinematic tropes in genres such as horror, but also to the large fictional and occult literature which features London as a place of archaic energies and occult forces.

All students develop their basic skills in analyzing film texts and will also develop a good grasp of long-trends and recent themes in British horror and science fiction cinema. You will gain insight into the ways that film can reflect and respond to contemporary social and political conditions and events, and the way that film and television relate to literature. You will gain an understanding of horror and science fiction as key genres in British film, and gain awareness of some key points at which these genres in British cinema and television differ from their counterparts in US film."
"CVM6461","Veterinary Medicine","A Clinician's Analysis of Urinalysis",1,"TVET - College of Veterinary Medicine","Informal, case-based, interactive, in-depth approach to evaluation of urinalyses of clinical cases recently admitted to Veterinary Teaching Hospitals. Improving observational/interpretation skills. Recognizing invitro factors that may alter results of urinalyses.

prereq: 3rd yr DVM or instr consent"
"FREN3662","Undergraduate","A Cultural and Linguistic Exploration of the Francophone Communities in Louisiana",3,"TCLA - College of Liberal Arts","The history of the French language in Louisiana is unique and fascinating. Educational initiatives in recent years have helped create a new generation of speakers, building hope that Louisiana French and its culture will continue to evolve and be present in ""The Pelican State."" Through the study of sociolinguistic, literary, and historical documents, film and music of the region, we will explore the questions of language variation, features of Louisiana French, challenges speakers face, the impact of the arts and the role education plays in maintaining Louisiana French culture.
 
The best part of the course for many who have taken it before is the spring break trip to visit areas of Francophone Louisiana in person. Students who have traveled to Louisiana stated that they appreciated the opportunity to connect with real professionals actively working in the field of French language engagement, since these connections could benefit their own careers later on.
 
Prerequisite: FREN 3015. Fees for the trip will be charged to your student account upon enrollment."
"FREN3663","Undergraduate","A Cultural and Linguistic Exploration of the Francophone Communities in Louisiana",3,"TCLA - College of Liberal Arts","The history of the French language in Louisiana is unique and fascinating. Educational initiatives in recent years have helped create a new generation of speakers, building hope that Louisiana French and its culture will continue to evolve and be present in ""The Pelican State.""  Through the study of sociolinguistic, literary, and historical documents, film and music of the region, we will explore the questions of language variation, features of Louisiana French, challenges speakers face, the impact of the arts and the role education plays in maintaining Louisiana French culture.
 
Students who have taken this course before stated an appreciation of a  Francophone Louisiana focus as it challenged their perceptions about how a Francophone society can interact with, value, and use the French language in daily life and in terms of constructing/ maintaining identity and traditions.  They also enjoyed discovering how a language variety (i.e. Louisiana French) can build a community and affect more than just linguistic aspects of life.

Prerequisite: FREN 3015."
"AGRO1902","Undergraduate","A Field Guide for Spotting Bad Science in Daily Life",1,"TCOA - College of Food, Agricultural and Natural Resource Sciences","Today, the media is saturated with reporting on new scientific findings. However, the replication crisis in science and the rise of bogus scientific journals makes it difficult to know what to believe. This freshman seminar looks at the issues ranging from poorly executed but over-hyped scientific studies to bogus studies and the manipulation of public perceptions. Examples used will come from popular media and scientific literature. Through an examination of these studies, students will gain tools for identifying problematic claims."
"FSCN2001","Undergraduate","A Food Systems Approach to Cooking for Health and the Environment",3,"TCOA - College of Food, Agricultural and Natural Resource Sciences","This is a fun, hands-on cooking class. It is also an Experiential Learning (EL) course which meets the EL requirement for all CFANS students. This lecture /lab format course will give students the confidence to cook healthful whole foods as they learn about the food system. Subject matter will be taught from an interdisciplinary perspective. Concepts covered include fundamental concepts of nutrition, food sources, food safety, the food system; skills/resources for food choices based on nutritional, environmental, local and global societal implications. We will examine the ethical and civic themes that guide food choices. We will discuss and write about how environmental, cultural, social, and health issues impact personal food choices.  

prereq: [soph, jr, sr] or instructor consent"
"HIST1911","Undergraduate","A History of the Drug Wars",3,"TCLA - College of Liberal Arts","When and how did some drugs become a social problem? Why is cocaine illegal in the United States? Who is winning the war on drugs? These questions and others are at the heart of this seminar. We will examine the longer history of controlled substances throughout the Western Hemisphere, focusing in particular on the scope of the so-called war on drugs of the past 30 years. We will read books, articles, and websites dealing with illegal drugs, and we will watch documentary and full-length films dealing with drug use, drug markets, and the violence surrounding drugs. Our study of the past is intended to help us understand the present context and to allow us to imagine a different future regarding these complicated issues."
"ACL6001","Graduate","A Multiplicity of Ways: Epistemologies In the 21st Century",1,"TUCL - College of Continuing and Professional Studies","There are many different ways to experience and understand the world. Creative, culturally based forms of expression serve to expand on those ways. However, colonial practices, alive in academic, arts, and cultural environments globally, homogenize ways of knowing, understanding, and evaluating the world around us. These epistemologies are grounded in collecting data, building analysis, logic and theory that fits the data. Other ways of being, knowing, and seeing are equally meaningful, and are critical in efforts to understand the complex world we live in and create the possibility for transformational social change that is relevant to multiple human experiences and contexts. This course will guide students in developing a framework to better understand and act in meaningful and interdependent ways in the world. Students will explore concepts, worldviews and art and cultural practices from many points of view, challenging the concept of universality in favor of a multiplicity of ways of being, knowing, seeing, and doing. Students will be better prepared to address the pressing needs of arts and cultural organizations and social movements within a global and multicultural context.
"
"SOC4703","Undergraduate","A Nation Divided: Identity, Precarity, & Polarization",3,"TCLA - College of Liberal Arts","This course explores how individuals and groups experience and understand current economic and political polarization in their daily lives. Our explorations will roam across changes in media and popular culture, work, religion, family, and social movements.

prereq: 1001 recommended, soc majors/minors must register A-F"
"PHAR3101","Undergraduate","A Pill for Every Problem or Problem Pills",3,"TPHR - College of Pharmacy","Do pills deliver what they promise? Are neuroscientists as certain of the causes of mental illness and mental anguish as the medical community and pharmaceutical companies seem to be? What are the societal implications of this turn toward psychopharmaceutical solutions? Neurochemical theories of behavior and emotion."
"FM5031","Graduate","A Practitioner's Course in Finance I",4,"TIOT - College of Science and Engineering","Practical course taught by industry professionals. Focuses on hands-on real-world problem solving.

prereq: [5021 or concurrent registration is required (or allowed) in 5021], grad MFM major, program director approval"
"FM5032","Graduate","A Practitioner's Course in Finance II",4,"TIOT - College of Science and Engineering","Taught by industry professionals. Focuses on hands-on real-world problem solving.

prereq: 5031, [5022 or concurrent registration is required (or allowed) in 5022], grad MFM major, program director approval"
"WOST3205","Undergraduate","A Sense of Identity",3,"TCLA - College of Liberal Arts","Exploration of social and psychological factors that affect a woman's continuously developing sense of identity.  Emphasis is on assertion and communication skills development."
"SPAN3601","Undergraduate","A Social History of Marginals and Social Offenders",3,"TCLA - College of Liberal Arts","Social history of deviance using a series of first-person narratives by Hispanic authors who lived ""marginal"" lives and wrote about them. Taught in English."
