"course_title","code","subject","description"
"Introduction to Doctoring","ACED 800","ACED - Active Competency-Based Excellent-Driven","Introduction to Doctoring is a case-based, multidisciplinary course, taught by faculty members from foundational science and clinical departments. This course will provide students with the knowledge and skills to obtain a medical history in combination with a head-to-toe physical examination, basic life support and an introduction to the electronic medical record. In addition, students will be introduced to key topics in population health and social sciences. Students participate in large and small group activities, including lectures, case-based collaborative learning, problem-based learning, clinical skills lab and simulations. Students are assessed by multiple-choice examinations, small group and clinical skills performance, and professional development.  Prerequisite: Medical School admission requirements."
"Molecular and Cellular Medicine","ACED 805","ACED - Active Competency-Based Excellent-Driven","Molecular and Cellular Medicine is a case-based, multidisciplinary course, taught by faculty members from foundational science and clinical departments. The focus of the course is the molecular and cellular mechanisms underlying health and disease. This course integrates content from the foundational, social, and clinical sciences. It includes clinical skills instruction in medical history and physical examination. Students participate in large and small group activities, including lectures, case-based collaborative learning, problem-based learning, clinical skills lab and simulations. Students will work collaboratively to master general principles, evaluate clinical literature, and develop tools for life-long learning. Students are assessed by multiple-choice examinations, small group and clinical skills performance, and professional development.  Prerequisite: Successful completion of Introduction to Doctoring or permission of Associate Dean for Student Affairs."
"Infection, Blood and Immunity","ACED 810","ACED - Active Competency-Based Excellent-Driven","Infection, Blood and Immunity is a case-based, multidisciplinary course, taught by faculty members from foundational science and clinical departments. The course integrates critical principles related to microbial infection, as well as normal and abnormal activity of the immune system and blood, including content from the foundational, social, and clinical sciences. It includes clinical skills instruction in medical history and physical examination. Students participate in large and small group activities, including lectures, case-based collaborative learning, problem-based learning, clinical skills lab and simulations. Students will work collaboratively to master general principles, evaluate clinical literature, and develop tools for life-long learning. Students are assessed by multiple-choice examinations, small group and clinical skills performance, and professional development.  Prerequisite: Successful completion of Molecular and Cellular Medicine or permission of Associate Dean for Student Affairs."
"Respiration and Circulation","ACED 815","ACED - Active Competency-Based Excellent-Driven","Respiration and Circulation is a case-based, multidisciplinary course, taught by faculty members from foundational science and clinical departments. The course integrates critical principles related to the normal and abnormal functioning of the cardiovascular, pulmonary and allied systems, including content from the foundational, social, and clinical sciences. It includes clinical skills instruction in medical history and physical examination. Students participate in large and small group activities, including lectures, case-based collaborative learning, problem-based learning, clinical skills lab and simulations. Students will work collaboratively to master general principles, evaluate clinical literature, and develop tools for life-long learning. Students are assessed by multiple-choice examinations, small group and clinical skills performance, and professional development.  Prerequisite: Successful completion of Infection, Blood and Immunity or permission of Associate Dean for Student Affairs."
"Gastrointestinal and Renal","ACED 820","ACED - Active Competency-Based Excellent-Driven","Gastrointestinal and Renal is a case-based, multidisciplinary course, taught by faculty members from foundational science and clinical departments. The course integrates critical principles related to the normal and abnormal functioning of the gastrointestinal, renal and allied systems, including content from the foundational, social, and clinical sciences. It includes clinical skills instruction in medical history and physical examination. Students participate in large and small group activities, including lectures, case-based collaborative learning, problem-based learning, clinical skills lab and simulations. Students will work collaboratively to master general principles, evaluate clinical literature, and develop tools for life-long learning. Students are assessed by multiple-choice examinations, small group and clinical skills performance, and professional development.  Prerequisite: Successful completion of Respiration and Circulation or permission of Associate Dean for Student Affairs."
"Muscles and Movement","ACED 825","ACED - Active Competency-Based Excellent-Driven","Muscles and Movement is a case-based, multidisciplinary course, taught by faculty members from foundational science and clinical departments. The course integrates critical principles related to the normal and abnormal functioning of the musculoskeletal, soft tissue and allied systems, including content from the foundational, social, and clinical sciences. It includes clinical skills instruction in medical history and physical examination. Students participate in large and small group activities, including lectures, case-based collaborative learning, problem-based learning, clinical skills lab and simulations. Students will work collaboratively to master general principles, evaluate clinical literature, and develop tools for life-long learning. Students are assessed by multiple-choice examinations, small group and clinical skills performance, and professional development.  Prerequisite: Successful completion of Gastrointestinal and Renal and the end-of-year clinical skills assessment following the Gastrointestinal and Renal block or permission of Associate Dean for Student Affairs."
"Brain, Mind and Behavior","ACED 830","ACED - Active Competency-Based Excellent-Driven","Brain, Mind and Behavior is a case-based, multidisciplinary course, taught by faculty members from foundational science and clinical departments. The course integrates critical principles related to the normal and abnormal functioning of the central and peripheral nervous systems and mental health including content from the foundational, social, and clinical sciences. It includes clinical skills instruction in medical history and physical examination. Students participate in large and small group activities, including lectures, case-based collaborative learning, problem-based learning, clinical skills lab and simulations. Students will work collaboratively to master general principles, evaluate clinical literature, and develop tools for life-long learning. Students are assessed by multiple-choice examinations, small group and clinical skills performance, and professional development.  Prerequisite: Successful completion of Muscles and Movement or permission of Associate Dean for Student Affairs."
"Reproduction, Development and Sexuality","ACED 835","ACED - Active Competency-Based Excellent-Driven","Reproduction, Development and Sexuality is a case-based, multidisciplinary course, taught by faculty members from foundational science and clinical departments. The course integrates critical principles related to the normal and abnormal functioning of human reproductive systems, human development and human sexuality including content from the foundational, social, and clinical sciences. It includes clinical skills instruction in medical history and physical examination. Students participate in large and small group activities, including lectures, case-based collaborative learning, problem-based learning, clinical skills lab and simulations. Students will work collaboratively to master general principles, evaluate clinical literature, and develop tools for life-long learning. Students are assessed by multiple-choice examinations, small group and clinical skills performance, and professional development.  Prerequisite: Successful completion of Brain, Mind and Behavior or permission of Associate Dean for Student Affairs."
"Medicine Capstone","ACED 840","ACED - Active Competency-Based Excellent-Driven","Medicine Capstone isan 8-week, case-based, multidisciplinary course which aims to consolidate concepts and learning objectives presented throughout the basic science curriculum. Large group sessions are taught by faculty members from foundational science and clinical departments. The course will serve as the capstone for the preceding courses while preparing students for the transition to clinical duties.  Clinical skills lab activities will integrate content across systems and disciplines and provide an opportunity to refine clinical skills prior to the clerkship year. Large group session material will include examples of case presentations by clinical faculty.  Problem-based learning sessions will continue through this course as in all of the ACE courses.  Prerequisite: Successful completion of Reproduction, Development and Sexuality or permission of Associate Dean for Student Affairs."
"Transition to Clerkships","ACED 845","ACED - Active Competency-Based Excellent-Driven","Transition to Clerkships (TTC) is a four-week, case-based course facilitated by clinical and foundational science faculty to prepare medical students for third-year clerkships. There will be learning opportunities for clinical skills advancement during the block. This will include standardized patient experiences and campus specific self-guided manual skill-stations or a simulation activity. Learners will continue to work collaboratively to consolidate prior knowledge by participating in problem-based learning and small group FLIPs during required classroom activities.  Prerequisite:ACED 835."
"Special Topics In Anatomy","ANTM 380","ANTM - Anatomy and Cell Biology","Advanced instruction is offered in the form of tutorials for a limited number of undergraduate students with prior experience in anatomical sciences.  The emphasis of the course will be advanced study of a specific area of gross anatomy, neuroanatomy, or histology.  In gross anatomy and neuroanatomy, students will do a complete, detailed dissection of a specific area of the body and present it to the faculty with a term paper on a clinically significant aspect of the dissection.  In histology, students will prepare specific organs for special histological and immunocytochemical techniques with an oral presentation and term paper.  Prerequisite:  Permission of instructor."
"University Life in the U.S. 1","AECO 21","AECO - Applied English Center","This is the first course in a two-course series whose purpose is to introduce and acclimate students to U.S. university life and culture.  In this first course, students will learn about the U.S. university system, be introduced to campus culture in the U.S., discover what resources and support are available for students at U.S. universities, and explore different aspects of student life.  While language development is not the primary objective of this course, students will be able to self-assess their language skills through their ability to complete course activities.  Additionally, students will take a language assessment at the end of the course that will give them an idea of their English proficiency and where they would potentially begin their study should they choose to attend the University of Kansas."
"University Life in the U.S. 2","AECO 22","AECO - Applied English Center","This is the second course in a two-course series whose purpose is to introduce and acclimate students to U.S. university life and culture.  In this second course, students will become familiar with U.S. academic culture and expectations, discover and utilize learning strategies that will be particularly helpful in U.S. classrooms, understand what technology skills are needed to succeed and learn about how to apply to U.S. universities.  While language development is not the primary objective of this course, students will be able to self-assess their language skills through their ability to complete course activities.  Additionally, students will take a language assessment at the end of the course that will give them an idea of their English proficiency and where they would potentially begin their study should they choose to attend the University of Kansas."
"Intensive English Online 1","AECO 51","AECO - Applied English Center","This integrated skills course focuses on the language and academic skills students will need to be successful in a university program of study.  Instruction will be given in reading, writing, listening and speaking.  Grammar and pronunciation will also be taught in order to increase students' accuracy and fluency.  Students will be exposed to content and vocabulary they will likely encounter in their course of study.  This course targets students at the Low B1 to Mid B1 CEFR range, and is the first level of an eight-level, fully online program."
"Intensive English Online 2","AECO 52","AECO - Applied English Center","This integrated skills course focuses on the language and academic skills students will need to be successful in a university program of study.  Instruction will be given in reading, writing, listening and speaking.  Grammar and pronunciation will also be taught in order to increase students' accuracy and fluency.  Students will be exposed to content and vocabulary they will likely encounter in their course of study.  This course targets students at the Mid B1 to High B1 CEFR range, and is the second level of an eight-level, fully online program."
"Intensive English Online 3","AECO 53","AECO - Applied English Center","This integrated skills course focuses on the language and academic skills students will need to be successful in a university program of study.  Instruction will be given in reading, writing, listening and speaking.  Grammar and pronunciation will also be taught in order to increase students' accuracy and fluency.  Students will be exposed to content and vocabulary they will likely encounter in their course of study.  This course targets students at the Low B1+ to Mid B1+ CEFR range, and is the third level of an eight-level, fully online program."
"Intensive English Online 4","AECO 54","AECO - Applied English Center","This integrated skills course focuses on the language and academic skills students will need to be successful in a university program of study.  Instruction will be given in reading, writing, listening and speaking.  Grammar and pronunciation will also be taught in order to increase students' accuracy and fluency.  Students will be exposed to content and vocabulary they will likely encounter in their course of study.  This course targets students at the Mid B1+ to High B1+ CEFR range, and is the fourth level of an eight-level, fully online program."
"Intensive English Online 5","AECO 55","AECO - Applied English Center","This integrated skills course focuses on the language and academic skills students will need to be successful in a university program of study.  Instruction will be given in reading, writing, listening and speaking.  Grammar and pronunciation will also be taught in order to increase students' accuracy and fluency.  Students will be exposed to content and vocabulary they will likely encounter in their course of study.  This course targets students at the Low B2-Mid B2 CEFR range, and is the fifth level of an eight-level, fully online program."
"Intensive English Online 6","AECO 56","AECO - Applied English Center","This integrated skills course focuses on the language and academic skills students will need to be successful in a university program of study.  Instruction will be given in reading, writing, listening and speaking.  Grammar and pronunciation will also be taught in order to increase students' accuracy and fluency.  Students will be exposed to content and vocabulary they will likely encounter in their course of study.  This course targets students at the Mid B2 to High B2 CEFR range, and is the sixth level of an eight-level, fully online program."
"Intensive English Online 7","AECO 57","AECO - Applied English Center","This integrated skills course focuses on the language and academic skills students will need to be successful in a university program of study.  Instruction will be given in reading, writing, listening and speaking.  Grammar and pronunciation will also be taught in order to increase students' accuracy and fluency.  Students will be exposed to content and vocabulary they will likely encounter in their course of study.  This course targets students at the High B2 to Mid B2+ CEFR range, and is the seventh level of an eight-level, fully online program."
"Intensive English Online 8","AECO 58","AECO - Applied English Center","This integrated skills course focuses on the language and academic skills students will need to be successful in a university program of study.  Instruction will be given in reading, writing, listening and speaking.  Grammar and pronunciation will also be taught in order to increase students' accuracy and fluency.  Students will be exposed to content and vocabulary they will likely encounter in their course of study.  This course targets students at the Mid B2+ to High B2+ CEFR range, and is the last level of an eight-level, fully online program."
"Staying Current: Professional Development for EFL Teachers","AECO 81","AECO - Applied English Center","This practical and project-oriented course is for current EFL teachers who want to enhance their professional knowledge and skills. The course has two foundational modules: Enhancing Planning and Engaging the EFL learner. Enhancing Planning builds on foundations of lesson planning through analyzing strong lesson planning features, addressing areas of weakness in plan development, applying new strategies in lesson sequence, and aligning courses with intended outcomes. Engaging the EFL learner is a multifaceted approach to creating a dynamic classroom through cultivating classroom management, using technology and authentic materials, and adapting materials and lessons. Course participants will also participate in two specialized modules: pedagogical grammar and pronunciation. Pedagogical grammar and pronunciation will focus on considerations and best practices in various teaching contexts. Participants will apply what they have learned by developing activities and strategies ready to be used in a classroom setting."
"Ambulatory Clinic in Dermatology","AMBC 976","AMBC - Ambulatory Clinic","This rotation is designed to give the student experience with diseases of the skin and common dermatologic problems.  Student will work with one or more dermatologists in all phases of the practice.  Student will experience a wide variety of problems including those relating to systemic diseases and will learn the principles of dermatologic therapy.  This course will be evaluated as Credit/Non-Credit.  Prerequisite:  Senior standing."
"Ambulatory Clinic Selective in ENT","AMBC 977","AMBC - Ambulatory Clinic","Student will observe the activities of a practicing otorhinolaryngologist and participate in the management of patients with ENT disorders.  The student will observe and perform the examination of the anatomical areas and cavities of the head and neck.  Student will accompany the assigned physician on all hospital rounds, during office hours and when possible, observe surgical procedures.  This course will be evaluated as Credit/Non-credit.  Prerequisite:  Senior standing."
"Ambulatory Clinic in Ophthalmology","AMBC 978","AMBC - Ambulatory Clinic","This rotation is designed to familiarize the student with the private office and surgical procedures of a practicing ophthalmologist.  Student will learn proper use of an ophthalmoscope and how to perform the ocular exam.  Student will observe surgical procedures, and participate in hospital rounds and private office visits.  The student will be directly involved in all patient care as provided by the assigned ophthalmologist.  The course will be evaluated as Credit/Non-credit.  Prerequisite:  Senior standing."
"Ambulatory Clinic in Urology","AMBC 979","AMBC - Ambulatory Clinic","The student will experience urologic patient care during clinics in the office setting.  Student will be assigned to the urologic service and perform history and physical and urologic diagnostic examinations.  Student will attend surgical conferences.  Student will see both pre- and post-operative patients and assist with minor out-patient surgeries.  This course will be evaluated as Credit/Non-credit.  Prerequisite:  Senior standing."
"Ambulatory Clinic in Rehabilitation and Physical Medicine","AMBC 980","AMBC - Ambulatory Clinic","The student will function as part of the rehabilitation team including nurses, therapists and physicians and develop a working knowledge of the physiatric evaluation, including manual muscle testing, examination of joints, evaluation of neurologic and function levels.  Student will become familiar with neuromuscular diseases, CVA, joint problems, amputee management, head and spinal cord injuries.  Student will be involved in initial work-ups and management of patient progress.  Student will also participate in rounds and consultations.  This course will be evaluated as Credit/Non-credit.  Prerequisite:  Senior standing."
"Ambulatory Clinic in Sports Medicine","AMBC 981","AMBC - Ambulatory Clinic","The student will experience Sports Medicine Care in the ambulatory setting.  The student will evaluate sports related injuries in the office setting and also have the opportunity to observe surgical treatment in the arthroscopic surgery suite.  The student will have the opportunity to participate in the on site evaluation of athletic injuries through outreach sports medicine programming.  Additional exposure to athletic training services will also be utilized.  This course will be evaluated as Credit/Non-credit.  Prerequisite:  Senior standing."
"Ambulatory Clinic in General Surgery","AMBC 982","AMBC - Ambulatory Clinic","The student will experience general surgical patient care during clinics in the office setting.  Student will perform patient work-ups including history and physical, learn to recognize acute surgical conditions and develop skills in surgical diagnosis.  Student will also participate in post-operative patient care in the ambulatory setting.  This course will be evaluated as Credit/Non-credit.  Prerequisite:  Senior standing."
"Ambulatory Clinic in Plastic Surgery","AMBC 983","AMBC - Ambulatory Clinic","The student will experience plastic surgical care during clinics in the ambulatory setting.  Student will be assigned to the plastic surgery service and perform patient work-ups including history and physical, and plastic surgery evaluations.  The student will experience both pre-and postoperative patient in the private office setting and learn management techniques of postoperative plastic surgery problems.  The student will be introduced to hand surgery, skin tumors, congenital anomalies, and aesthetic surgery.  The student will attend various surgical conferences and clinics.  Teaching Methodology:  Patient contact, both elective and emergent, rounds with attending surgeon.  Evaluation will be based on patient workups, technical skills, rapport with patient, and surgical team.  This course will be evaluated as Credit/Non-credit.  Prerequisite:  Senior standing."
