"department","code","title","description","credits"
"Accounting (ACCTG)","ACCTG 299","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Accounting (ACCTG)","ACCTG 305","Financial Statements and Management Decisions","Impact of management's financing, investing, and operating decisions on GAAP- based financial statements. This course is a one-semester condensed version of the traditional two-semester intermediate accounting sequence (ACCTG 371or471; and 472) intended for the non-accounting major. Students who have passedACCTG 371or471; and 472 may not take this course for credit. It is a required course for the Finance major. Students will gain a fundamental understanding of the information conveyed in the financial statements and, as a result, develop an appreciation for its usefulness and limitations in decision making. They will also develop the prerequisite knowledge base necessary to conduct financial statement analysis as required in Level I of the Chartered Financial Analyst (CFA) exam. A financial statement user decision-making perspective, rather than the accountant/preparer approach found in the traditional intermediate accounting sequence, is emphasized. Student success in meeting the learning objectives will be assessed through a combination of exams, quizzes, assigned homework problems, and participation. The comprehensive final exam will test the student's comprehension of the relevant material.","4 Credits"
"Accounting (ACCTG)","ACCTG 310","Federal Taxation I","Study of income determination concepts for individuals and corporations, impact of taxation on decisions, elementary research techniques, and ethical standards.ACCTG 310Principles of Taxation (3) This course is directed to the study of concepts relative to: (a) the determination of taxable income and tax liability, (b) the influence of tax considerations on the decisions of taxpayers, and (c) elementary tax research techniques. Primary emphasis is given to concepts that are fundamental to the federal taxation of income with respect to business entities. Also, basic aspects of the taxation of individuals are introduced.The objectives of this course are to enable students to do the following: 1) apply basic tax rules and regulations to compute the taxable income and federal income tax liability for corporate and individual taxpayers, 2) incorporate tax costs and tax benefits into calculations of the net present value of cash inflows and outflows from taxable activities, 3) recognize tax planning opportunities or problems inherent in common transactions, and 4) appreciate the impact of the basis of accounting on both tax and financial reporting.Typical topics include sources of authority, structure of an income tax, property transactions, choice of entity, distribution of income, selection of jurisdiction, means of financing, and taxation of individuals. Students should be familiar with basic accounting concepts, should understand the nature of financial instruments, and should be able to apply the concept of present value and future value in estimating cash inflows and outflows.This is a required course for accounting majors and, for many of them, the only tax course that they take. Other students who meet the prerequisite requirements may take this course as an elective. Also, this principles course in taxation is a prerequisite requirement for an advanced course in taxation.Evaluation is based primarily on periodic examinations. No special facilities are required. However, students have on-line access to tax laws and regulations, tax cases, and administrative guidance. This course is generally offered every semester with enrollments of twenty to thirty students per section.","3 Credits"
"Accounting (ACCTG)","ACCTG 312","Accounting Technology Lab","Hands-on course to teach accounting software, applications of spreadsheets and databases in accounting, and surveying of underlying database theory.ACCTG 312Accounting Technology Lab (3) This is a hands-on course to teach accounting software, applications of spreadsheets and databases in accounting, and surveying of underlying database theory .","3 Credits"
"Accounting (ACCTG)","ACCTG 340","Cost Accounting","Accounting for manufacturing concerns; actual and standard cost systems, and managerial uses of cost data.","3 Credits"
"Accounting (ACCTG)","ACCTG 371","Intermediate Accounting I","Financial accounting methods, theory and concepts; analysis of problems in applying concepts to financial statements and asset accounts.","4 Credits"
"Accounting (ACCTG)","ACCTG 397","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Accounting (ACCTG)","ACCTG 399","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Accounting (ACCTG)","ACCTG 403","Auditing","Financial compliance, internal, and operational audits; standards and procedures; sampling; EDP auditing; professional issues; application of concepts through written responses.ACCTG 403Auditing (3)Financial statement, regulatory and contract compliance, internal and operational audits, professional standards and ethical conduct; statistical and judgmental sampling; the audit-impact of information technology; audit risk and internal control structure evaluation; application of procedures in transaction cycles; audit reporting; professional issues.","3 Credits"
"Accounting (ACCTG)","ACCTG 403W","Auditing","Financial, compliance, internal, and operational audits; standards and procedures; sampling; EDP auditing; professional issues; application of concepts through written responses.ACCTG 403WAuditing (3) Financial statement, regulatory and contract compliance, internal and operational audits, professional standards and ethical conduct; statistical and judgmental sampling; the audit-impact of information technology; audit risk and internal control structure evaluation; application of procedures in transaction cycles; audit reporting; professional issues.","3 Credits"
"Accounting (ACCTG)","ACCTG 404","Managerial Accounting: Economic Perspective","Accounting techniques as planning, control, and motivating devices in business and other organizations; accounting data for decision making and performance evaluation.ACCTG 404Managerial Accounting (3) This course emphasizes the use of accounting information for internal purposes as opposed to the external disclosure focus of the financial accounting course. The cost covers the vocabulary and mechanics of cost accounting and the design of management accounting systems for planning and controlling operations, and for motivating personnel. The course integrates accounting with ideas from data analysis, decision analysis, finance, microeconomics, and operations management. The themes stressed throughout the course will be the notion that information is costly; the circumstances that necessitate cost allocation, the idea that different costs and different allocation schemes apply for different purposes; and fundamentals of incentive and compensation plans. Among the topics covered are cost behavior, cost-volume analysis, relevant costs, and the use of cost information for decision making. The course will rely on lectures and discussion of case studies.","3 Credits"
"Accounting (ACCTG)","ACCTG 405","Principles of Taxation I","Elements of tax policy and tax-planning concepts for personal and business decision making; with emphasis on taxation of individuals.ACCTG 405Principles of Taxation (3) Introduction to Taxation, is the first course that undergraduate accounting majors take that is devoted entirely to taxation. Although the course is intended for accounting majors, the content is relevant to finance majors seeking elective courses. The objective of the course is to provide students with a basic understanding of the concepts, terminology, and decision-making skills specific to the discipline of taxation that are germane to the professional development of those preparing for a career in accounting. Although the course surveys the many forms of taxation that are found in industrialized societies, and the comparisons thereof, the main focus is on the federal income taxation of individuals. However, coverage is provided regarding the manner in which the taxation of individuals relates to corporate and partnership entities.ACCTG 405is related to other accounting courses through its coverage of income concepts, and micro-economic principles. The former compares differences in the measurement of financial accounting income with the manner in which income is determined according to the tax laws. The latter emphasizes business decision-making principles that are important in the managerial portion of the accounting program. The course covers topics that illustrate fundamental tax strategies and how such enable taxpayers to achieve business and personal economic objectives. The assessment process inACCTG 405incorporates examinations, homework assignments, and individual and group projects. The exams are combinations of objective questions and open-ended problems. Exams are often given in the evening. Course learning aids include a text book, on-line tax research services, spreadsheet software, and a packet of handouts prepared by instructors to keep the classes updated on the many changes in the tax laws that occur each year.","3 Credits"
"Accounting (ACCTG)","ACCTG 406","Principles of Taxation II","Impact of federal tax structure on business decisions, research methodology, tax planning; ethical considerations of tax practice.","3 Credits"
"Accounting (ACCTG)","ACCTG 410","Federal Taxation II","An examination of the rules and forms used to compute the federal tax liability of corporations and partners.","3 Credits"
"Accounting (ACCTG)","ACCTG 411","Accounting Practicum:  VITA","Introduces students to practical aspects of tax preparation through the IRS' VITA program and completion of a tax research project.","3 Credits"
"Accounting (ACCTG)","ACCTG 417","Corporate and Managerial Communication","Developing student's expertise in interpreting and communicating accounting and financial information to business professionals.ACCTG 417Corporate and Managerial Communication (2-3) This course provides an opportunity for business students to develop oral, graphic, and written communication skills essential to success in a corporate environment, with emphasis on corporate accounting, finance, and/or consulting contexts. The course provides a framework for understanding the characteristics of effective business communication. It further provides guidelines for the successful development and delivery of professional messages. This course employs individual and team activities designed to strengthen skills in the development and delivery of corporate messages. Participants will gain experience analyzing and discussing financial and accounting data, evaluate and prepare professional responses to corporate problems/opportunities, and develop strategies for conversing with multiple business audiences. Specific selection of topics will evolve to reflect current issues in business, finance, and accounting.","2-3 Credits"
"Accounting (ACCTG)","ACCTG 422","Accounting Systems","Understanding flow and documentation of accounting information and internal controls in the context of accounting cycles.ACCTG 422Accounting Systems (3) This course primarily investigates accounting transactions cycles-processes and procedures by which an organization's financial information is recorded, processed, reported, and disposed of. The processes covered in this course range from manual to fully automated and Web-enabled systems. The documentation and analysis of the accounting cycles for the revenue, expenditure, conversion, and managerial reporting areas are explored via flowcharts and narrative descriptions. The concepts of files, transaction updates, editing, and reporting in the automated accounting systems are explored. The course also covers internal controls in the manual and automated systems. Additional topics may include fraud examination, applicable laws and regulations, and computerized auditing.","3 Credits"
"Accounting (ACCTG)","ACCTG 423","Accounting Data Analytics","This course focuses on helping students develop data analytic skills using accounting data. Data has proliferated in business and managers and accountants need to understand the implications for decision-making and tap into the data to provide better insights into a firm/client/customer/supplier. This course is intended to provide students with an understanding of data analytic thinking and terminology as well as hands-on experience with data analytics tools and techniques. It is designed to help accounting students develop an analytical mindset and link data analytics to four major subdomains of accounting (i.e., financial, managerial, audit, and tax). It will cover how to use programming software to automate data analytic tasks. Students will learn how to analyze large amounts of data to find actionable insights. The first half of the course introduces the accounting data analytics framework. Under this framework, students will learn the importance of assembling accounting data, the desirable characteristics of data for effective calculations and visualization, and analysis and interpretation of fundamental data analytic tools, such as regressions. The second half of the course focuses on how to apply data analytic skills to the four major subdomains of accounting: financial, managerial, audit, and tax. Respective hands-on examples will be used for demonstration. Students should leave this course with the skills necessary to translate accounting and business problems into actionable proposals that they can competently present to managers and data scientists.","3 Credits"
"Accounting (ACCTG)","ACCTG 426","Financial Statement Analysis","The exploration of conventional and advanced methods of analyzing financial statements, including the assessment of earnings quality.ACCTG 426Financial Statement Analysis (3) The objective of this course is to explore conventional and advanced analytical methods of analyzing financial statements. Expanding on the material covered in the principles of accounting and principles of finance courses and using actual financial statements, students: review and apply the traditional methods for analyzing financial statements, such as ratio analysis, trend analysis, and common-size analysis, apply advanced tools for analyzing financial statements, such as financial distress prediction models and earning manipulation prediction models, and evaluate accounting policies and disclosures and their impact on the financial statements through the assessment of earnings quality.","3 Credits"
"Accounting (ACCTG)","ACCTG 431","Advanced Auditing","Examination of legal liability, EDP, statistical sampling, SEC reporting, internal control, and financial reporting in specialized industries.","3 Credits"
"Accounting (ACCTG)","ACCTG 432","Accounting Information Systems","Accounting data are utilized as information in making decisions and as a control mechanism. The focus of this course, however, will be upon the actual production of accounting data. The purpose of the course is to learn how accountants collect relevant data and transform them into reports appropriate for managers and external readers. Procedural details will focus first on the traditional accounting cycle and the journal entries for business transactions and events. Then we shall examine in detail the principle accounting cycles: sales cycle, cash receipts cycle, purchases cycle, cash disbursements cycle, payroll cycle, facilities cycle, general ledger cycle, production cycle. For each cycle, you should be able to explain the relation of the accounting process to the business enterprise, the basic journal entries, the basic internal control features, and the document flow.","3 Credits"
"Accounting (ACCTG)","ACCTG 440","Advanced Management Accounting","Management accounting topics such as decision models, quantitative techniques, variance analysis, and their use in accounting.ACCTG 440Advanced Management Accounting (3) An in-depth examination of accounting techniques used within modern organizations. The course is designed for students interested in pursuing careers in corporate accounting or financial management. The portfolio of managerial accounting procedures, including cost measurement and allocation, budgeting practices, transfer pricing, and variance analyses appropriate to an organization's unique circumstances are derived. The student will learn to apply psychological and sociological theories of behavior to practical problems of control and to apply quantitative methods and models to managerial decision-making. Other topics covered by the course may include, financial management of working capital, long-term assets and liabilities; techniques for managing inventory; and strategic cost management including inter-organizational cost management.","3 Credits"
"Accounting (ACCTG)","ACCTG 450","Advanced Accounting","Accounting theory and practice for business combinations, branches, international operations, partnerships, consolidated financial statements, corporate liquidations, nonprofit organizations, estates, and trusts.","3 Credits"
"Accounting (ACCTG)","ACCTG 461","International Accounting","Study of international accounting issues with emphasis on need, use, and interpretation of financial accounting required in global business environment.","3 Credits"
"Accounting (ACCTG)","ACCTG 462","Governmental and Not-for-Profit Accounting","Provides an understanding of governmental and not-for-profit accounting theory, procedures, and financial statements.","3 Credits"
"Accounting (ACCTG)","ACCTG 471","Intermediate Financial Accounting I","Theory and practice issues in income concepts and value measurement; GAAP; revenues, costs, assets, liabilities, and equities.ACCTG 471Intermediate Accounting I (3) This course provides students with an understanding of generally accepted accounting principles and procedures so that they properly account for and present information in financial statements prepared for external users. The student should acquire a complete understanding of the accounting issues relating to cash, receivables, inventory, plant assets, natural resources, and intangibles. The student should be able to evaluate alternative accounting methods and choose the methods which will best convey the financial information related to the above areas. The student should be able to apply appropriate generally accepted accounting principles and procedures to account for transactions related to the above asset areas. The student should be able to demonstrate an understanding of the transaction analysis, recording, classification, summarization, and reporting procedures in the accounting cycle, and an understanding of the information contained in the financial statements. Finally, student should be able to demonstrate written communication skills required of accountants.","3 Credits"
"Accounting (ACCTG)","ACCTG 472","Intermediate Financial Accounting II","Off-balance-sheet financing; special issues in cost capitalization, liabilities, and equities; matching; funds flow statements; statement analysis; inflation accounting.","3 Credits"
"Accounting (ACCTG)","ACCTG 473","Advanced Financial Accounting","Reporting for multi-corporate enterprises, business combinations, quasi- reorganizations, and selected contemporary reporting problems.ACCTG 473Advanced Financial Accounting (3) This course explores four major topics: accounting for business combinations, introduction to derivatives and special purpose entities, accounting for foreign currency transactions and consolidating foreign subsidiaries, and ethics and policy issues for the profession.","3 Credits"
"Accounting (ACCTG)","ACCTG 481","Financial Statement Analysis: Accounting Based Evaluation and Decision     Making","An accounting based evaluation and decision making approach to analyzing financial statements by studying business and firm valuation.ACCTG 481Financial Statement Analysis (3) The proposed course in financial statement analysis is structured to improve the student's ability to extract and interpret information from actual financial statements and to expose the student to how financial statement information is integrated into equity valuation and credit analysis. The course would not only rely upon textbook-based and lecture-based learning, but also emphasize case-based learning.The course will consist of two main sections. The first will deal with accounting and business analysis. This part will explore the types of financial information data typically available for publicly traded companies and introduce a model of the economic drivers of company performance. It would incorporate some technical accounting as well as some standards business economics/strategy concepts. Students will be forced to recast financial statements that they believe do not reflect the underlying economic state of the company. Financial reporting issues relating to revenue and expense recognition, leases and consolidations will be discussed.The other section of the course will deal with firm valuation. Students would be exposed to some standard approaches to equity valuation and the analysis activities underlying these approaches. Aspects of valuation that would be covered in this section of the course are financial ratio analysis, forecasting, pro-forma statements, cost of capital and valuation methods.The course will rely on lectures and extensive use of case studies.","3 Credits"
"Accounting (ACCTG)","ACCTG 483","Forensic Accounting","Study of investigative accounting, consulting and litigation support activities undertaken in forensic accounting engagements.ACCTG 483Forensic Accounting (3)ACCTG 483is the exploration of the broad discipline known as ""forensic accounting"" which includes a variety of investigative accounting, valuation, damage assessment and litigation support services. Forensic accounting is an evolving discipline which is distinguished from assurance services in that it does not involve reporting on the fairness of financial statements. It generally involves the investigation and analysis of financial data for some specific purpose - obtaining an in-depth understanding of information that enables the forensic accountant to prove, disprove or at least confidently speculate about allegations related to the information and to report those findings objectively. Forensic accountants are involved in presenting analyses that might be valuable for such things as settling legal disputes, calculating economic damages, valuing intellectual property, determining the extent of damage or loss due to fraud, or tracing elusive assets or revenue sources. A forensic accountant might also participate in pro-active engagements such as the development of systems and procedures to prevent fraud. The first part of the course deals with the technical and ethical framework of forensic accounting and focuses on the understanding of forensic and investigative accounting including investigation methodology, the nature of fraud, fraud risk factors, financial statement fraud, litigation support and dispute resolution services and development of the skills needed in those professional activities. These skills include the ability to integrate knowledge of accounting, finance, economics, business law and other business disciplines in gathering, analyzing and evaluating evidence and drawing conclusions. The second part of the course focuses on forensic accounting investigation and analysis of financial information in connection with litigation, dispute resolution, estimation of economic damages, or other specific objectives, and the preparation of comprehensive, objective reports of findings and conclusions.","3 Credits"
"Accounting (ACCTG)","ACCTG 494","Research Project","Supervised student activities on research projects identified on an individual or small-group basis.","1-12 Credits/Maximum of 12"
"Accounting (ACCTG)","ACCTG 494H","Research Project","Supervised student activities on research projects identified on an individual or small-group basis.ACCTG 494HResearch Project (1-6)ACCTG 494H, Senior Honors Thesis in Accounting - Investigation of an original problem area associated with accounting, including literature review. A thesis topic must be approved and a thesis supervisor must be identified before the course may be scheduled. Students sign up for three credits in each of their last two semesters for a total of six credits.","1-6 Credits/Maximum of 6"
"Accounting (ACCTG)","ACCTG 495","Internship","Supervised off-campus, nongroup instruction including field experiences, practica, or internships.  Written and oral critique of activity required.","1-18 Credits/Maximum of 18"
"Accounting (ACCTG)","ACCTG 496","Independent Studies","Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"Accounting (ACCTG)","ACCTG 497","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Accounting (ACCTG)","ACCTG 498","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.      .","1-9 Credits/Maximum of 9"
"Accounting (ACCTG)","ACCTG 499","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Acoustics (ACS)","ACS 496","Independent Studies","Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"Acoustics (ACS)","ACS 497","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Acoustics (ACS)","ACS 498","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Adult Education (ADTED)","ADTED 100","Adult Learners in the University","ADTED 100is an opportunity for adult learners to develop effective learning and writing strategies. This course is designed for the adult learner who is entering the university for the first time, or who is returning after an absence from studies. In this course we will help you: develop or renew effective academic writing, study skills, learning strategies, and time management tools that will help you succeed at Penn State and in your career. In the course, we will identify useful university resources and you will learn effective writing skills and hone critical reading abilities to meet the requirements of academic coursework. We will also practice public speaking skills so you will feel more confident and articulate in your classes and your career after graduation.","3 Credits"
"Adult Education (ADTED)","ADTED 297","Special Topics","Formal courses given on a topical or special interest subject which may be offered infrequently.","1-9 Credits/Maximum of 9"
"Adult Education (ADTED)","ADTED 300","Social Movements and Education: Global Perspectives","Social Movements are some of the most important contemporary actors influencing both societies and individuals. Social movements are also educational, transforming participants¿ worldviews and developing innovative pedagogical practices for both non-formal contexts and formal schooling systems. This course examines the role education plays in social movement struggles in the United States and globally. In the first part of the course, we analyze the informal, non-formal, and formal educational initiatives that were part of the U.S. Civil Rights Movement. Then, in the second part of the course, we read the Brazilian educator Paulo Freire's Pedagogy of the Oppressed and examine how popular education - a pedagogy created by and for social movements - has been integrated into a diversity of grassroots struggles in Latin America. In the third part of the course, we go beyond the Americas and explore social movement-led educational practices in Africa, Asia, and the Middle East. Finally, in the fourth student-led part of the course we return to the United States and learn about education in a diversity of contemporary U.S. social movements. During these final weeks, students will lead a class discussion based on their secondary and primary research on one social movement. This course will introduce students to a diversity of social movements in unique geographical and social contexts and show how these movements have incorporated education into their broader fights for economic, racial, gender, environmental, and social justice.","3 Credits"
"Adult Education (ADTED)","ADTED 456","Introduction to Family Literacy","Introduces family literacy concepts, models, and components supporting families; adult, child, and parent education, interactive literacy activities, and case management.ADTED 456Introduction to Family Literacy (3) This 3-credit course examines the concept of family literacy and different models and services that support families. Students will review the main parts of family literacy services and programs that support vulnerable families: adult education, early childhood education, parent education, interactive literacy activities, case management, and collaboration with partners who provide services to families (such as libraries, community centers, school districts, one-stop services, Head Start.) The course attends to issues such as racial/ethnic, cultural, and linguistic diversity among families, continuous program improvement, and professional development.","3 Credits"
"Adult Education (ADTED)","ADTED 457","Adult Literacy","Surveys adult basic and literacy education research, theory, programming, and instruction; highlights learners' roles as parents, workers, and community members.ADTED 457Adult Literacy (3) This 3-credit course explores adult literacy research, theory, programming, and instructional practices in the context of family literacy. The course examines the role of adult education as it pertains to adult learners' needs and their roles as parents, workers, and community members. The course addresses a broad range of topics, including adult learning theories, considerations for English language learners, reading and numeracy, health literacy, workforce and corrections education, and transitioning adults to postsecondary education or training. Readings and activities will draw on theoretical and practical aspects of adult education and family literacy literature.","3 Credits"
"Adult Education (ADTED)","ADTED 458","Early Literacy Development","Focuses on young children's language and literacy development, including parental and staff support, grounded in scientifically based reading research.ADTED 458Early Literacy Development (3) This is a three-credit, post-baccalaureate course that focuses on young children's language and literacy development. This course examines research related to how children acquire language, reading, and writing skills, as well as how family partnerships between the home and school can further support language and literacy development and children's academic success. This course will cover a wide array of topics related to language and literacy development, including the influence of play and technology, the impact of read-alouds on literacy development, and the role of racial/ethnic and cultural diversity in learning. Students will examine early literacy development through a series of activities and readings.","3 Credits"
"Adult Education (ADTED)","ADTED 459","Interactive Literacy and Parental Involvement: Supporting Academic Success","Explores parental involvement in education and parent-child literacy activities that support children's language and literacy development, especially among diverse families.ADTED 459Interactive Literacy: Parents and Children (3) Interactive Literacy: Parents and Children is one of five 3-credit courses in the 15-credit Certificate in Family Literacy developed by the Goodling Institute for Research in Family Literacy in the College of Education in partnership with the National Center for Family Literacy (Louisville, KY). It is offered during the summer and fall semesters to about 20 students per class. The course is 15 weeks in length, entirely online, and cohort-based. Study materials are both web- and print-based. Students work in teams for most of their assignments although they are also expected to produce a portfolio of individual application activities. An Associate's Degree or 60 baccalaureate credits at an accredited institution are required to enter the course. Technological requirements, registration, and other support are provided. The courses focuses on the component of family literacy in which the low-literate parents engage in language and literacy development activities with their young children (birth to age 8). During interactive literacy the teachers both model and supervise the literacy interactions. Students learn to use planned and intentional activities that are developmentally appropriate for the children. They also learn how to teach the parent the necessary interaction skills as well as how to debrief the parents afterwards. They also learn how to assess the literacy interactions between parents and their children.","3 Credits"
"Adult Education (ADTED)","ADTED 460","Introduction to Lifelong Learning and Adult Education","History, methods, agencies, program areas, and problems of lifelong learning and adult education in the United States.","3 Credits/Maximum of 3"
"Adult Education (ADTED)","ADTED 470","Introduction to Distance Education","An introduction to the history, philosophy, organizations, learning theories, and instructional procedures used in American and foreign distance education.","3 Credits"
"Adult Education (ADTED)","ADTED 480","Teaching Math and Numeracy to Adults","ADTED 480examines issues of learning math as an adult and explores effective strategies for teaching math and numeracy to adults.ADTED 480Teaching Math and Numeracy to Adults (3) Many international assessments show that the numeracy skills of U.S. adults are lower than those of adults in many other countries and that their numeracy skills are even weaker than their literacy skills. This online course is designed for teachers, administrators, and others concerned with helping adults develop the math skills and abilities they need to function successfully in workplace, educational, and community settings. This course will focus on (1) how adults develop math skills in informal and work contexts and in classes or programs for students who wish to obtain a high school credential; (2) considerations for teaching math to immigrant adults and those with learning disabilities; and (3) the identification and implementation of instructional strategies for helping adults acquire the numeracy skills they need. Using current research from the U.S. and other countries, course participants will consider the benefits and limitations of various instructional and programmatic approaches to helping adults learn. Through this course, students will (1) identify the implications of adult learners'; prior experiences with math and numeracy for the their reengagement with math in a non-formal learning setting; (2) differentiate between numeracy and math and consider the relevance of the distinction to teaching adult learners; (3) identify adult processes for learning math and compare and contrast them with those of children; (4) gain current knowledge about math standards that guide instruction and policy for adults; and (5) develop and evaluate instructional strategies and initiatives to teach math to adults, including accommodating immigrant learners and those with learning disabilities. Further, students will consider the knowledge and skills needed to help adults acquire functional numeracy skills.","3 Credits"
"Adult Education (ADTED)","ADTED 497","Special Topics","Formal courses given on a topical or special interest subject which may be offered infrequently.","1-9 Credits/Maximum of 9"
